program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          241.49        5595               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              1              600              4096        0.200192             2.04                 294           97         NA            0.520248        1.03652          4.8e-05  3           7.9765e-05   4.8e-05  3           0.000270649  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0571392   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              500              4096        0.205836             2.04                 294           96         NA            0.520248        1.03652          4.8e-05  3           8.163e-05    4.8e-05  3           0.00301227   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0587007   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              400              4096        0.289287             2.12                 296           93         NA            0.520248        1.03652          4.8e-05  3           8.8947e-05   4.8e-05  3           0.0643245    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0649194   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              300              4096        0.212323             2.04                 294           97         NA            0.520248        1.03652          4.8e-05  3           7.4295e-05   4.8e-05  3           0.000291335  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0567371   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              200              4096        0.230042             2.12                 294           96         NA            0.520248        1.03652          4.8e-05  3           6.7826e-05   4.8e-05  3           0.0149809    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0597417   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              100              4096        0.241629             2.08                 294           96         NA            0.520248        1.03652          4.8e-05  3           4.7808e-05   4.8e-05  3           0.000676611  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0755752   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              80               4096        0.233475             2.07                 294           95         NA            0.520248        1.03652          4.8e-05  3           6.3962e-05   4.8e-05  3           0.000255771  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0821885   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              60               4096        0.255708             2.09                 294           95         NA            0.520248        1.03652          4.8e-05  3           7.8206e-05   4.8e-05  3           0.0023858    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0936869   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              40               4096        0.304083             2.13                 294           94         NA            0.520248        1.03652          4.8e-05  3           7.3166e-05   4.8e-05  3           0.00508754   NA             NA                 NA            NA        NA            NA       0.5202       8                0.128678    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              30               4096        0.350073             2.16                 294           91         NA            0.520248        1.03652          4.8e-05  3           5.2631e-05   4.8e-05  3           0.0145575    NA             NA                 NA            NA        NA            NA       0.5202       8                0.171743    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             600              4096        0.205966             2.10                 294           97         NA            0.520248        1.03652          4.8e-05  3           5.235e-05    4.8e-05  3           0.000250845  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0619898   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             500              4096        0.204997             2.06                 294           96         NA            0.520248        1.03652          4.8e-05  3           7.2699e-05   4.8e-05  3           0.00533325   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0586995   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             400              4096        0.238359             2.05                 294           95         NA            0.520248        1.03652          4.8e-05  3           7.7986e-05   4.8e-05  3           0.0271465    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0543036   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             300              4096        0.214795             2.06                 294           96         NA            0.520248        1.03652          4.8e-05  3           6.2502e-05   4.8e-05  3           0.000200528  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0636301   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             200              4096        0.214395             2.07                 294           96         NA            0.520248        1.03652          4.8e-05  3           5.6581e-05   4.8e-05  3           0.0010903    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0672409   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             100              4096        0.243269             2.13                 294           96         NA            0.520248        1.03652          4.8e-05  3           4.628e-05    4.8e-05  3           0.000412763  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0778883   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             80               4096        0.253988             2.08                 294           95         NA            0.520248        1.03652          4.8e-05  3           9.1338e-05   4.8e-05  3           0.01023      NA             NA                 NA            NA        NA            NA       0.5202       8                0.0811203   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             60               4096        0.284279             2.11                 294           94         NA            0.520248        1.03652          4.8e-05  3           7.9825e-05   4.8e-05  3           0.0124213    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0927267   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             40               4096        0.292131             2.12                 296           94         NA            0.520248        1.03652          4.8e-05  3           4.8769e-05   4.8e-05  3           0.000819923  NA             NA                 NA            NA        NA            NA       0.5202       8                0.123215    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30               4096        0.339595             2.23                 294           92         NA            0.520248        1.03652          4.8e-05  3           6.3985e-05   4.8e-05  3           0.000231851  NA             NA                 NA            NA        NA            NA       0.5202       8                0.166195    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             600              4096        0.194461             2.02                 294           97         NA            0.520248        1.03652          4.8e-05  3           7.4311e-05   4.8e-05  3           0.00110344   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0487368   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             500              4096        0.240602             2.07                 294           95         NA            0.520248        1.03652          4.8e-05  3           9.9543e-05   4.8e-05  3           0.0250713    NA             NA                 NA            NA        NA            NA       0.5202       8                0.056694    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             400              4096        0.223452             2.05                 294           96         NA            0.520248        1.03652          4.8e-05  3           7.3141e-05   4.8e-05  3           0.0118978    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0626299   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             300              4096        0.219627             2.10                 294           96         NA            0.520248        1.03652          4.8e-05  3           5.7682e-05   4.8e-05  3           0.00045363   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0673348   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             200              4096        0.219864             2.06                 294           96         NA            0.520248        1.03652          4.8e-05  3           5.8846e-05   4.8e-05  3           0.0018359    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0650498   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             100              4096        0.240254             2.08                 294           96         NA            0.520248        1.03652          4.8e-05  3           7.3311e-05   4.8e-05  3           0.000701851  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0811694   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             80               4096        0.237747             2.13                 294           95         NA            0.520248        1.03652          4.8e-05  3           8.0848e-05   4.8e-05  3           0.0003176    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0871406   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             60               4096        0.291138             2.14                 296           94         NA            0.520248        1.03652          4.8e-05  3           7.4005e-05   4.8e-05  3           0.0282103    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0917437   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             40               4096        0.288812             2.14                 294           94         NA            0.520248        1.03652          4.8e-05  3           4.8e-05      4.8e-05  3           0.000286167  NA             NA                 NA            NA        NA            NA       0.5202       8                0.125143    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             30               4096        0.399145             2.23                 294           90         NA            0.520248        1.03652          4.8e-05  3           8.2703e-05   4.8e-05  3           0.0383371    NA             NA                 NA            NA        NA            NA       0.5202       8                0.178697    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
