program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          30.87         726                7                  NA            NA            NA            32768         64            NA           NA            NA               32256            8              512         0.0307762            0.36                 42            97         NA            0.06508         0.129768         4.8e-05  3           8.0046e-05   4.8e-05  3           0.00372508   NA             NA                 NA            NA        NA            NA       0.065032     8                0.00376836  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          61.48         1433               14                 NA            NA            NA            65536         64            NA           NA            NA               64512            8              1024        0.0780115            0.72                 78            95         NA            0.130104        0.259304         4.8e-05  3           7.7207e-05   4.8e-05  3           0.0231883    NA             NA                 NA            NA        NA            NA       0.130056     8                0.00454508  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          90.85         2081               21                 NA            NA            NA            98304         64            NA           NA            NA               96768            8              1536        0.0857368            1.00                 80            97         NA            0.195128        0.38884          4.8e-05  3           8.2604e-05   4.8e-05  3           0.00584541   NA             NA                 NA            NA        NA            NA       0.19508      8                0.0186273   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          122.09        2797               28                 NA            NA            NA            131072        64            NA           NA            NA               129024           8              2048        0.0905194            1.34                 150           98         NA            0.260152        0.518376         4.8e-05  3           8.0491e-05   4.8e-05  3           0.000178387  NA             NA                 NA            NA        NA            NA       0.260104     8                0.014429    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          151.11        3517               35                 NA            NA            NA            163840        64            NA           NA            NA               161280           8              2560        0.127471             1.65                 151           98         NA            0.325176        0.647912         4.8e-05  3           8.5353e-05   4.8e-05  3           0.00776081   NA             NA                 NA            NA        NA            NA       0.325128     8                0.0248515   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          183.89        4174               42                 NA            NA            NA            196608        64            NA           NA            NA               193536           8              3072        0.234542             2.06                 153           94         NA            0.3902          0.777448         4.8e-05  3           7.0614e-05   4.8e-05  3           0.0604673    NA             NA                 NA            NA        NA            NA       0.390152     8                0.0462371   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          212.40        4779               49                 NA            NA            NA            229376        64            NA           NA            NA               225792           8              3584        0.160565             2.26                 166           98         NA            0.455224        0.906984         4.8e-05  3           8.6671e-05   4.8e-05  3           0.000275772  NA             NA                 NA            NA        NA            NA       0.455176     8                0.0353469   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          241.21        5589               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              4096        0.175218             2.66                 294           98         NA            0.520248        1.03652          4.8e-05  3           0.000108146  4.8e-05  3           0.000258108  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0322264   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          275.70        6199               62                 NA            NA            NA            294912        64            NA           NA            NA               290304           8              4608        0.24006              3.01                 298           97         NA            0.585272        1.16606          4.8e-05  3           7.2344e-05   4.8e-05  3           0.0158056    NA             NA                 NA            NA        NA            NA       0.585224     8                0.04543     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          304.93        7003               69                 NA            NA            NA            327680        64            NA           NA            NA               322560           8              5120        0.256825             3.30                 297           97         NA            0.650296        1.29559          4.8e-05  3           8.5068e-05   4.8e-05  3           0.0260829    NA             NA                 NA            NA        NA            NA       0.650248     8                0.0445617   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
