program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;245.09;5595;56;2.5;4096;0.141019;2.68;296;97;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;4096;0.140897;2.69;297;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;4096;0.147882;2.82;296;97;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;4096;0.150688;2.93;299;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.9;4096;0.158631;3.10;296;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.8;4096;0.171939;3.28;296;97;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.7;4096;0.180639;3.46;297;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.6;4096;0.188517;3.71;297;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.5;4096;0.202707;3.90;296;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.4;4096;0.217565;4.19;297;97;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.3;4096;0.225879;4.50;296;97;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.2;4096;0.24758;4.86;296;98;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1.1;4096;0.268245;5.41;298;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;4096;0.294261;5.78;296;98;NA;0.520248;1.03652
