program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          244.11        5593               56                 2.5         4096        0.138106             2.61                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         4096        0.137259             2.61                 296           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         4096        0.155582             2.74                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2           4096        0.156904             2.87                 296           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         4096        0.162192             3.02                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         4096        0.164225             3.18                 296           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         4096        0.179993             3.38                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         4096        0.183789             3.58                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         4096        0.216367             3.83                 294           99         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         4096        0.252839             4.11                 294           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         4096        0.255746             4.40                 294           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         4096        0.276639             4.77                 296           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         4096        0.32786              5.22                 294           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1           4096        0.348206             5.70                 294           98         NA            0.520248        1.03652
