program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          243.98        5594               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              1              4096        0.25447              2.94                 296           93         NA            0.520248        1.03652          4.8e-05  3           0.000356722  4.8e-05  3           0.00511164  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0735851   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             4096        0.516977             3.87                 298           72         NA            0.520248        1.03652          4.8e-05  3           0.000409684  4.8e-05  3           0.0310974   NA             NA                 NA            NA        NA            NA       0.5202       8                0.267647    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             4096        0.782085             4.81                 298           59         NA            0.520248        1.03652          4.8e-05  3           0.000439691  4.8e-05  3           0.0618179   NA             NA                 NA            NA        NA            NA       0.5202       8                0.478654    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             4096        1.04258              5.76                 298           50         NA            0.520248        1.03652          4.8e-05  3           0.000414479  4.8e-05  3           0.0908372   NA             NA                 NA            NA        NA            NA       0.5202       8                0.687683    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             4096        1.30959              6.71                 297           42         NA            0.520248        1.03652          4.8e-05  3           0.000448381  4.8e-05  3           0.120604    NA             NA                 NA            NA        NA            NA       0.5202       8                0.96715     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50             4096        1.56442              7.66                 296           37         NA            0.520248        1.03652          4.8e-05  3           0.000409089  4.8e-05  3           0.151044    NA             NA                 NA            NA        NA            NA       0.5202       8                1.19511     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            4096        2.86448              12.41                298           24         NA            0.520248        1.03652          4.8e-05  3           0.000422437  4.8e-05  3           0.300854    NA             NA                 NA            NA        NA            NA       0.5202       8                2.34783     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             150            4096        4.45847              17.47                296           17         NA            0.520248        1.03652          4.8e-05  3           0.000449937  4.8e-05  3           0.45085     NA             NA                 NA            NA        NA            NA       0.5202       8                3.79285     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200            4096        5.86342              22.32                297           14         NA            0.520248        1.03652          4.8e-05  3           0.000433348  4.8e-05  3           0.600832    NA             NA                 NA            NA        NA            NA       0.5202       8                5.05089     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             250            4096        7.26208              27.19                298           12         NA            0.520248        1.03652          4.8e-05  3           0.000438184  4.8e-05  3           0.75113     NA             NA                 NA            NA        NA            NA       0.5202       8                6.30105     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
