program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;243.98;5594;56;1;4096;0.25447;2.94;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;4096;0.516977;3.87;298;72;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;4096;0.782085;4.81;298;59;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;4096;1.04258;5.76;298;50;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;4096;1.30959;6.71;297;42;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;4096;1.56442;7.66;296;37;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;2.86448;12.41;298;24;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;150;4096;4.45847;17.47;296;17;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;4096;5.86342;22.32;297;14;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;250;4096;7.26208;27.19;298;12;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;8.66643;32.03;296;10;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;350;4096;10.0631;36.87;298;9;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;4096;11.4645;41.71;297;8;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;450;4096;12.8592;46.56;299;7;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;4096;14.2641;51.42;298;7;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;550;4096;15.6639;56.29;298;6;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;4096;17.0637;61.12;297;6;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;650;4096;18.4618;65.96;298;6;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;4096;19.8639;70.82;298;5;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;750;4096;21.2615;75.66;299;5;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;4096;22.6567;80.50;298;5;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;850;4096;24.0624;85.37;297;5;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;4096;25.4619;90.24;299;5;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;950;4096;26.8623;95.08;298;4;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;4096;28.2647;99.94;298;4;NA;0.520248;1.03652
