program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)       Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          243.19        5594               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              1              4096        0.231233             2.78                 294           96         NA            0.520248        1.03652          4.8e-05  3           6.0458e-05  4.8e-05  3           0.00351406  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0770787   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             4096        0.492079             3.16                 294           89         NA            0.520248        1.03652          4.8e-05  3           7.2684e-05  4.8e-05  3           0.0299491   NA             NA                 NA            NA        NA            NA       0.5202       8                0.272635    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             4096        0.768407             3.66                 296           81         NA            0.520248        1.03652          4.8e-05  3           5.848e-05   4.8e-05  3           0.060368    NA             NA                 NA            NA        NA            NA       0.5202       8                0.496497    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             4096        1.03215              4.05                 294           76         NA            0.520248        1.03652          4.8e-05  3           5.9935e-05  4.8e-05  3           0.0906799   NA             NA                 NA            NA        NA            NA       0.5202       8                0.732413    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             4096        1.2922               4.48                 294           71         NA            0.520248        1.03652          4.8e-05  3           6.5946e-05  4.8e-05  3           0.1202      NA             NA                 NA            NA        NA            NA       0.5202       8                0.96169     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50             4096        1.55365              4.97                 294           67         NA            0.520248        1.03652          4.8e-05  3           6.1985e-05  4.8e-05  3           0.150505    NA             NA                 NA            NA        NA            NA       0.5202       8                1.19194     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            4096        2.85546              7.07                 294           55         NA            0.520248        1.03652          4.8e-05  3           7.0045e-05  4.8e-05  3           0.300252    NA             NA                 NA            NA        NA            NA       0.5202       8                2.34763     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             150            4096        4.1571               9.22                 294           49         NA            0.520248        1.03652          4.8e-05  3           6.9481e-05  4.8e-05  3           0.451231    NA             NA                 NA            NA        NA            NA       0.5202       8                3.49778     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200            4096        5.45931              11.38                294           45         NA            0.520248        1.03652          4.8e-05  3           7.1585e-05  4.8e-05  3           0.600717    NA             NA                 NA            NA        NA            NA       0.5202       8                4.64837     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             250            4096        6.75884              13.53                294           42         NA            0.520248        1.03652          4.8e-05  3           9.528e-05   4.8e-05  3           0.750694    NA             NA                 NA            NA        NA            NA       0.5202       8                5.79899     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
