program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.34          29                 1                  4           0.0234531            0.12                 15            58         ~38           0.648352        1.13651
31       FIELD     semihonest  shamir            3          0.17          18                 1                  6           0.0270585            0.11                 15            58         ~54           0.652512        1.14474
31       FIELD     semihonest  shamir            3          0.17          18                 1                  8           0.0304156            0.13                 17            60         ~70           0.656672        1.15296
31       FIELD     semihonest  shamir            3          0.17          18                 1                  10          0.0297631            0.11                 15            62         ~86           0.660832        1.16118
31       FIELD     semihonest  shamir            3          0.17          18                 1                  12          0.0291126            0.11                 15            61         ~102          0.664992        1.16941
31       FIELD     malhonest   malicious-shamir  3          0.34          29                 1                  4           0.11217              0.20                 21            77         ~50           3.53675         8.21002
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  6           0.117403             0.20                 22            81         ~64           3.54494         8.23446
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  8           0.120883             0.20                 23            80         ~78           3.55314         8.25891
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  10          0.133931             0.22                 22            75         ~92           3.56133         8.28336
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  12          0.118945             0.19                 21            84         ~106          3.56952         8.30781
