program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest     shamir            3          0.34          30                 1                  3           0.0168686            0.11                 15            60         ~30           0.646272        1.61846
31       FIELD     semihonest     shamir            3          0.16          18                 1                  6           0.0191747            0.12                 17            63         ~54           0.652512        1.63685
31       FIELD     semihonest     shamir            3          0.17          18                 1                  9           0.0240285            0.12                 17            68         ~78           0.658752        1.65523
31       FIELD     malhonest      malicious-shamir  3          0.34          30                 1                  3           0.0745611            0.17                 27            81         ~41           3.53259         10.2776
31       FIELD     malhonest      malicious-shamir  3          0.16          18                 1                  6           0.0778647            0.15                 22            86         ~62           3.54488         10.3143
31       FIELD     malhonest      malicious-shamir  3          0.17          18                 1                  9           0.0784626            0.16                 22            93         ~83           3.55717         10.351
31       RING      maldishonest   spdz2k            3          0.13          17                 1                  3           79.7965              79.95                877           114        ~37618        3736.16         11055.2
31       RING      maldishonest   spdz2k            3          0.13          17                 1                  6           81.9966              82.16                880           116        ~37714        3736.16         11055.2
31       RING      maldishonest   spdz2k            3          0.14          17                 1                  9           81.8463              82.01                884           116        ~37810        3736.16         11055.2
31       RING      semihonest     replicated-ring   3          0.13          17                 1                  3           0.036335             0.12                 17            56         ~105          0.401501        0.963695
31       RING      semihonest     replicated-ring   3          0.13          17                 1                  6           0.0362276            0.12                 15            58         ~129          0.401762        0.96443
31       RING      semihonest     replicated-ring   3          0.14          17                 1                  9           0.0369965            0.12                 15            64         ~153          0.402023        0.965165
31       BINARY    semihonest     ccd               3          0.29          21                 1                  3           0.00901277           0.07                 10            62         NA            0.002002        NA
31       BINARY    semihonest     ccd               3          0.33          22                 1                  6           0.0154549            0.06                 12            86         NA            0.00394         NA
31       BINARY    semihonest     ccd               3          0.40          22                 1                  9           0.0215522            0.07                 12            93         NA            0.005878        NA
31       BINARY    semihonest     replicated-bin    3          0.29          21                 1                  3           0.00794417           0.05                 11            62         NA            0.001025        NA
31       BINARY    semihonest     replicated-bin    3          0.33          22                 1                  6           0.0175381            0.07                 9             60         NA            0.001994        NA
31       BINARY    semihonest     replicated-bin    3          0.40          22                 1                  9           0.0167642            0.07                 9             70         NA            0.002963        NA
31       BINARY    semidishonest  yao               2          0.29          21                 1                  3           0.0164602            0.03                 11            62         NA            0.024928        NA
31       BINARY    semidishonest  yao               2          0.33          22                 1                  6           0.018585             0.04                 11            65         NA            0.049792        NA
31       BINARY    semidishonest  yao               2          0.40          22                 1                  9           0.017775             0.04                 13            65         NA            0.074656        NA
31       BINARY    semidishonest  yaoO              2          0.29          21                 1                  3           0.00214008           0.03                 12            69         NA            0               NA
31       BINARY    semidishonest  yaoO              2          0.33          22                 1                  6           0.0017166            0.04                 10            74         NA            0               NA
31       BINARY    semidishonest  yaoO              2          0.40          22                 1                  9           0.00155876           0.03                 12            68         NA            0               NA
