program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
34       FIELD     semihonest     shamir            3          0.28          30                 1                  9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00592597           0.09                 13            55         ~46           0.00144         0.003888         NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semihonest     shamir            3          0.13          16                 1                  36            36            36            NA            NA            NA           NA            108              NA               145            6           0.0168725            0.11                 13            68         ~181          0.00576         0.015552         NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semihonest     shamir            3          0.14          17                 1                  81            81            81            NA            NA            NA           NA            243              NA               325            9           0.0360333            0.13                 15            66         ~406          0.01296         0.034992         NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     malhonest      malicious-shamir  3          0.28          30                 1                  9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0658847            0.14                 19            69         ~46           1.76247         5.28742          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     malhonest      malicious-shamir  3          0.13          16                 1                  36            36            36            NA            NA            NA           NA            108              NA               145            6           0.066714             0.15                 19            91         ~154          1.76938         5.30815          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     malhonest      malicious-shamir  3          0.14          17                 1                  81            81            81            NA            NA            NA           NA            243              NA               325            9           0.0760352            0.16                 19            117        ~334          1.7809          5.34271          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       RING      maldishonest   spdz2k            3          0.11          16                 1                  9             9             9             NA            NA            NA           NA            27               NA               37             3           1.33013              1.46                 326           106        ~279          60.8041         182.314          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       RING      maldishonest   spdz2k            3          0.12          16                 1                  36            36            36            NA            NA            NA           NA            108              NA               145            6           1.33553              1.48                 325           105        ~711          60.811          182.329          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       RING      maldishonest   spdz2k            3          0.15          17                 1                  81            81            81            NA            NA            NA           NA            243              NA               325            9           1.34497              1.48                 326           105        ~1431         60.8225         182.353          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       RING      semihonest     replicated-ring   3          0.11          16                 1                  9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00431682           0.08                 13            52         ~37           0.00036         0.00108          NA       NA          NA         NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
