program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)     Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       FIELD     semihonest     shamir            3          0.42          30                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.00308855           0.10                 13            47         ~8            0.000763        0.001649         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     shamir            3          0.39          24                 1                  NA            NA            NA            384           64            NA           NA            NA               378              15             6           0.00393429           0.11                 15            49         ~8            0.001525        0.003167         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     shamir            3          0.56          29                 1                  NA            NA            NA            576           64            NA           NA            NA               567              18             9           0.00352935           0.10                 14            54         ~8            0.002287        0.004685         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     malhonest      malicious-shamir  3          0.42          30                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.0236218            0.10                 17            67         ~17           0.889288        2.66274          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     malhonest      malicious-shamir  3          0.39          24                 1                  NA            NA            NA            384           64            NA           NA            NA               378              15             6           0.0192371            0.10                 17            70         ~17           0.898408        2.68396          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     malhonest      malicious-shamir  3          0.56          29                 1                  NA            NA            NA            576           64            NA           NA            NA               567              18             9           0.0249636            0.12                 17            65         ~17           0.907528        2.70518          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      maldishonest   spdz2k            3          0.25          20                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.358284             0.49                 90            117        ~169          26.3095         77.6674          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      maldishonest   spdz2k            3          0.40          24                 1                  NA            NA            NA            384           64            NA           NA            NA               378              15             6           0.36908              0.50                 87            116        ~169          26.3106         77.6693          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      maldishonest   spdz2k            3          0.56          29                 1                  NA            NA            NA            576           64            NA           NA            NA               567              18             9           0.370282             0.49                 86            118        ~169          26.3118         77.6712          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      semihonest     replicated-ring   3          0.25          20                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.00157928           0.07                 14            50         ~10           0.000405        0.000895         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      semihonest     replicated-ring   3          0.40          24                 1                  NA            NA            NA            384           64            NA           NA            NA               378              15             6           0.00206073           0.08                 15            47         ~10           0.000786        0.001654         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      semihonest     replicated-ring   3          0.56          29                 1                  NA            NA            NA            576           64            NA           NA            NA               567              18             9           0.00170356           0.08                 14            50         ~10           0.001167        0.002413         NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA          NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     ccd               3          0.25          20                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.00352129           0.05                 12            55         NA            0.000763        NA               NA        NA          NA           NA        NA          NA           NA             NA                 NA            0.000762  7             0.00211918  NA           NA               NA          1e-06               1                       0.000236           NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
