program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;semihonest;shamir;3;0.28;30;1;4;2.6;240;50;3;0.957881;4.29;15;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;0.12;16;1;4;2.6;240;50;6;3.67356;7.01;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;0.14;17;1;4;2.6;240;50;9;8.20194;11.53;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;240;100;3;1.90741;8.48;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;240;100;6;7.32474;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;240;100;9;16.3477;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;50;3;0.958368;4.29;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;50;6;3.67078;7.00;11;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;50;9;8.20348;11.53;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;100;3;1.90685;8.48;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;100;6;7.32328;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;120;100;9;16.3525;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;50;3;0.957666;4.28;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;50;6;3.67182;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;50;9;8.19614;11.52;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;100;3;1.90743;8.48;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;100;6;7.32255;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2.6;60;100;9;16.3464;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;50;3;0.957857;4.29;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;50;6;3.67461;7.01;12;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;50;9;8.19716;11.53;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;100;3;1.90774;8.49;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;100;6;7.32317;13.90;15;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;240;100;9;16.3476;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;50;3;0.957687;4.29;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;50;6;3.67431;7.01;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;50;9;8.20488;11.54;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;100;3;1.90724;8.50;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;100;6;7.32341;13.91;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;120;100;9;16.355;22.94;11;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;50;3;0.958056;4.29;14;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;50;6;3.67339;7.01;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;50;9;8.19812;11.53;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;100;3;1.90765;8.49;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;100;6;7.32671;13.92;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;4;2;60;100;9;16.354;22.94;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;50;3;0.956504;4.29;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;50;6;3.67121;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;50;9;8.19679;11.52;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;100;3;1.90607;8.48;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;100;6;7.32118;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;240;100;9;16.3465;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;50;3;0.956787;4.29;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;50;6;3.67046;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;50;9;8.19665;11.53;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;100;3;1.9063;8.48;14;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;100;6;7.32134;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;120;100;9;16.3464;22.92;14;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;50;3;0.956041;4.29;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;50;6;3.67052;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;50;9;8.19631;11.53;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;100;3;1.9062;8.48;13;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;100;6;7.32136;13.90;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2.6;60;100;9;16.3473;22.93;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;50;3;0.956354;4.29;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;50;6;3.67149;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;50;9;8.19577;11.53;13;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;100;3;1.90668;8.49;15;0;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;100;6;7.322;13.90;15;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;240;100;9;16.3459;22.93;15;0;~163;0.005184;0.011664
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;120;50;3;0.956312;4.29;13;1;~19;0.000576;0.001296
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;120;50;6;3.67064;7.00;13;0;~73;0.002304;0.005184
32;FIELD;semihonest;shamir;3;NA;NA;NA;2;2;120;50;9;8.19662;11.53;13;0;~163;0.005184;0.011664
