program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
31;FIELD;semihonest;shamir;3;0.34;28;1;4;1;NA;NA;NA;NA;416;252;NA;31;4;0.0264305;0.13;15;46;~38;0.648352;1.62459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semihonest;shamir;3;0.17;18;1;6;1;NA;NA;NA;NA;624;378;NA;45;6;0.0241616;0.11;15;60;~54;0.652512;1.63685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semihonest;shamir;3;0.16;18;1;8;1;NA;NA;NA;NA;832;504;NA;59;8;0.0321022;0.12;16;52;~70;0.656672;1.6491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semihonest;shamir;3;0.16;18;1;10;1;NA;NA;NA;NA;1040;630;NA;73;10;0.0295982;0.11;15;60;~86;0.660832;1.66136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semihonest;shamir;3;0.16;18;1;12;1;NA;NA;NA;NA;1248;756;NA;87;12;0.0297148;0.11;16;63;~102;0.664992;1.67362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semihonest;shamir;3;0.17;18;1;14;1;NA;NA;NA;NA;1456;882;NA;101;14;0.0356187;0.12;15;60;~118;0.669152;1.68587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.34;28;1;4;1;NA;NA;NA;NA;416;252;NA;31;4;0.103659;0.18;22;73;~48;3.53669;10.2898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;6;1;NA;NA;NA;NA;624;378;NA;45;6;0.121875;0.20;22;80;~62;3.54488;10.3143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.16;18;1;8;1;NA;NA;NA;NA;832;504;NA;59;8;0.107816;0.19;22;75;~76;3.55307;10.3387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.16;18;1;10;1;NA;NA;NA;NA;1040;630;NA;73;10;0.108106;0.18;23;82;~90;3.56126;10.3632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.16;18;1;12;1;NA;NA;NA;NA;1248;756;NA;87;12;0.121285;0.20;23;74;~104;3.56946;10.3876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;14;1;NA;NA;NA;NA;1456;882;NA;101;14;0.13253;0.21;22;78;~118;3.57765;10.4121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;4;1;NA;NA;NA;NA;NA;NA;252;91;4;0.035275;0.11;17;53;~113;0.401588;0.96394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;6;1;NA;NA;NA;NA;NA;NA;378;135;6;0.0393512;0.12;13;55;~129;0.401762;0.96443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.14;17;1;8;1;NA;NA;NA;NA;NA;NA;504;179;8;0.0357922;0.11;15;52;~145;0.401936;0.96492;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.14;17;1;10;1;NA;NA;NA;NA;NA;NA;630;223;10;0.0443672;0.12;17;57;~161;0.40211;0.96541;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;12;1;NA;NA;NA;NA;NA;NA;756;267;12;0.0369709;0.12;15;57;~177;0.402284;0.9659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;14;1;NA;NA;NA;NA;NA;NA;882;311;14;0.0375404;0.12;15;57;~193;0.402458;0.96639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.30;21;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0134516;0.06;11;68;NA;0.002648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.002584;105;0.0118818;NA;NA;NA;6.4e-05;1;0.000300362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.0192897;0.08;10;69;NA;0.00394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003876;157;0.0173823;NA;NA;NA;6.4e-05;1;0.000344172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.38;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0239423;0.07;12;67;NA;0.005232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005168;209;0.0221348;NA;NA;NA;6.4e-05;1;0.000331331;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.40;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0301613;0.08;12;90;NA;0.006524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00646;261;0.0275484;NA;NA;NA;6.4e-05;1;0.000268804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.037325;0.09;10;86;NA;0.007816;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.007752;313;0.0347044;NA;NA;NA;6.4e-05;1;0.000362609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.48;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.040324;0.08;10;81;NA;0.009108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.009044;365;0.0376974;NA;NA;NA;6.4e-05;1;0.000251194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.30;21;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0125945;0.05;9;53;NA;0.001348;NA;4.8e-05;3;0.0111783;4.8e-05;3;0.0130048;NA;NA;NA;NA;NA;NA;0.0013;106;0.0106777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.0180228;0.06;11;60;NA;0.001994;NA;4.8e-05;3;0.0167372;4.8e-05;3;0.0180219;NA;NA;NA;NA;NA;NA;0.001946;158;0.0159635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.38;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0239164;0.06;9;55;NA;0.00264;NA;4.8e-05;3;0.022744;4.8e-05;3;0.0240468;NA;NA;NA;NA;NA;NA;0.002592;210;0.0217586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.40;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0326973;0.08;9;60;NA;0.003286;NA;4.8e-05;3;0.031062;4.8e-05;3;0.0325271;NA;NA;NA;NA;NA;NA;0.003238;262;0.0299528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.0302955;0.07;9;61;NA;0.003932;NA;4.8e-05;3;0.0291102;4.8e-05;3;0.0301576;NA;NA;NA;NA;NA;NA;0.003884;314;0.0278821;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.48;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.0347291;0.08;9;51;NA;0.004578;NA;4.8e-05;3;0.0336003;4.8e-05;3;0.0342198;NA;NA;NA;NA;NA;NA;0.00453;366;0.0326059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.30;21;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0160054;0.04;11;66;NA;0.033216;NA;0.033216;4;0.000565207;8e-06;1;0.00122396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.0161959;0.04;11;62;NA;0.049792;NA;0.049792;4;0.000355762;8e-06;1;0.00130337;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.38;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0163182;0.04;11;58;NA;0.066368;NA;0.066368;4;0.000333104;8e-06;1;0.00115566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.40;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0167122;0.04;11;66;NA;0.082944;NA;0.082944;4;0.000292194;8e-06;1;0.00114543;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.0166024;0.03;11;58;NA;0.09952;NA;0.09952;4;0.000427047;8e-06;1;0.00144097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.48;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.0175157;0.04;11;65;NA;0.116096;NA;0.116096;4;0.000615581;8e-06;1;0.00184066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.30;21;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.00131889;0.03;10;70;NA;0;NA;NA;NA;NA;0.033216;2;0.0140033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.00198667;0.03;10;65;NA;0;NA;NA;NA;NA;0.049792;2;0.0143703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.38;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.00221703;0.03;10;63;NA;0;NA;NA;NA;NA;0.066368;2;0.0141787;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.40;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.001996;0.03;10;65;NA;0;NA;NA;NA;NA;0.082944;2;0.0142295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.0017914;0.03;9;68;NA;0;NA;NA;NA;NA;0.09952;2;0.0130784;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.48;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.00226419;0.03;10;72;NA;0;NA;NA;NA;NA;0.116096;2;0.0140122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
