program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semihonest;shamir;3;0.26;30;1;4;0.0258659;0.10;15;72;~38;0.648352;1.62459
31;FIELD;semihonest;shamir;3;0.13;18;1;6;0.029951;0.10;15;76;~54;0.652512;1.63685
31;FIELD;semihonest;shamir;3;0.13;18;1;8;0.0355173;0.10;15;78;~70;0.656672;1.6491
31;FIELD;semihonest;shamir;3;0.13;18;1;10;0.0473489;0.12;16;83;~86;0.660832;1.66136
31;FIELD;semihonest;shamir;3;0.13;18;1;12;0.259775;0.33;17;31;~102;0.664992;1.67362
31;FIELD;semihonest;shamir;3;0.13;18;1;14;0.0542321;0.12;16;91;~118;0.669152;1.68587
31;FIELD;malhonest;malicious-shamir;3;0.26;30;1;4;0.0683909;0.14;25;85;~48;3.53669;10.2898
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;6;0.074732;0.15;21;87;~62;3.54488;10.3143
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;8;0.0826961;0.16;23;86;~76;3.55307;10.3387
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;10;0.0869118;0.16;23;97;~90;3.56126;10.3632
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;12;0.095057;0.16;23;104;~104;3.56946;10.3876
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;14;0.101434;0.17;25;105;~118;3.57765;10.4121
31;RING;semihonest;replicated-ring;3;0.10;17;1;4;0.026235;0.09;17;64;~113;0.401588;0.96394
31;RING;semihonest;replicated-ring;3;0.10;17;1;6;0.0312469;0.09;15;60;~129;0.401762;0.96443
31;RING;semihonest;replicated-ring;3;0.10;17;1;8;0.0546197;0.13;15;73;~145;0.401936;0.96492
31;RING;semihonest;replicated-ring;3;0.10;17;1;10;0.0572332;0.12;15;68;~161;0.40211;0.96541
31;RING;semihonest;replicated-ring;3;0.10;17;1;12;0.0552718;0.12;15;66;~177;0.402284;0.9659
31;RING;semihonest;replicated-ring;3;0.10;17;1;14;0.063063;0.12;15;69;~193;0.402458;0.96639
31;BINARY;semihonest;ccd;3;0.22;21;1;4;0.0389955;0.08;12;107;NA;0.002648;NA
31;BINARY;semihonest;ccd;3;0.25;22;1;6;0.0651387;0.11;12;100;NA;0.00394;NA
31;BINARY;semihonest;ccd;3;0.18;23;1;8;0.0303191;0.06;10;73;NA;0.005232;NA
31;BINARY;semihonest;ccd;3;0.30;23;1;10;0.0952038;0.13;12;137;NA;0.006524;NA
31;BINARY;semihonest;ccd;3;0.33;24;1;12;0.122783;0.16;12;115;NA;0.007816;NA
31;BINARY;semihonest;ccd;3;0.36;25;1;14;0.151351;0.20;10;119;NA;0.009108;NA
31;BINARY;semihonest;replicated-bin;3;0.22;21;1;4;0.0136351;0.04;9;44;NA;0.001348;NA
31;BINARY;semihonest;replicated-bin;3;0.25;22;1;6;0.0370048;0.08;11;53;NA;0.001994;NA
31;BINARY;semihonest;replicated-bin;3;0.18;23;1;8;0.0500367;0.09;11;50;NA;0.00264;NA
31;BINARY;semihonest;replicated-bin;3;0.30;23;1;10;0.0621804;0.10;9;73;NA;0.003286;NA
31;BINARY;semihonest;replicated-bin;3;0.33;24;1;12;0.100656;0.14;9;80;NA;0.003932;NA
31;BINARY;semihonest;replicated-bin;3;0.36;25;1;14;0.111409;0.14;11;79;NA;0.004578;NA
31;BINARY;semidishonest;yao;2;0.22;21;1;4;0.0168524;0.03;13;78;NA;0.033216;NA
31;BINARY;semidishonest;yao;2;0.25;22;1;6;0.017361;0.04;13;60;NA;0.049792;NA
31;BINARY;semidishonest;yao;2;0.18;23;1;8;0.01602;0.03;11;84;NA;0.066368;NA
31;BINARY;semidishonest;yao;2;0.30;23;1;10;0.017711;0.03;13;86;NA;0.082944;NA
31;BINARY;semidishonest;yao;2;0.33;24;1;12;0.0169301;0.03;13;85;NA;0.09952;NA
31;BINARY;semidishonest;yao;2;0.36;25;1;14;0.0175935;0.04;13;78;NA;0.116096;NA
31;BINARY;semidishonest;yaoO;2;0.22;21;1;4;0.00486797;0.02;10;96;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.25;22;1;6;0.00746646;0.03;12;93;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.18;23;1;8;0.00641555;0.03;12;93;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.30;23;1;10;0.00622826;0.03;10;90;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.33;24;1;12;0.00702002;0.04;12;68;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.36;25;1;14;0.00833343;0.03;12;94;NA;0;NA
