program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     maldishonest   mascot             3          0.35          28                 1                  30            1             NA            NA            NA            NA           3120          1890             NA               213            0              30          7.05421              7.19                 392           131        ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             5              30          10.7894              11.11                386           91         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30          14.3935              14.90                383           71         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             15             30          18.0767              18.77                387           65         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             30          21.6362              22.50                384           59         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             25             30          25.3152              26.35                387           53         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             30          29.6689              30.87                384           50         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             35             30          30.5881              31.96                387           51         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             30          34.2716              35.81                384           51         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             45             30          38.8067              40.52                385           48         ~1096         311.974         894.386          NA       NA          NA         NA       NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
