program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)    Rx(MB)   Rx(rounds)  Rx(s)    Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
32       FIELD     maldishonest   mascot             3          0.72          30                 1                  900           900           900           NA            NA            NA           NA            NA               NA               901            10               30          103.876              103.99               260           67         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             15               30          69.49                69.60                260           67         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20               30          52.3582              52.47                260           67         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             25               30          42.0387              42.15                260           78         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30               30          35.1774              35.29                262           76         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             35               30          30.4143              30.53                260           59         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40               30          26.6411              26.76                260           72         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             45               30          23.8156              23.93                258           68         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50               30          21.6095              21.73                260           68         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             55               30          19.6667              19.78                260           69         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             60               30          18.0691              18.19                260           81         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             65               30          16.8091              16.93                258           68         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             70               30          15.6182              15.74                260           70         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             75               30          14.635               14.76                260           71         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
32       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             80               30          13.848               13.97                260           74         ~3671         41.0727         123.189          NA       NA          NA       NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
