program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;maldishonest;mascot;3;0.72;30;1;10;30;103.876;103.99;260;67;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;69.49;69.60;260;67;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;52.3582;52.47;260;67;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;42.0387;42.15;260;78;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;35.1774;35.29;262;76;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;30.4143;30.53;260;59;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;26.6411;26.76;260;72;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;23.8156;23.93;258;68;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;21.6095;21.73;260;68;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;55;30;19.6667;19.78;260;69;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;60;30;18.0691;18.19;260;81;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;65;30;16.8091;16.93;258;68;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;70;30;15.6182;15.74;260;70;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;75;30;14.635;14.76;260;71;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;80;30;13.848;13.97;260;74;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;85;30;13.0674;13.19;262;66;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;90;30;12.3962;12.51;258;69;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;95;30;11.7623;11.88;260;71;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;100;30;11.2504;11.36;260;72;~3671;41.0727;123.189
32;FIELD;semidishonest;hemi;3;0.72;30;1;10;30;0.275248;2.59;18;91;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;0.183979;1.76;19;91;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;0.159586;1.36;18;92;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;0.163392;1.15;18;89;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;0.162768;1.00;18;87;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;0.14906;0.88;18;90;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;0.165491;0.81;18;85;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;0.149005;0.74;18;87;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;0.167657;0.72;18;77;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;55;30;0.143192;0.65;18;77;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;60;30;0.157927;0.63;18;81;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;65;30;0.157885;0.61;18;80;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;70;30;0.158783;0.60;18;75;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;75;30;0.168746;0.57;18;77;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;80;30;0.160656;0.54;18;78;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;85;30;0.156681;0.52;18;74;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;90;30;0.165432;0.52;18;70;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;95;30;0.159585;0.50;18;70;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;100;30;0.163868;0.50;18;73;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;0.72;30;1;10;30;0.275925;0.38;12;44;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;15;30;0.185057;0.29;14;53;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;20;30;0.147907;0.26;12;59;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;25;30;0.15475;0.26;14;57;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;30;30;0.166491;0.27;12;53;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;35;30;0.170763;0.28;14;57;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;40;30;0.165428;0.27;14;57;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;45;30;0.171346;0.28;14;52;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;50;30;0.172848;0.28;14;57;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;55;30;0.152717;0.26;14;57;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;60;30;0.170913;0.28;12;60;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;65;30;0.157637;0.26;13;59;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;70;30;0.163707;0.26;14;57;~3600;0.0288;0.0576
