program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
34;FIELD;maldishonest;mascot;3;0.72;29;1;900;900;900;NA;NA;NA;NA;2700;NA;3601;10;30;220.979;221.10;387;123;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;150.026;150.15;382;120;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;113.397;113.52;384;113;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;89.9337;90.06;385;118;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;77.7185;77.85;389;115;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;65.018;65.15;377;117;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;58.0476;58.17;384;117;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;51.4221;51.54;385;118;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;46.8406;46.96;382;123;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;30;42.2874;42.40;388;120;~14549;176.536;529.309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
