program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
34       FIELD     maldishonest   mascot             3          0.54          29                 1                  0              30          2.42797              2.50                 383           112        ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 5              30          40.3841              40.65                385           8          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 10             30          77.9348              78.41                381           5          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 15             30          114.954              115.61               381           4          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 20             30          152.121              152.95               379           4          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 25             30          189.159              190.16               382           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 30             30          226.269              227.45               381           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 35             30          263.344              264.69               382           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 40             30          300.461              301.97               379           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 45             30          337.49               339.18               380           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 50             30          374.63               376.48               380           2          ~14549        176.536         529.309
34       FIELD     semidishonest  hemi               3          0.54          29                 1                  0              30          0.660472             0.75                 47            68         ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 5              30          38.3861              38.64                43            3          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 10             30          74.9429              75.40                43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 15             30          111.095              111.74               43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 20             30          147.142              147.97               43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 25             30          183.469              184.45               43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 30             30          219.576              220.77               45            1          ~14403        3.34788         9.84204
