program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       FIELD     maldishonest   mascot             3          0.72          34                 1                  10               30          12.6889              12.76                80            63         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 15               30          8.61462              8.68                 78            63         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 20               30          6.54715              6.61                 80            63         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 25               30          5.43954              5.51                 82            64         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 30               30          4.61203              4.69                 82            63         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 35               30          3.97094              4.05                 80            64         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 40               30          3.59762              3.67                 80            64         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 45               30          3.27098              3.34                 82            65         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 50               30          2.99408              3.06                 80            67         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 55               30          2.75676              2.83                 80            64         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 60               30          2.46212              2.53                 80            66         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 65               30          2.43159              2.50                 80            66         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 70               30          2.31963              2.39                 80            67         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 75               30          2.17507              2.25                 82            68         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 80               30          1.98677              2.06                 80            70         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 85               30          1.91782              1.99                 80            68         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 90               30          1.89381              1.96                 80            69         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 95               30          1.82492              1.89                 80            69         ~3671         10.3208         30.9478
33       FIELD     maldishonest   mascot             3          NA            NA                 NA                 100              30          1.78772              1.87                 80            68         ~3671         10.3208         30.9478
33       FIELD     semidishonest  hemi               3          0.72          34                 1                  10               30          0.115344             0.67                 16            85         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 15               30          0.133383             0.52                 14            82         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 20               30          0.207419             0.51                 14            74         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 25               30          0.0768038            0.34                 14            79         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 30               30          0.190242             0.42                 14            66         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 35               30          0.142182             0.35                 15            70         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 40               30          0.192114             0.41                 16            65         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 45               30          0.122296             0.30                 14            74         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 50               30          0.0928616            0.27                 14            71         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 55               30          0.186972             0.35                 14            61         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 60               30          0.0954632            0.26                 15            68         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 65               30          0.190715             0.34                 14            58         ~3600         0.0144          0.0288
33       FIELD     semidishonest  hemi               3          NA            NA                 NA                 70               30          0.101444             0.25                 15            69         ~3600         0.0144          0.0288
