program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)    Rx(MB)    Rx(rounds)  Rx(s)    Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
34       FIELD     maldishonest   mascot             3          0.49          29                 1                  900           900           900           NA            NA            NA           NA            2700             NA               3601           10               30          106.068              106.15               383           114        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             15               30          71.1899              71.27                387           115        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20               30          54.0333              54.11                385           112        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             25               30          43.9237              43.99                385           109        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30               30          37.1545              37.23                385           112        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             35               30          31.9                 31.97                385           113        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40               30          28.2804              28.35                388           114        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             45               30          25.2817              25.37                382           114        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50               30          23.2533              23.33                387           113        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             55               30          21.5013              21.58                386           110        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             60               30          19.6006              19.67                383           111        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             65               30          18.5359              18.61                386           112        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             70               30          16.9296              17.00                382           114        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             75               30          15.9277              16.00                385           116        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             80               30          15.3067              15.39                384           115        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             85               30          14.3567              14.43                385           117        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             90               30          13.9218              14.00                385           115        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             95               30          13.1124              13.19                385           119        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100              30          12.8106              12.89                385           118        ~14549        176.536         529.309          NA        NA          NA       NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
