program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     maldishonest   mascot             3          0.26          28                 1                  10               30          144.314              144.38               387           142        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 15               30          96.9808              97.06                386           138        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 20               30          73.5167              73.60                384           138        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 25               30          59.3883              59.46                387           135        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 30               30          50.0667              50.15                382           141        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 35               30          43.2757              43.35                386           142        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 40               30          38.2833              38.36                387           143        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 45               30          34.2914              34.36                387           143        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 50               30          31.2662              31.34                384           138        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 55               30          28.6707              28.74                386           139        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 60               30          26.489               26.58                383           135        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 65               30          24.5119              24.59                384           141        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 70               30          22.9273              23.00                387           138        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 75               30          21.6098              21.69                385           142        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 80               30          20.3745              20.45                385           143        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 85               30          19.3828              19.45                384           144        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 90               30          18.4893              18.58                384           142        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 95               30          17.6742              17.75                386           144        ~1096         311.974         894.386
31       FIELD     maldishonest   mascot             3          NA            NA                 NA                 100              30          16.9491              17.02                385           138        ~1096         311.974         894.386
31       FIELD     semidishonest  hemi               3          0.26          28                 1                  10               30          2.78372              3.86                 45            76         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 15               30          2.03909              2.78                 45            78         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 20               30          1.72229              2.30                 43            78         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 25               30          1.40989              1.89                 45            81         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 30               30          1.33729              1.75                 43            78         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 35               30          1.24527              1.61                 45            79         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 40               30          1.13375              1.46                 45            80         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 45               30          1.03805              1.36                 43            79         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 50               30          1.00089              1.28                 43            79         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 55               30          0.960391             1.24                 45            81         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 60               30          0.903791             1.16                 43            82         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 65               30          0.884613             1.12                 43            79         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 70               30          0.859834             1.11                 43            80         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 75               30          0.826641             1.05                 43            82         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 80               30          0.784628             0.99                 43            82         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 85               30          0.757258             0.95                 43            84         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 90               30          0.766505             0.96                 45            82         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 95               30          0.749065             0.93                 43            83         ~879          3.52423         10.1947
31       FIELD     semidishonest  hemi               3          NA            NA                 NA                 100              30          0.69332              0.88                 43            84         ~879          3.52423         10.1947
31       FIELD     semidishonest  semi               3          0.26          28                 1                  10               30          20.4235              20.48                65            129        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 15               30          13.7756              13.84                61            106        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 20               30          10.4334              10.50                63            120        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 25               30          8.45394              8.51                 63            103        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 30               30          7.14595              7.21                 64            93         ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 35               30          6.2548               6.33                 62            111        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 40               30          5.55671              5.62                 63            128        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 45               30          4.98738              5.05                 64            132        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 50               30          4.52403              4.59                 64            124        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 55               30          4.19863              4.26                 63            133        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 60               30          3.86635              3.94                 63            129        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 65               30          3.68196              3.75                 63            128        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 70               30          3.47205              3.54                 63            122        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 75               30          3.28862              3.36                 62            130        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 80               30          3.14222              3.20                 62            139        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 85               30          2.98888              3.06                 62            133        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 90               30          2.87201              2.93                 61            129        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 95               30          2.73546              2.80                 63            131        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 100              30          2.65542              2.72                 61            130        ~900          49.5791         148.359
31       FIELD     semidishonest  temi               3          0.26          28                 1                  10               30          3.38098              6.17                 39            57         ~886          4.30659         9.39551
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 15               30          2.38907              4.26                 32            67         ~886          4.30653         9.39558
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 20               30          1.8969               3.32                 31            67         ~886          4.30656         9.39554
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 25               30          1.59957              2.76                 29            67         ~886          4.30663         9.39572
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 30               30          1.42691              2.43                 29            67         ~886          4.30648         9.39516
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 35               30          1.25807              2.13                 29            69         ~886          4.30652         9.39555
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 40               30          1.16014              1.94                 29            70         ~886          4.30677         9.39582
