nodes;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;2;40;10;7.34216;362;~1697;86.1374;258.358
todd,ned,rod;FIELD;maldishonest;mascot;NA;432;577;2;40;12;8.24109;362;~2401;86.1487;258.382
todd,ned,rod;FIELD;maldishonest;mascot;NA;588;785;2;40;14;7.50446;353;~3233;86.162;258.41
todd,ned,rod;FIELD;maldishonest;mascot;NA;768;1025;2;40;16;7.30778;362;~4193;86.1774;258.443
todd,ned,rod;FIELD;maldishonest;mascot;NA;972;1297;2;40;18;8.82932;358;~5281;86.1948;258.48
todd,ned,rod;FIELD;maldishonest;mascot;NA;1200;1601;2;40;20;10.5204;366;~6523;131.311;393.779
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;2;80;10;3.71021;358;~1697;86.1374;258.358
todd,ned,rod;FIELD;maldishonest;mascot;NA;432;577;2;80;12;3.58571;362;~2401;86.1487;258.382
todd,ned,rod;FIELD;maldishonest;mascot;NA;588;785;2;80;14;3.95237;356;~3233;86.162;258.41
todd,ned,rod;FIELD;maldishonest;mascot;NA;768;1025;2;80;16;3.46515;362;~4193;86.1774;258.443
todd,ned,rod;FIELD;maldishonest;mascot;NA;972;1297;2;80;18;4.3185;354;~5281;86.1948;258.48
todd,ned,rod;FIELD;maldishonest;mascot;NA;1200;1601;2;80;20;5.01556;370;~6523;131.311;393.779
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;4;40;10;7.4637;362;~1697;86.1374;258.358
todd,ned,rod;FIELD;maldishonest;mascot;NA;432;577;4;40;12;7.73204;364;~2401;86.1487;258.382
todd,ned,rod;FIELD;maldishonest;mascot;NA;588;785;4;40;14;8.1184;362;~3233;86.162;258.41
todd,ned,rod;FIELD;maldishonest;mascot;NA;768;1025;4;40;16;8.76382;354;~4193;86.1774;258.443
todd,ned,rod;FIELD;maldishonest;mascot;NA;972;1297;4;40;18;8.16905;356;~5281;86.1948;258.48
todd,ned,rod;FIELD;maldishonest;mascot;NA;1200;1601;4;40;20;11.2325;383;~6523;131.311;393.779
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;4;80;10;4.24435;362;~1697;86.1374;258.358
todd,ned,rod;FIELD;maldishonest;mascot;NA;432;577;4;80;12;3.82786;361;~2401;86.1487;258.382
todd,ned,rod;FIELD;maldishonest;mascot;NA;588;785;4;80;14;3.70243;362;~3233;86.162;258.41
todd,ned,rod;FIELD;maldishonest;mascot;NA;768;1025;4;80;16;3.70433;360;~4193;86.1774;258.443
todd,ned,rod;FIELD;maldishonest;mascot;NA;972;1297;4;80;18;3.88509;362;~5281;86.1948;258.48
todd,ned,rod;FIELD;maldishonest;mascot;NA;1200;1601;4;80;20;5.07394;378;~6523;131.311;393.779
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;6;40;10;7.91339;362;~1697;86.1374;258.358
todd,ned,rod;FIELD;maldishonest;mascot;NA;432;577;6;40;12;8.0128;356;~2401;86.1487;258.382
todd,ned,rod;FIELD;maldishonest;mascot;NA;588;785;6;40;14;8.31048;360;~3233;86.162;258.41
todd,ned,rod;FIELD;maldishonest;mascot;NA;768;1025;6;40;16;8.3175;356;~4193;86.1774;258.443
todd,ned,rod;FIELD;maldishonest;mascot;NA;972;1297;6;40;18;7.85255;362;~5281;86.1948;258.48
todd,ned,rod;FIELD;maldishonest;mascot;NA;1200;1601;6;40;20;10.0236;375;~6523;131.311;393.779
todd,ned,rod;FIELD;maldishonest;mascot;NA;300;401;6;80;10;3.97619;362;~1697;86.1374;258.358
