nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;5720;3520;446;8;3;5;8.89071;382;~2159;492.594;1476.85
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;85280;52480;6581;8;3;20;101.031;397;~30693;6318.35;18941.7
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;258440;159040;19916;8;3;35;302.266;416;~92697;18963.4;56849.9
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;525200;323200;40451;8;3;50;609.796;428;~188183;38427.7;115201
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;885560;544960;68186;8;3;65;1148.19;426;~317113;64666.3;193861
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;lowgear;5720;3520;446;8;3;5;951.053;1253;~2335;61.2036;180.64
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;lowgear;85280;52480;6581;8;3;20;54.6058;134;~29775;364.448;1070.3
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;lowgear;258440;159040;19916;8;3;35;162.323;153;~89923;1090.31;3201.63
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;lowgear;525200;323200;40451;8;3;50;315.112;171;~181887;2120.87;6225.52
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;lowgear;885560;544960;68186;8;3;65;527.678;165;~306559;3574.05;10491.1
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;5720;3520;446;8;3;5;0.816519;40;~1847;8.46855;18.5019
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;85280;52480;6581;8;3;20;8.69929;33;~27162;75.6757;164.651
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;258440;159040;19916;8;3;35;26.3441;34;~82201;231.122;502.925
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;525200;323200;40451;8;3;50;52.6376;32;~166945;463.086;1007.53
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;885560;544960;68186;8;3;65;88.8639;32;~281404;779.361;1695.63
