nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;ram;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;1040;630;74;40;10;0.0231255;~76;0.330576;0.831424
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;20800;12600;1404;40;200;0.277011;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;41600;25200;2804;40;400;0.485609;~2814;1.70242;5.25446
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;62400;37800;4204;40;600;0.773687;~4218;2.55362;7.48166
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;83200;50400;5604;40;800;1.00839;~5622;3.24482;9.70886
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;104000;63000;7004;40;1000;1.30546;~7026;3.93602;11.9361
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;124800;75600;8404;40;1200;1.64087;~8430;4.78722;14.1633
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;145600;88200;9804;40;1400;3.88858;~9834;5.47842;16.3905
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;166400;100800;11204;40;1600;2.1164;~11238;6.16962;18.6177
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;187200;113400;12604;40;1800;2.32994;~12642;7.02082;20.8449
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;208000;126000;14004;40;2000;2.57516;~14046;7.71202;23.0721
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;228800;138600;15404;40;2200;2.95743;~15450;8.40322;25.2993
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;249600;151200;16804;40;2400;3.11819;~16854;9.25442;27.5265
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;10;0.022055;~76;0.330576;0.831424
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;200;0.276443;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;400;0.495606;~2814;1.70242;5.25446
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;600;0.747147;~4218;2.55362;7.48166
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;800;2.70253;~5622;3.24482;9.70886
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;1000;1.26903;~7026;3.93602;11.9361
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;1200;1.66814;~8430;4.78722;14.1633
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;1400;1.79002;~9834;5.47842;16.3905
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;1600;2.28293;~11238;6.16962;18.6177
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;1800;2.39125;~12642;7.02082;20.8449
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;2000;2.61984;~14046;7.71202;23.0721
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;2200;2.84887;~15450;8.40322;25.2993
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;80;2400;3.09861;~16854;9.25442;27.5265
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;120;10;0.0229092;~76;0.330576;0.831424
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;120;200;0.272623;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;120;400;3.44451;~2814;1.70242;5.25446
