nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;26;5;0.424071;20;~86;13.8304;38.0496
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;101;10;0.441525;21;~236;13.8496;38.1504
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;226;15;0.542092;21;~486;13.8816;38.3184
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;401;20;0.631748;21;~836;13.9264;38.5536
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;626;25;0.915377;21;~1286;13.984;38.856
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;901;30;1.03171;20;~1836;14.0544;39.2256
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;26;5;0.0216303;15;~51;0.0064;0.0336
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;101;10;0.0536268;16;~201;0.0256;0.1344
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;226;15;0.108978;16;~451;0.0576;0.3024
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;401;20;0.1748;20;~801;0.1024;0.5376
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;626;25;0.297999;18;~1251;0.16;0.84
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;901;30;0.497756;17;~1801;0.2304;1.2096
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;26;5;0.0131612;16;~26;0.0064;0.0576
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;101;10;0.0333228;21;~101;0.0256;0.2304
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;226;15;0.0825786;17;~226;0.0576;0.5184
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;401;20;0.0902275;17;~401;0.1024;0.9216
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;626;25;0.130737;21;~626;0.16;1.44
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash,ethergold;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;901;30;0.17681;22;~901;0.2304;2.0736
