nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;244170;19141;150;30;2.63979;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;145;30;2.62366;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;140;30;2.5395;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;135;30;2.63821;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;130;30;2.75564;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;125;30;2.72991;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;120;30;2.74334;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;115;30;2.83154;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;110;30;2.81445;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;105;30;2.84121;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;100;30;2.8721;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;95;30;2.92349;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;90;30;2.91279;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;85;30;3.02577;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;80;30;3.15504;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;75;30;3.28046;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;70;30;3.31504;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;65;30;3.39638;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;60;30;3.44751;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;55;30;3.72489;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;50;30;3.90814;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;45;30;3.97679;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;40;30;4.21642;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;35;30;4.69216;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;30;5.20421;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;25;30;6.13207;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;20;30;7.58094;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;15;30;10.006;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;10;30;14.8915;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;5;30;29.5553;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;244170;19141;150;30;23.4168;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;145;30;23.9533;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;140;30;24.4904;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;135;30;25.1124;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;130;30;25.791;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;125;30;26.4595;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;120;30;27.1312;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;115;30;28.0907;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;110;30;28.8273;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;105;30;29.7872;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;100;30;30.9805;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;95;30;32.1092;NA;545.695;NA
