nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;190320;117120;14671;5;100;30;35.9078;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;90;30;37.2295;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;80;30;39.0405;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;70;30;41.2766;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;60;30;43.9179;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;50;30;47.905;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;40;30;54.3095;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;30;30;64.4234;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;20;30;84.7349;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;10;30;146.833;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;190320;117120;14671;5;100;30;2.68636;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;90;30;2.61978;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;80;30;2.78257;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;70;30;2.91852;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;60;30;3.02006;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;50;30;3.0209;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;40;30;3.18283;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;30;30;3.58686;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;20;30;4.19099;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;5;10;30;7.43885;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;190320;117120;14671;5;100;30;3.99297;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;90;30;4.07159;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;80;30;4.27414;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;70;30;4.3637;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;60;30;4.60481;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;50;30;5.00553;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;40;30;5.48449;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;30;30;6.28796;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;20;30;8.0532;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;5;10;30;14.2315;~14873;17.3375;52.1725
