nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;17;4;0.00436049;~33;0.001024;0.002304
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;65;8;0.0151479;~129;0.004096;0.009216
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;101;10;0.0222632;~201;0.0064;0.0144
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;122;11;0.0280234;~243;0.007744;0.017424
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;17;4;0.0512883;~44;1.44102;2.8823
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;65;8;0.0544262;~140;1.4441;2.88922
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;101;10;0.0641434;~212;1.4464;2.8944
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;122;11;0.0802889;~254;1.44774;2.89742
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;17;4;0.00627195;~17;0.000512;0.001536
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;65;8;0.0198619;~65;0.002048;0.006144
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;101;10;0.0187705;~101;0.0032;0.0096
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;122;11;0.038232;~122;0.003872;0.011616
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;17;4;0.00291355;~17;0.000256;0.000768
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;65;8;0.00785634;~65;0.001024;0.003072
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;101;10;0.0156428;~101;0.0016;0.0048
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;122;11;0.0375239;~122;0.001936;0.005808
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;NA;2129;4;0.113803;NA;0.010608;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;NA;8513;8;0.493187;NA;0.042288;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;NA;13301;10;0.758491;NA;0.066048;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;NA;16094;11;0.948064;NA;0.079908;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;ccd;NA;NA;2129;4;0.11865;NA;0.021888;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;ccd;NA;NA;8513;8;0.5572;NA;0.087552;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;ccd;NA;NA;13301;10;0.867097;NA;0.1368;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;ccd;NA;NA;16094;11;1.09033;NA;0.165528;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;NA;2129;4;0.641037;NA;12.1227;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;NA;8513;8;2.44645;NA;48.1705;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;NA;13301;10;3.69088;NA;75.0464;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;NA;16094;11;4.23812;NA;90.8574;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;rep-bmr;NA;NA;2129;4;0.426282;NA;5.85328;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;rep-bmr;NA;NA;8513;8;1.96886;NA;23.4128;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;rep-bmr;NA;NA;13301;10;3.24186;NA;36.5825;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;rep-bmr;NA;NA;16094;11;3.69711;NA;44.2648;NA
