nodes;program;c.domain;adv.model;protocol;input_size;runtime(s);maxPhyRAM(MiB)
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;maldishonest;mascot;2;1.98162;256
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;maldishonest;lowgear;2;1283.31;1253
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;maldishonest;highgear;2;2937.73;2621
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;covertdishonest;cowgear;2;7.54388;130
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;covertdishonest;chaigear;2;77.0342;1251
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semidishonest;semi;2;0.00208578;12
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semidishonest;hemi;2;0.00146918;18
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semidishonest;temi;2;0.00170961;27
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semidishonest;soho;2;0.00152828;122
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;malhonest;malicious-shamir;2;0.0020396;13
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;malhonest;malicious-rep-field;2;0.00165842;13
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;malhonest;ps-rep-field;2;0.0017856;14
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;malhonest;sy-rep-field;2;0.00218393;17
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semihonest;shamir;2;0.00274878;13
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semihonest;atlas;2;0.0463781;17
dogecoin,dogecoincash,dogecoingold;32_matrix_add;FIELD;semihonest;replicated-field;2;0.00217307;13
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;maldishonest;spdz2k;2;1.26644;166
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;semidishonest;semi2k;2;0.00221;16
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;malhonest;brain;2;0.00237695;14
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;malhonest;malicious-rep-ring;2;0.00247595;14
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;malhonest;ps-rep-ring;2;0.00231336;14
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;malhonest;sy-rep-ring;2;0.00525344;16
dogecoin,dogecoincash,dogecoingold;32_matrix_add;RING;semihonest;replicated-ring;2;0.00215015;12
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;maldishonest;tinier;2;0.791032;81
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;maldishonest;real-bmr;2;27.1498;429
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semidishonest;semi-bin;2;0.533091;199
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semidishonest;yao;2;0.0186148;11
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semidishonest;yaoO;2;0.00282075;10
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semidishonest;semi-bmr;2;3.95554;69
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;malhonest;malicious-rep-bin;2;0.0565628;16
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;malhonest;malicious-ccd;2;0.0798836;12
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;malhonest;ps-rep-bin;2;1.84484;407
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;malhonest;mal-shamir-bmr;2;0.416112;31
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;malhonest;mal-rep-bmr;2;0.231454;32
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semihonest;replicated-bin;2;0.0310187;9
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semihonest;ccd;2;0.0275647;12
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semihonest;shamir-bmr;2;0.166647;21
dogecoin,dogecoincash,dogecoingold;32_matrix_add;BINARY;semihonest;rep-bmr;2;0.0885881;18
