comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.93;230;1;1;2;256;0;0.003520;0.00;4;87
2.92;231;1;1;2;4096;0;0.024176;0.03;5;80
2.82;228;1;1;4;256;0;0.002367;0.00;5;100
2.81;228;1;1;4;4096;0;0.014979;0.02;6;68
3.07;236;1;128;2;256;0;0.010424;0.01;6;57
3.12;236;1;128;2;4096;0;0.152219;0.19;39;45
2.99;234;1;128;4;256;0;0.009506;0.01;5;50
2.99;234;1;128;4;4096;0;0.115957;0.15;27;36
3.01;235;1;256;2;256;0;0.018775;0.02;8;48
3.01;233;1;256;2;4096;0;0.273335;0.33;76;39
2.92;232;1;256;4;256;0;0.015728;0.02;6;46
2.92;232;1;256;4;4096;0;0.228046;0.29;51;30
