comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.92;231;1;1;2;256;0;0.002589s;0.00;3;80
2.92;231;1;1;2;4096;0;0.024593s;0.03;7;76
2.80;227;1;1;4;256;0;0.002121s;0.00;3;66
2.80;227;1;1;4;4096;0;0.014271s;0.02;8;69
3.05;235;1;128;2;256;0;0.011371s;0.01;6;66
3.07;236;1;128;2;4096;0;0.142582s;0.18;39;43
2.99;233;1;128;4;256;0;0.009329s;0.02;5;47
3.00;233;1;128;4;4096;0;0.116241s;0.15;27;36
2.99;235;1;256;2;256;0;0.019043s;0.02;9;53
3.00;233;1;256;2;4096;0;0.269756s;0.33;75;39
2.93;232;1;256;4;256;0;0.015418s;0.02;6;52
2.92;232;1;256;4;4096;0;0.229182s;0.29;55;32
