comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.93          232                1                  1         1         4096        0           0.014914            0.03                 5             67
2.92          231                1                  1         2         4096        0           0.021120            0.03                 5             66
2.83          230                1                  1         3         4096        0           0.017081            0.03                 5             65
2.83          228                1                  1         4         4096        0           0.015063            0.02                 5             52
2.83          228                1                  1         5         4096        0           0.018884            0.03                 6             83
2.81          227                1                  1         6         4096        0           0.004998            0.01                 4             69
2.98          232                1                  8         1         4096        0           0.016442            0.02                 7             81
2.94          233                1                  8         2         4096        0           0.019451            0.03                 6             83
2.88          231                1                  8         3         4096        0           0.015999            0.03                 5             66
2.87          232                1                  8         4         4096        0           0.012950            0.03                 5             50
2.89          232                1                  8         5         4096        0           0.016014            0.03                 5             64
2.86          231                1                  8         6         4096        0           0.006477            0.01                 5             71
