comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.94;231;1;1;1;4096;0;0;0.003288s;0.013506s;0.016557s;0.016556s;0.02;7;88
2.92;230;1;1;2;4096;0;0;0.005045s;0.018223s;0.022827s;0.022826s;0.03;5;85
2.82;228;1;1;3;4096;0;0;0.002586s;0.006606s;0.016449s;0.016448s;0.02;5;59
2.81;228;1;1;4;4096;0;0;0.002876s;0.007903s;0.014655s;0.014654s;0.02;5;73
2.85;230;1;1;5;4096;0;0;0.002630s;0.009865s;0.018042s;0.018041s;0.02;5;62
2.80;227;1;1;6;4096;0;0;0.001360s;0.002392s;0.004640s;0.004639s;0.01;4;72
3.00;232;1;8;1;4096;0;0;0.003097s;0.013299s;0.016411s;0.016410s;0.02;7;79
2.98;232;1;8;2;4096;0;0;0.005035s;0.014765s;0.021277s;0.021276s;0.03;6;81
2.89;232;1;8;3;4096;0;0;0.003181s;0.006219s;0.016698s;0.016697s;0.02;5;53
2.88;231;1;8;4;4096;0;0;0.002780s;0.008128s;0.013798s;0.013797s;0.02;6;73
2.90;231;1;8;5;4096;0;0;0.003107s;0.007462s;0.015198s;0.015197s;0.02;5;68
2.87;230;1;8;6;4096;0;0;0.001920s;0.003908s;0.006520s;0.006519s;0.01;5;80
