comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  splitroles  inittime(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.87          231                1                  1         4         512         1           0           0.000063     0.000401          0.002394            0.002393           0.01                 4             53
2.87          230                1                  1         4         1024        1           0           0.000397     0.000961          0.004187            0.004186           0.01                 4             52
2.88          229                1                  1         4         1536        1           0           0.000538     0.000836          0.003908            0.003907           0.01                 4             61
2.88          230                1                  1         4         2048        1           0           0.000709     0.001188          0.005977            0.005976           0.02                 4             52
2.88          231                1                  1         4         2560        1           0           0.001025     0.001446          0.006990            0.006989           0.02                 4             56
2.87          229                1                  1         4         3072        1           0           0.001216     0.001424          0.007334            0.007333           0.02                 4             65
2.89          230                1                  1         4         3584        1           0           0.001346     0.002040          0.008748            0.008746           0.02                 5             59
2.88          229                1                  1         4         4096        1           0           0.001720     0.002343          0.010251            0.010250           0.03                 5             59
2.93          231                1                  8         4         512         1           0           0.000097     0.000595          0.002157            0.002156           0.00                 4             66
2.93          232                1                  8         4         1024        1           0           0.000328     0.000622          0.003015            0.003014           0.01                 4             54
2.94          231                1                  8         4         1536        1           0           0.000606     0.001028          0.004105            0.004104           0.01                 4             71
2.96          231                1                  8         4         2048        1           0           0.000767     0.001366          0.005175            0.005174           0.02                 4             57
2.96          232                1                  8         4         2560        1           0           0.000824     0.001294          0.005172            0.005171           0.01                 6             55
2.94          232                1                  8         4         3072        1           0           0.001119     0.002045          0.006031            0.006030           0.02                 5             72
2.93          232                1                  8         4         3584        1           0           0.001342     0.001841          0.007332            0.007331           0.02                 5             57
2.94          231                1                  8         4         4096        1           0           0.001383     0.001973          0.007997            0.007995           0.02                 5             55
3.03          232                1                  64        4         512         1           0           0.000481     0.000940          0.005239            0.005238           0.01                 5             47
3.03          231                1                  64        4         1024        1           0           0.001183     0.001631          0.009484            0.009483           0.03                 7             46
3.03          231                1                  64        4         1536        1           0           0.001747     0.002171          0.012736            0.012735           0.04                 10            50
3.05          231                1                  64        4         2048        1           0           0.002038     0.002530          0.014829            0.014828           0.05                 10            39
3.04          232                1                  64        4         2560        1           0           0.002845     0.003396          0.017787            0.017786           0.06                 12            44
3.05          231                1                  64        4         3072        1           0           0.003124     0.003465          0.021277            0.021276           0.08                 14            41
3.04          233                1                  64        4         3584        1           0           0.003592     0.005619          0.025202            0.025201           0.09                 16            44
3.03          232                1                  64        4         4096        1           0           0.004243     0.005310          0.028847            0.028845           0.09                 17            42
3.07          234                1                  128       4         512         1           0           0.000907     0.001208          0.008771            0.008770           0.02                 7             44
3.05          235                1                  128       4         1024        1           0           0.001472     0.001800          0.014544            0.014543           0.05                 10            35
3.05          234                1                  128       4         1536        1           0           0.002454     0.002698          0.021582            0.021581           0.07                 14            39
3.06          236                1                  128       4         2048        1           0           0.003212     0.003479          0.030048            0.030046           0.09                 17            37
3.06          237                1                  128       4         2560        1           0           0.002882     0.004186          0.037863            0.037862           0.11                 21            30
3.06          236                1                  128       4         3072        1           0           0.004108     0.004794          0.043062            0.043061           0.13                 24            35
3.06          236                1                  128       4         3584        1           0           0.004739     0.004952          0.049655            0.049654           0.15                 28            30
3.05          235                1                  128       4         4096        1           0           0.005509     0.006861          0.052799            0.052798           0.17                 31            35
2.99          233                1                  256       4         512         1           0           0.001244     0.001197          0.013280            0.013279           0.05                 10            36
3.01          232                1                  256       4         1024        1           0           0.002780     0.002917          0.026511            0.026510           0.08                 17            35
3.02          233                1                  256       4         1536        1           0           0.003579     0.004607          0.040840            0.040839           0.12                 24            30
2.99          233                1                  256       4         2048        1           0           0.004248     0.005244          0.060477            0.060476           0.16                 31            27
2.99          233                1                  256       4         2560        1           0           0.006130     0.006169          0.061044            0.061042           0.20                 38            33
2.98          233                1                  256       4         3072        1           0           0.007188     0.007845          0.076218            0.076216           0.24                 45            32
3.00          233                1                  256       4         3584        1           0           0.008163     0.011594          0.086789            0.086788           0.28                 52            33
3.00          233                1                  256       4         4096        1           0           0.010182     0.012717          0.098667            0.098665           0.32                 59            32
