comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;packbool;protocol;input_size;preprocess;splitroles;inittime(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.97;231;1;1;1;1;512;0;0;0.000370;0.002735;0.002701;0.002700;0.00;4;100
2.98;232;1;1;1;1;1024;0;0;0.000543;0.002926;0.002883;0.002882;0.00;4;100
2.99;232;1;1;1;1;1536;0;0;0.000758;0.003922;0.004292;0.004291;0.01;4;62
2.96;231;1;1;1;1;2048;0;0;0.001794;0.007324;0.007075;0.007074;0.01;6;100
2.97;232;1;1;1;1;2560;0;0;0.001892;0.008564;0.008668;0.008667;0.01;4;84
2.98;232;1;1;1;1;3072;0;0;0.001695;0.007255;0.007294;0.007293;0.01;5;108
2.96;232;1;1;1;1;3584;0;0;0.002685;0.011707;0.011869;0.011868;0.02;5;81
2.96;231;1;1;1;1;4096;0;0;0.003340;0.012335;0.012569;0.012568;0.02;9;100
2.96;232;1;1;1;1;4608;0;0;0.002515;0.011387;0.011774;0.011773;0.01;5;100
2.98;231;1;1;1;1;5120;0;0;0.004025;0.016080;0.015461;0.015460;0.02;6;96
2.97;231;1;1;1;1;5632;0;0;0.004429;0.016508;0.015577;0.015576;0.02;7;107
2.97;232;1;1;1;1;6144;0;0;0.004683;0.018124;0.017616;0.017615;0.03;6;86
2.97;232;1;1;1;1;6656;0;0;0.005279;0.018827;0.018586;0.018585;0.03;6;96
2.97;232;1;1;1;1;7168;0;0;0.003879;0.015884;0.015796;0.015795;0.02;7;100
2.97;233;1;1;1;1;7680;0;0;0.005796;0.021444;0.020730;0.020729;0.03;7;100
2.99;231;1;1;1;1;8192;0;0;0.006227;0.022228;0.021920;0.021919;0.03;7;97
2.95;232;1;1;1;2;512;0;0;0.000543;0.002842;0.003052;0.003051;0.00;4;100
2.97;231;1;1;1;2;1024;0;0;0.001228;0.005001;0.004917;0.004916;0.01;6;87
2.95;232;1;1;1;2;1536;0;0;0.001220;0.005435;0.005936;0.005935;0.01;6;100
2.96;231;1;1;1;2;2048;0;0;0.002652;0.009276;0.009384;0.009384;0.01;4;94
2.95;230;1;1;1;2;2560;0;0;0.003023;0.011437;0.011910;0.011909;0.02;5;100
2.96;231;1;1;1;2;3072;0;0;0.002465;0.010086;0.011223;0.011222;0.02;5;85
2.95;231;1;1;1;2;3584;0;0;0.004334;0.015192;0.015072;0.015071;0.02;5;100
2.94;230;1;1;1;2;4096;0;0;0.005039;0.017083;0.017403;0.017401;0.02;5;96
2.96;231;1;1;1;2;4608;0;0;0.005833;0.018668;0.018937;0.018937;0.03;6;96
2.95;232;1;1;1;2;5120;0;0;0.006314;0.020227;0.019272;0.019272;0.03;6;103
2.97;232;1;1;1;2;5632;0;0;0.007028;0.022737;0.023032;0.023031;0.03;6;100
2.95;230;1;1;1;2;6144;0;0;0.007721;0.024175;0.024395;0.024394;0.03;7;100
2.95;232;1;1;1;2;6656;0;0;0.007844;0.025655;0.025889;0.025888;0.04;7;95
2.95;232;1;1;1;2;7168;0;0;0.006317;0.022250;0.024482;0.024481;0.03;7;87
2.92;231;1;1;1;2;7680;0;0;0.008966;0.028072;0.027321;0.027320;0.04;7;100
2.96;231;1;1;1;2;8192;0;0;0.009972;0.029929;0.028936;0.028935;0.04;9;102
2.87;230;1;1;1;3;512;0;0;0.000375;0.001518;0.002610;0.002609;0.00;4;85
2.88;230;1;1;1;3;1024;0;0;0.000620;0.002065;0.004012;0.004011;0.01;4;60
2.86;229;1;1;1;3;1536;0;0;0.001527;0.004200;0.005534;0.005533;0.01;6;83
2.87;229;1;1;1;3;2048;0;0;0.001840;0.005097;0.006663;0.006662;0.01;6;85
2.85;230;1;1;1;3;2560;0;0;0.002202;0.006367;0.009033;0.009032;0.02;4;70
2.86;230;1;1;1;3;3072;0;0;0.002856;0.007581;0.010211;0.010210;0.01;6;84
2.87;230;1;1;1;3;3584;0;0;0.003193;0.008233;0.011903;0.011902;0.03;5;67
2.86;230;1;1;1;3;4096;0;0;0.003835;0.008682;0.013193;0.013192;0.02;6;79
2.86;229;1;1;1;3;4608;0;0;0.002900;0.007641;0.012799;0.012798;0.02;5;71
2.87;229;1;1;1;3;5120;0;0;0.003338;0.008537;0.014190;0.014189;0.02;5;65
2.88;230;1;1;1;3;5632;0;0;0.005199;0.012137;0.017432;0.017431;0.03;5;75
2.90;230;1;1;1;3;6144;0;0;0.005755;0.013043;0.017177;0.017176;0.03;7;86
2.88;229;1;1;1;3;6656;0;0;0.006227;0.014171;0.020763;0.020762;0.04;6;72
2.86;229;1;1;1;3;7168;0;0;0.006495;0.014499;0.019978;0.019977;0.03;6;84
2.87;229;1;1;1;3;7680;0;0;0.007320;0.015085;0.021170;0.021169;0.03;6;83
2.86;230;1;1;1;3;8192;0;0;0.007643;0.016001;0.023160;0.023147;0.03;6;82
