comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.93          230                1                  1         0         0         1         512         0           0           0.000569     0.002646          0.004349            0.004348           0.00                 4             75
2.95          232                1                  1         0         0         1         1024        0           0           0.001145     0.004419          0.007052            0.007051           0.01                 6             76
2.93          234                1                  1         0         0         1         1536        0           0           0.001603     0.005883          0.009371            0.009370           0.02                 4             57
2.93          230                1                  1         0         0         1         2048        0           0           0.002062     0.007866          0.011982            0.011981           0.02                 5             68
2.92          231                1                  1         0         0         1         2560        0           0           0.001787     0.007323          0.013034            0.013033           0.02                 5             59
2.93          231                1                  1         0         0         1         3072        0           0           0.002125     0.008396          0.015434            0.015434           0.02                 5             64
2.93          230                1                  1         0         0         1         3584        0           0           0.003805     0.012510          0.018899            0.018898           0.03                 9             80
2.93          230                1                  1         0         0         1         4096        0           0           0.003020     0.011037          0.019609            0.019608           0.02                 6             66
2.93          231                1                  1         0         0         1         4608        0           0           0.004972     0.015624          0.024630            0.024629           0.03                 6             75
2.94          232                1                  1         0         0         1         5120        0           0           0.003603     0.014214          0.025392            0.025391           0.03                 6             64
2.92          232                1                  1         0         0         1         5632        0           0           0.005891     0.019059          0.029233            0.029232           0.04                 7             68
2.95          230                1                  1         0         0         1         6144        0           0           0.006488     0.020124          0.032680            0.032679           0.04                 7             71
2.93          231                1                  1         0         0         1         6656        0           0           0.004772     0.018691          0.032996            0.032995           0.05                 7             62
2.95          231                1                  1         0         0         1         7168        0           0           0.007935     0.023609          0.036756            0.036755           0.05                 7             73
2.93          232                1                  1         0         0         1         7680        0           0           0.008107     0.027120          0.039836            0.039835           0.05                 8             72
2.94          231                1                  1         0         0         1         8192        0           0           0.008786     0.026828          0.040161            0.040160           0.05                 9             75
2.92          232                1                  1         0         0         2         512         0           0           0.000504     0.003274          0.004176            0.004175           0.01                 5             78
2.92          231                1                  1         0         0         2         1024        0           0           0.001310     0.005420          0.007217            0.007216           0.01                 4             83
2.93          231                1                  1         0         0         2         1536        0           0           0.001740     0.007590          0.010588            0.010587           0.02                 4             65
2.92          230                1                  1         0         0         2         2048        0           0           0.002525     0.010010          0.013753            0.013752           0.02                 4             76
2.92          230                1                  1         0         0         2         2560        0           0           0.002034     0.009112          0.014435            0.014434           0.02                 5             68
2.91          231                1                  1         0         0         2         3072        0           0           0.002534     0.011365          0.016137            0.016136           0.02                 5             72
2.92          230                1                  1         0         0         2         3584        0           0           0.004367     0.016183          0.019917            0.019916           0.03                 5             90
2.93          231                1                  1         0         0         2         4096        0           0           0.004942     0.017820          0.023224            0.023223           0.03                 7             82
2.92          231                1                  1         0         0         2         4608        0           0           0.003832     0.014990          0.024676            0.024675           0.03                 6             63
2.92          232                1                  1         0         0         2         5120        0           0           0.006127     0.022847          0.030300            0.030298           0.04                 6             77
2.91          230                1                  1         0         0         2         5632        0           0           0.005032     0.018675          0.027635            0.027634           0.03                 6             78
2.93          231                1                  1         0         0         2         6144        0           0           0.007349     0.026142          0.035140            0.035139           0.05                 6             82
2.91          231                1                  1         0         0         2         6656        0           0           0.008095     0.028076          0.037932            0.037931           0.05                 8             80
2.93          231                1                  1         0         0         2         7168        0           0           0.008713     0.029707          0.040659            0.040659           0.05                 8             81
2.91          230                1                  1         0         0         2         7680        0           0           0.009178     0.029523          0.041615            0.041614           0.05                 7             77
2.91          231                1                  1         0         0         2         8192        0           0           0.007206     0.027317          0.043038            0.043038           0.05                 9             71
2.82          230                1                  1         0         0         3         512         0           0           0.000365     0.002055          0.004133            0.004132           0.01                 5             80
2.83          229                1                  1         0         0         3         1024        0           0           0.000621     0.002214          0.006116            0.006115           0.01                 4             50
2.83          230                1                  1         0         0         3         1536        0           0           0.000915     0.003195          0.008673            0.008672           0.01                 4             58
2.82          230                1                  1         0         0         3         2048        0           0           0.001883     0.004408          0.012245            0.012244           0.02                 6             48
2.83          230                1                  1         0         0         3         2560        0           0           0.002489     0.007021          0.012781            0.012780           0.02                 4             71
2.83          230                1                  1         0         0         3         3072        0           0           0.002935     0.008841          0.015197            0.015196           0.02                 5             73
2.82          230                1                  1         0         0         3         3584        0           0           0.002300     0.006635          0.015952            0.015951           0.02                 5             54
2.82          229                1                  1         0         0         3         4096        0           0           0.003623     0.010244          0.022012            0.022011           0.04                 7             58
2.87          230                1                  1         0         0         3         4608        0           0           0.002902     0.008716          0.022879            0.022878           0.03                 5             48
2.82          229                1                  1         0         0         3         5120        0           0           0.004747     0.013247          0.025564            0.025562           0.03                 5             65
2.83          230                1                  1         0         0         3         5632        0           0           0.003778     0.011146          0.025349            0.025348           0.03                 5             57
2.83          230                1                  1         0         0         3         6144        0           0           0.005753     0.015710          0.030536            0.030535           0.04                 6             63
2.82          228                1                  1         0         0         3         6656        0           0           0.004378     0.012715          0.031212            0.031211           0.04                 6             52
2.83          229                1                  1         0         0         3         7168        0           0           0.006742     0.017159          0.032405            0.032404           0.04                 8             68
2.82          229                1                  1         0         0         3         7680        0           0           0.007213     0.018888          0.034203            0.034202           0.04                 6             69
2.83          229                1                  1         0         0         3         8192        0           0           0.007350     0.019870          0.039292            0.039291           0.06                 8             58
2.83          229                1                  1         0         0         4         512         0           0           0.000408     0.001790          0.003724            0.003723           0.00                 4             85
2.82          229                1                  1         0         0         4         1024        0           0           0.000931     0.003180          0.006087            0.006086           0.01                 5             83
2.82          229                1                  1         0         0         4         1536        0           0           0.001503     0.003859          0.008448            0.008447           0.01                 4             64
2.83          229                1                  1         0         0         4         2048        0           0           0.001815     0.005098          0.011087            0.011086           0.01                 4             66
2.82          230                1                  1         0         0         4         2560        0           0           0.002409     0.006511          0.012072            0.012071           0.01                 4             68
2.82          229                1                  1         0         0         4         3072        0           0           0.001862     0.005345          0.014936            0.014935           0.02                 5             50
2.82          229                1                  1         0         0         4         3584        0           0           0.003365     0.009667          0.016985            0.016984           0.02                 5             76
2.82          229                1                  1         0         0         4         4096        0           0           0.002448     0.007265          0.019396            0.019395           0.03                 5             52
2.81          230                1                  1         0         0         4         4608        0           0           0.004437     0.010483          0.022590            0.022590           0.03                 7             64
2.82          229                1                  1         0         0         4         5120        0           0           0.003458     0.008810          0.022748            0.022747           0.03                 6             56
2.83          229                1                  1         0         0         4         5632        0           0           0.005432     0.012016          0.025042            0.025042           0.03                 6             64
2.82          230                1                  1         0         0         4         6144        0           0           0.003896     0.010238          0.028476            0.028475           0.04                 6             47
2.82          229                1                  1         0         0         4         6656        0           0           0.006148     0.014508          0.029672            0.029672           0.04                 8             63
2.84          228                1                  1         0         0         4         7168        0           0           0.006810     0.016607          0.031307            0.031306           0.04                 6             65
2.82          228                1                  1         0         0         4         7680        0           0           0.007222     0.016614          0.034967            0.034966           0.05                 8             62
2.82          229                1                  1         0         0         4         8192        0           0           0.007617     0.017939          0.038104            0.038103           0.05                 7             59
2.85          230                1                  1         0         0         5         512         0           0           0.000259     0.001748          0.003885            0.003884           0.00                 4             66
2.83          228                1                  1         0         0         5         1024        0           0           0.001009     0.004351          0.006216            0.006215           0.01                 4             83
2.85          229                1                  1         0         0         5         1536        0           0           0.001411     0.006121          0.009028            0.009027           0.02                 6             65
2.85          229                1                  1         0         0         5         2048        0           0           0.001227     0.005617          2.471110            2.471109           2.48                 4             0
2.85          228                1                  1         0         0         5         2560        0           0           0.002316     0.009824          0.014039            0.014038           0.02                 4             81
2.84          229                1                  1         0         0         5         3072        0           0           0.002630     0.011680          0.016460            0.016459           0.03                 5             70
2.83          230                1                  1         0         0         5         3584        0           0           0.003162     0.013778          0.020105            0.020104           0.03                 5             66
2.84          230                1                  1         0         0         5         4096        0           0           0.003981     0.015322          0.020153            0.020153           0.03                 5             83
2.84          230                1                  1         0         0         5         4608        0           0           0.002937     0.012314          0.022178            0.022177           0.03                 7             61
2.84          229                1                  1         0         0         5         5120        0           0           0.004808     0.019162          0.026151            0.026150           0.04                 5             78
2.84          230                1                  1         0         0         5         5632        0           0           0.005439     0.019220          0.028396            0.028395           0.04                 6             78
2.83          229                1                  1         0         0         5         6144        0           0           0.005852     0.021697          0.030706            0.030705           0.04                 6             74
2.84          232                1                  1         0         0         5         6656        0           0           0.005943     0.022633          0.032606            0.032605           0.05                 6             69
2.85          230                1                  1         0         0         5         7168        0           0           0.004913     0.018840          0.033370            0.033369           0.04                 6             63
2.83          228                1                  1         0         0         5         7680        0           0           0.007199     0.024850          0.037683            0.037682           0.05                 7             73
2.86          229                1                  1         0         0         5         8192        0           0           0.007689     0.026936          0.037722            0.037721           0.05                 7             79
2.82          227                1                  1         0         0         6         512         0           0           0.000220     0.000843          0.001045            0.001044           0.00                 3             100
2.81          228                1                  1         0         0         6         1024        0           0           0.000322     0.001380          0.001582            0.001581           0.00                 4             83
2.82          228                1                  1         0         0         6         1536        0           0           0.000748     0.001407          0.002410            0.002409           0.00                 4             71
2.82          228                1                  1         0         0         6         2048        0           0           0.000961     0.001463          0.002829            0.002828           0.01                 5             55
2.81          228                1                  1         0         0         6         2560        0           0           0.001204     0.002245          0.003602            0.003601           0.01                 6             83
2.81          227                1                  1         0         0         6         3072        0           0           0.001413     0.002196          0.003871            0.003870           0.01                 4             66
2.81          229                1                  1         0         0         6         3584        0           0           0.001707     0.002482          0.004864            0.004863           0.01                 4             83
2.81          228                1                  1         0         0         6         4096        0           0           0.001236     0.002039          0.004745            0.004744           0.01                 4             57
2.83          228                1                  1         0         0         6         4608        0           0           0.002266     0.003375          0.005863            0.005862           0.01                 6             80
2.81          227                1                  1         0         0         6         5120        0           0           0.002404     0.003558          0.006418            0.006417           0.01                 5             82
2.83          228                1                  1         0         0         6         5632        0           0           0.002701     0.003290          0.006809            0.006808           0.01                 5             81
2.83          227                1                  1         0         0         6         6144        0           0           0.003068     0.004244          0.007050            0.007049           0.01                 9             84
2.82          228                1                  1         0         0         6         6656        0           0           0.002246     0.003453          0.007913            0.007912           0.02                 5             61
2.82          228                1                  1         0         0         6         7168        0           0           0.003487     0.004535          0.007522            0.007521           0.01                 5             88
2.83          228                1                  1         0         0         6         7680        0           0           0.003731     0.005213          0.009186            0.009185           0.02                 5             78
2.83          227                1                  1         0         0         6         8192        0           0           0.004020     0.005089          0.009615            0.009614           0.02                 5             77
3.01          232                1                  8         0         0         1         512         0           0           0.000448     0.002716          0.004302            0.004301           0.00                 4             85
3.00          234                1                  8         0         0         1         1024        0           0           0.001184     0.005214          0.007601            0.007600           0.01                 8             85
2.99          233                1                  8         0         0         1         1536        0           0           0.001800     0.006889          0.010104            0.010103           0.01                 6             82
2.99          233                1                  8         0         0         1         2048        0           0           0.001745     0.006412          0.011531            0.011530           0.02                 5             56
2.98          233                1                  8         0         0         1         2560        0           0           0.002609     0.010016          0.014437            0.014436           0.02                 5             73
3.00          232                1                  8         0         0         1         3072        0           0           0.003281     0.013046          0.018433            0.018432           0.03                 7             74
3.00          233                1                  8         0         0         1         3584        0           0           0.003945     0.013237          0.019878            0.019877           0.03                 6             80
3.00          232                1                  8         0         0         1         4096        0           0           0.003281     0.012158          0.022120            0.022119           0.04                 6             60
2.98          233                1                  8         0         0         1         4608        0           0           0.004977     0.017049          0.024716            0.024715           0.03                 8             81
3.00          233                1                  8         0         0         1         5120        0           0           0.005597     0.019486          0.028659            0.028658           0.04                 10            80
3.02          233                1                  8         0         0         1         5632        0           0           0.006067     0.020996          0.031113            0.031112           0.04                 7             73
3.00          233                1                  8         0         0         1         6144        0           0           0.004911     0.018142          0.031345            0.031344           0.04                 7             65
2.99          234                1                  8         0         0         1         6656        0           0           0.007176     0.023493          0.035382            0.035381           0.05                 9             76
3.00          232                1                  8         0         0         1         7168        0           0           0.007541     0.025759          0.039887            0.039886           0.05                 8             73
3.00          233                1                  8         0         0         1         7680        0           0           0.006138     0.024347          0.039885            0.039884           0.05                 9             69
3.00          232                1                  8         0         0         1         8192        0           0           0.008704     0.027362          0.041243            0.041242           0.05                 10            76
2.94          233                1                  8         0         0         2         512         0           0           0.000565     0.002942          0.004320            0.004320           0.00                 5             88
2.97          232                1                  8         0         0         2         1024        0           0           0.001058     0.003251          0.006161            0.006160           0.01                 4             60
2.96          232                1                  8         0         0         2         1536        0           0           0.001923     0.006047          0.008492            0.008491           0.01                 4             77
2.95          232                1                  8         0         0         2         2048        0           0           0.002483     0.007749          0.011059            0.011058           0.01                 4             78
2.94          232                1                  8         0         0         2         2560        0           0           0.002525     0.007459          0.011742            0.011742           0.01                 5             76
2.94          232                1                  8         0         0         2         3072        0           0           0.002987     0.008470          0.014238            0.014237           0.02                 5             68
2.94          232                1                  8         0         0         2         3584        0           0           0.004379     0.013270          0.019205            0.019204           0.02                 5             82
2.95          231                1                  8         0         0         2         4096        0           0           0.005159     0.013920          0.020287            0.020286           0.03                 6             80
2.94          232                1                  8         0         0         2         4608        0           0           0.005623     0.016281          0.023176            0.023175           0.03                 9             80
2.94          232                1                  8         0         0         2         5120        0           0           0.006119     0.017451          0.025261            0.025260           0.04                 8             75
2.96          233                1                  8         0         0         2         5632        0           0           0.006886     0.018391          0.027403            0.027401           0.04                 6             78
2.95          232                1                  8         0         0         2         6144        0           0           0.007374     0.020517          0.030579            0.030578           0.04                 7             75
2.94          233                1                  8         0         0         2         6656        0           0           0.008173     0.020840          0.030234            0.030233           0.04                 7             80
2.94          232                1                  8         0         0         2         7168        0           0           0.008792     0.022206          0.034403            0.034402           0.05                 7             74
2.94          232                1                  8         0         0         2         7680        0           0           0.008937     0.022338          0.034864            0.034863           0.05                 7             69
2.95          232                1                  8         0         0         2         8192        0           0           0.007232     0.021052          0.034530            0.034529           0.05                 8             62
2.88          230                1                  8         0         0         3         512         0           0           0.000371     0.001704          0.003736            0.003735           0.01                 3             70
2.87          231                1                  8         0         0         3         1024        0           0           0.000817     0.002053          0.005833            0.005833           0.01                 4             60
2.88          231                1                  8         0         0         3         1536        0           0           0.001241     0.003174          0.007735            0.007734           0.01                 4             66
2.89          231                1                  8         0         0         3         2048        0           0           0.001552     0.003473          0.009874            0.009873           0.02                 4             47
2.88          231                1                  8         0         0         3         2560        0           0           0.002397     0.006118          0.012248            0.012247           0.02                 4             66
2.89          231                1                  8         0         0         3         3072        0           0           0.002814     0.006999          0.015181            0.015180           0.02                 5             62
2.89          233                1                  8         0         0         3         3584        0           0           0.003277     0.008023          0.017266            0.017265           0.02                 5             65
2.88          231                1                  8         0         0         3         4096        0           0           0.003970     0.009026          0.019260            0.019259           0.02                 5             62
2.88          230                1                  8         0         0         3         4608        0           0           0.003354     0.007574          0.020329            0.020328           0.03                 5             50
2.89          231                1                  8         0         0         3         5120        0           0           0.004809     0.010812          0.022393            0.022392           0.03                 6             66
2.89          230                1                  8         0         0         3         5632        0           0           0.005500     0.011903          0.023253            0.023252           0.03                 6             69
2.89          230                1                  8         0         0         3         6144        0           0           0.005879     0.013269          0.026313            0.026312           0.03                 6             64
2.87          230                1                  8         0         0         3         6656        0           0           0.006092     0.014063          0.030004            0.030003           0.05                 6             55
2.89          230                1                  8         0         0         3         7168        0           0           0.005380     0.011552          0.029029            0.029028           0.03                 6             53
2.91          230                1                  8         0         0         3         7680        0           0           0.005242     0.011992          0.030220            0.030219           0.05                 7             52
2.89          231                1                  8         0         0         3         8192        0           0           0.007795     0.016219          0.036072            0.036071           0.05                 7             61
2.89          231                1                  8         0         0         4         512         0           0           0.000399     0.001439          0.003320            0.003319           0.00                 4             66
2.87          230                1                  8         0         0         4         1024        0           0           0.000979     0.003493          0.005626            0.005625           0.01                 6             90
2.88          230                1                  8         0         0         4         1536        0           0           0.001385     0.003895          0.007977            0.007976           0.01                 4             66
2.89          231                1                  8         0         0         4         2048        0           0           0.001912     0.005410          0.010429            0.010427           0.01                 4             63
2.87          230                1                  8         0         0         4         2560        0           0           0.002307     0.007205          0.011963            0.011962           0.02                 5             72
2.88          230                1                  8         0         0         4         3072        0           0           0.002763     0.007935          0.014261            0.014260           0.03                 5             60
2.87          231                1                  8         0         0         4         3584        0           0           0.003335     0.009546          0.015657            0.015656           0.02                 5             76
2.89          231                1                  8         0         0         4         4096        0           0           0.003813     0.010644          0.018693            0.018692           0.02                 7             72
2.88          231                1                  8         0         0         4         4608        0           0           0.003349     0.008365          0.019747            0.019746           0.03                 6             50
2.87          230                1                  8         0         0         4         5120        0           0           0.003685     0.009367          0.021801            0.021801           0.03                 6             60
2.89          232                1                  8         0         0         4         5632        0           0           0.005065     0.010000          0.024026            0.024025           0.04                 8             56
2.87          231                1                  8         0         0         4         6144        0           0           0.005778     0.015400          0.026305            0.026303           0.04                 8             68
2.89          230                1                  8         0         0         4         6656        0           0           0.006422     0.015879          0.028185            0.028184           0.04                 7             69
2.88          231                1                  8         0         0         4         7168        0           0           0.006697     0.017621          0.029045            0.029044           0.04                 7             71
2.88          230                1                  8         0         0         4         7680        0           0           0.007439     0.017578          0.032878            0.032877           0.04                 7             69
2.88          230                1                  8         0         0         4         8192        0           0           0.007731     0.020204          0.034821            0.034820           0.05                 7             68
2.89          231                1                  8         0         0         5         512         0           0           0.000406     0.001867          0.003684            0.003683           0.01                 3             46
2.88          232                1                  8         0         0         5         1024        0           0           0.001018     0.003179          0.005784            0.005783           0.01                 5             81
2.90          230                1                  8         0         0         5         1536        0           0           0.001231     0.003273          0.007593            0.007592           0.01                 4             66
2.89          230                1                  8         0         0         5         2048        0           0           0.001632     0.004449          0.009311            0.009310           0.01                 4             64
