comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preprocess_chrono(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.99;234;1;8;1;0;1;1024;0;1;;N;.003198;.007402;.007401;2.99;234;99
3.00;233;1;8;1;0;1;8192;0;1;;N;.024499;.072669;.072668;3.00;233;99
2.94;232;1;8;1;0;2;1024;0;1;;N;.002878;.009060;.009059;2.94;232;99
2.95;236;1;8;1;0;2;8192;0;1;;N;.018084;.061596;.061595;2.95;236;99
2.89;231;1;8;1;0;3;1024;0;1;;N;.001815;.007108;.007107;2.89;231;99
2.88;230;1;8;1;0;3;8192;0;1;;N;.012663;.049133;.049132;2.88;230;99
3.11;237;1;64;1;0;1;1024;0;1;;N;.007011;.060705;.060704;3.11;237;99
3.13;233;1;64;1;0;1;8192;0;1;0.007585;N;0.060589;0.547471;0.547470;3.13;233;99
3.08;234;1;64;1;0;2;1024;0;1;;N;.006478;.052963;.052962;3.08;234;100
3.08;232;1;64;1;0;2;8192;0;1;0.011682;N;0.067585;0.466589;0.466588;3.08;232;100
2.98;230;1;64;1;0;3;1024;0;1;0.002247;N;0.003490;.045209;.045208;2.98;230;99
3.00;231;1;64;1;0;3;8192;0;1;0.012858;N;0.046985;0.377152;.286041;3.00;231;100
