comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preprocess_chrono(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.00          232                1                  8         1         0         1         1024        0           1           .001055      NA                    .003699           .007228             .007227            3.00                 232           99
2.99          233                1                  8         1         0         1         8192        0           1           .008616      NA                    .022508           .071043             .071042            2.99                 233           99
2.94          232                1                  8         1         0         2         1024        0           1           .001569      NA                    .003639           .007903             .007901            2.94                 232           99
2.93          232                1                  8         1         0         2         8192        0           1           .011188      NA                    .019750           .069598             .069597            2.93                 232           100
2.89          230                1                  8         1         0         3         1024        0           1           .001115      NA                    .001902           .006309             .006308            2.89                 230           99
2.88          230                1                  8         1         0         3         8192        0           1           .009198      NA                    .012444           .047201             .047200            2.88                 230           100
3.10          232                1                  64        1         0         1         1024        0           1           .001418      NA                    .009532           .060884             .060883            3.10                 232           99
3.10          233                1                  64        1         0         1         8192        0           1           .009415      NA                    .073249           .473967             .473966            3.10                 233           99
3.06          233                1                  64        1         0         2         1024        0           1           .002263      NA                    .006003           .054199             .054198            3.06                 233           99
3.07          233                1                  64        1         0         2         8192        0           1           .018288      NA                    .067312           .396301             .396300            3.07                 233           99
2.97          232                1                  64        1         0         3         1024        0           1           .001915      NA                    .004415           .044580             .044579            2.97                 232           100
3.00          231                1                  64        1         0         3         8192        0           1           .019625      NA                    .045041           .319387             .319386            3.00                 231           99
