comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.06;234;1;2.5;256;1;0;1;1024;0;0;0.002088;NA;0.016678;0.050828;0.050827;0.06;19;47
3.04;233;1;2.5;256;1;0;1;4096;0;0;0.006737;NA;0.061237;0.213743;0.213742;0.26;67;41
3.05;235;1;2.5;256;1;0;1;8192;0;0;0.012633;NA;0.116498;0.488932;0.488931;0.58;130;35
2.99;233;1;2.5;256;1;0;2;1024;0;0;0.003044;NA;0.015795;0.066038;0.066038;0.08;25;39
2.99;234;1;2.5;256;1;0;2;4096;0;0;0.011822;NA;0.053544;0.253988;0.253987;0.30;75;33
2.98;234;1;2.5;256;1;0;2;8192;0;0;0.024634;NA;0.101052;0.500749;0.500748;0.60;149;33
2.93;233;1;2.5;256;1;0;3;1024;0;0;0.002747;NA;0.008084;0.065076;0.065075;0.08;15;28
2.93;232;1;2.5;256;1;0;3;4096;0;0;0.011093;NA;0.029530;0.253187;0.253186;0.30;53;26
2.92;231;1;2.5;256;1;0;3;8192;0;0;0.022415;NA;0.059345;0.500189;0.500188;0.60;99;25
2.90;232;1;2.5;256;1;0;4;1024;0;0;0.002740;NA;0.007729;0.057048;0.057047;0.07;17;32
2.91;233;1;2.5;256;1;0;4;4096;0;0;0.010168;NA;0.030895;0.227174;0.227173;0.27;51;28
2.92;232;1;2.5;256;1;0;4;8192;0;0;0.020978;NA;0.058021;0.446447;0.446446;0.54;99;28
2.92;232;1;2.5;256;1;0;5;1024;0;0;0.002900;NA;0.009810;0.063847;0.063846;0.07;17;30
2.93;232;1;2.5;256;1;0;5;4096;0;0;0.010944;NA;0.037395;0.250197;0.250195;0.30;59;28
2.94;232;1;2.5;256;1;0;5;8192;0;0;0.022489;NA;0.071036;0.491199;0.491198;0.58;115;28
2.91;232;1;2.5;256;1;0;6;1024;0;0;0.001789;NA;0.005051;0.022698;0.022697;0.03;13;48
2.90;232;1;2.5;256;1;0;6;4096;0;0;0.005918;NA;0.017295;0.088792;0.088791;0.13;43;46
2.91;233;1;2.5;256;1;0;6;8192;0;0;0.011172;NA;0.034110;0.175412;0.175411;0.26;83;45
