comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.97          231                1                  2.5         256       1         0         4         8192        0           1           .005931      NA          .019256           .024563             .024562            2.97                 231           99
3.00          233                1                  2.5         256       1         0         4         8192        1           1           .005806      0.108696    .010499           .015440             .015440            3.00                 233           99
2.94          233                1                  2.3         256       1         0         4         8192        0           1           .006016      NA          .016969           .022431             .022431            2.94                 233           99
3.01          234                1                  2.3         256       1         0         4         8192        1           1           .005739      0.048527    .011641           .015263             .015263            3.01                 234           100
2.95          233                1                  2.1         256       1         0         4         8192        0           1           .006027      NA          .018608           .024699             .024699            2.95                 233           100
3.00          232                1                  2.1         256       1         0         4         8192        1           1           .006218      0.074951    .010743           .013922             .013922            3.00                 232           99
2.95          231                1                  2           256       1         0         4         8192        0           1           .007463      NA          .017859           .026551             .026551            2.95                 231           99
3.01          232                1                  2           256       1         0         4         8192        1           1           .006263      0.088512    .010512           .013385             .013385            3.01                 232           99
2.95          232                1                  1.9         256       1         0         4         8192        0           1           .006862      NA          .018101           .026428             .026428            2.95                 232           99
3.03          233                1                  1.9         256       1         0         4         8192        1           1           .007059      0.074235    .012246           .016537             .016537            3.03                 233           99
2.95          232                1                  1.8         256       1         0         4         8192        0           1           .006681      NA          .019586           .025277             .025277            2.95                 232           99
3.00          234                1                  1.8         256       1         0         4         8192        1           1           .006311      0.073781    .011080           .013834             .013834            3.00                 234           99
2.94          232                1                  1.7         256       1         0         4         8192        0           1           .006857      NA          .019119           .025222             .025221            2.94                 232           99
3.01          233                1                  1.7         256       1         0         4         8192        1           1           .006839      0.067378    .011194           .015813             .015813            3.01                 233           99
2.94          231                1                  1.6         256       1         0         4         8192        0           1           .006693      NA          .020356           .026499             .026499            2.94                 231           99
3.03          233                1                  1.6         256       1         0         4         8192        1           1           .006928      0.071862    .012529           .015610             .015610            3.03                 233           99
