comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.63          218                1                  128       1         0         1         25000            4096        0           1           .000524      NA          .006334           .028550             .028550            1.63                 218           99
1.63          218                1                  128       1         0         1         25000            8192        0           1           .001094      NA          .013673           .043982             .043982            1.63                 218           99
1.77          218                1                  128       1         0         1         25000            65536       0           1           .011173      NA          .080045           .168012             .168012            1.77                 218           99
1.58          217                1                  128       1         0         1         24000            4096        0           1           .000497      NA          .007791           .038308             .038308            1.58                 217           100
1.76          218                1                  128       1         0         1         24000            8192        0           1           .001013      NA          .013493           .047130             .047129            1.76                 218           99
1.57          218                1                  128       1         0         1         24000            65536       0           1           .012227      NA          .090803           .205350             .205350            1.57                 218           99
1.77          218                1                  128       1         0         1         23000            4096        0           1           .000536      NA          .007127           .031315             .031315            1.77                 218           99
1.58          217                1                  128       1         0         1         23000            8192        0           1           .001093      NA          .014207           .051954             .051954            1.58                 217           99
1.81          218                1                  128       1         0         1         23000            65536       0           1           .012420      NA          .087982           .191905             .191905            1.81                 218           99
1.58          217                1                  128       1         0         1         22000            4096        0           1           .000565      NA          .006743           .031160             .031160            1.58                 217           99
1.60          218                1                  128       1         0         1         22000            8192        0           1           .000962      NA          .010953           .057965             .057964            1.60                 218           99
1.63          217                1                  128       1         0         1         22000            65536       0           1           .011202      NA          .081419           .201594             .201594            1.63                 217           99
1.71          217                1                  128       1         0         1         21000            4096        0           1           .000566      NA          .007955           .040118             .040118            1.71                 217           99
1.57          217                1                  128       1         0         1         21000            8192        0           1           .001044      NA          .010576           .052949             .052949            1.57                 217           100
1.78          217                1                  128       1         0         1         21000            65536       0           1           .011381      NA          .089463           .208544             .208544            1.78                 217           99
1.54          218                1                  128       1         0         1         20000            4096        0           1           .000535      NA          .005913           .029100             .029099            1.54                 218           99
1.82          218                1                  128       1         0         1         20000            8192        0           1           .001096      NA          .011072           .049773             .049773            1.82                 218           100
1.58          217                1                  128       1         0         1         20000            65536       0           1           .012764      NA          .086336           .196688             .196688            1.58                 217           99
1.85          218                1                  128       1         0         1         19000            4096        0           1           .000532      NA          .006004           .017007             .017006            1.85                 218           99
1.58          217                1                  128       1         0         1         19000            8192        0           1           .001004      NA          .010757           .045740             .045740            1.58                 217           99
1.79          218                1                  128       1         0         1         19000            65536       0           1           .011599      NA          .086344           .195009             .195009            1.79                 218           100
1.47          218                1                  128       1         0         1         18000            4096        0           1           .000570      NA          .006000           .028771             .028771            1.47                 218           99
1.75          218                1                  128       1         0         1         18000            8192        0           1           .001041      NA          .013834           .037747             .037747            1.75                 218           99
1.54          217                1                  128       1         0         1         18000            65536       0           1           .011681      NA          .093328           .216698             .216698            1.54                 217           99
1.57          218                1                  128       1         0         1         17000            4096        0           1           .000554      NA          .004876           .035890             .035889            1.57                 218           99
1.76          219                1                  128       1         0         1         17000            8192        0           1           .001005      NA          .010987           .045294             .045294            1.76                 219           100
1.78          218                1                  128       1         0         1         17000            65536       0           1           .011814      NA          .087097           .223339             .223339            1.78                 218           99
1.59          218                1                  128       1         0         1         16000            4096        0           1           .000594      NA          .005611           .034102             .034102            1.59                 218           99
1.77          218                1                  128       1         0         1         16000            8192        0           1           .001124      NA          .015247           .054502             .054502            1.77                 218           99
1.56          217                1                  128       1         0         1         16000            65536       0           1           .011517      NA          .089518           .202259             .202258            1.56                 217           99
1.76          218                1                  128       1         0         1         15000            4096        0           1           .000553      NA          .004533           .018703             .018703            1.76                 218           100
1.60          218                1                  128       1         0         1         15000            8192        0           1           .001006      NA          .010615           .047249             .047248            1.60                 218           99
1.59          217                1                  128       1         0         1         15000            65536       0           1           .012240      NA          .092836           .224360             .224359            1.59                 217           99
1.56          217                1                  128       1         0         1         14000            4096        0           1           .000562      NA          .005541           .028709             .028709            1.56                 217           99
1.73          218                1                  128       1         0         1         14000            8192        0           1           .001001      NA          .012179           .057450             .057450            1.73                 218           99
1.56          218                1                  128       1         0         1         14000            65536       0           1           .011431      NA          .085725           .228792             .228791            1.56                 218           99
1.78          218                1                  128       1         0         1         13000            4096        0           1           .000561      NA          .004979           .033669             .033669            1.78                 218           100
1.84          218                1                  128       1         0         1         13000            8192        0           1           .001095      NA          .010363           .059855             .059855            1.84                 218           99
1.74          218                1                  128       1         0         1         13000            65536       0           1           .012659      NA          .076494           .223522             .223522            1.74                 218           99
1.59          217                1                  128       1         0         1         12000            4096        0           1           .000566      NA          .005390           .049524             .049524            1.59                 217           99
1.71          218                1                  128       1         0         1         12000            8192        0           1           .001123      NA          .009333           .059473             .059473            1.71                 218           100
1.57          217                1                  128       1         0         1         12000            65536       0           1           .011867      NA          .084300           .257174             .257174            1.57                 217           99
1.61          217                1                  128       1         0         1         11000            4096        0           1           .000546      NA          .005375           .039597             .039597            1.61                 217           100
1.53          217                1                  128       1         0         1         11000            8192        0           1           .001061      NA          .009792           .040580             .040580            1.53                 217           99
1.61          218                1                  128       1         0         1         11000            65536       0           1           .012893      NA          .094350           .256589             .256589            1.61                 218           99
1.54          219                1                  128       1         0         1         10000            4096        0           1           .000552      NA          .004739           .042800             .042800            1.54                 219           99
1.74          217                1                  128       1         0         1         10000            8192        0           1           .001048      NA          .010020           .071256             .071256            1.74                 217           99
1.53          218                1                  128       1         0         1         10000            65536       0           1           .012019      NA          .088342           .240342             .240342            1.53                 218           99
1.75          218                1                  128       1         0         1         9000             4096        0           1           .000541      NA          .004816           .063545             .063545            1.75                 218           100
1.61          218                1                  128       1         0         1         9000             8192        0           1           .001115      NA          .010498           .066671             .066671            1.61                 218           99
1.74          217                1                  128       1         0         1         9000             65536       0           1           .012054      NA          .078663           .247205             .247205            1.74                 217           99
1.77          218                1                  128       1         0         1         8000             4096        0           1           .000565      NA          .006550           .053631             .053631            1.77                 218           99
1.70          218                1                  128       1         0         1         8000             8192        0           1           .001086      NA          .012126           .086539             .086539            1.70                 218           100
1.57          218                1                  128       1         0         1         8000             65536       0           1           .011558      NA          .085296           .269336             .269336            1.57                 218           99
1.56          217                1                  128       1         0         1         7000             4096        0           1           .000546      NA          .005432           .044303             .044303            1.56                 217           99
1.75          217                1                  128       1         0         1         7000             8192        0           1           .001212      NA          .012683           .081355             .081355            1.75                 217           100
2.01          218                1                  128       1         0         1         7000             65536       0           1           .016178      NA          .094593           .298131             .298131            2.01                 218           99
1.94          218                1                  128       1         0         1         6000             4096        0           1           .000598      NA          .006584           .061124             .061124            1.94                 218           99
1.78          218                1                  128       1         0         1         6000             8192        0           1           .001146      NA          .012900           .070409             .070408            1.78                 218           99
1.71          218                1                  128       1         0         1         6000             65536       0           1           .012477      NA          .094690           .281224             .281224            1.71                 218           99
1.92          217                1                  128       1         0         1         5000             4096        0           1           .000616      NA          .007625           .032934             .032933            1.92                 217           99
1.90          218                1                  128       1         0         1         5000             8192        0           1           .001073      NA          .013433           .078264             .078263            1.90                 218           99
1.96          217                1                  128       1         0         1         5000             65536       0           1           .012342      NA          .095724           .315153             .315153            1.96                 217           99
1.58          218                1                  128       1         0         1         4000             4096        0           1           .000563      NA          .005133           .069987             .069987            1.58                 218           99
1.56          218                1                  128       1         0         1         4000             8192        0           1           .002307      NA          .013217           .099937             .099937            1.56                 218           99
1.56          218                1                  128       1         0         1         4000             65536       0           1           .012482      NA          .080549           .307771             .307771            1.56                 218           99
1.60          217                1                  128       1         0         1         3000             4096        0           1           .000677      NA          .007175           .091778             .091778            1.60                 217           99
1.57          218                1                  128       1         0         1         3000             8192        0           1           .001083      NA          .009208           .087380             .087380            1.57                 218           99
1.59          218                1                  128       1         0         1         3000             65536       0           1           .011231      NA          .078929           .356516             .356515            1.59                 218           99
1.56          217                1                  128       1         0         1         2000             4096        0           1           .000651      NA          .007321           .073290             .073290            1.56                 217           99
1.93          218                1                  128       1         0         1         2000             8192        0           1           .001141      NA          .010217           .135683             .135683            1.93                 218           99
1.57          218                1                  128       1         0         1         2000             65536       0           1           .012079      NA          .104405           .420915             .420915            1.57                 218           100
1.79          217                1                  128       1         0         1         1000             4096        0           1           .000598      NA          .005715           .122159             .122158            1.79                 217           100
1.72          219                1                  128       1         0         1         1000             8192        0           1           .001006      NA          .011209           .130310             .130310            1.72                 219           99
1.55          217                1                  128       1         0         1         1000             65536       0           1           .012242      NA          .115384           .716389             .716389            1.55                 217           99
1.58          222                1                  128       1         0         2         25000            4096        0           1           .000824      NA          .003426           .007396             .007395            1.58                 222           99
1.75          217                1                  128       1         0         2         25000            8192        0           1           .001634      NA          .007572           .026799             .026799            1.75                 217           100
1.83          216                1                  128       1         0         2         25000            65536       0           1           .018281      NA          .066545           .158163             .158162            1.83                 216           99
1.70          218                1                  128       1         0         2         24000            4096        0           1           .000799      NA          .003916           .012942             .012941            1.70                 218           99
1.73          218                1                  128       1         0         2         24000            8192        0           1           .001699      NA          .008990           .028043             .028042            1.73                 218           99
1.69          217                1                  128       1         0         2         24000            65536       0           1           .016641      NA          .068508           .175418             .175417            1.69                 217           99
1.55          216                1                  128       1         0         2         23000            4096        0           1           .000913      NA          .005357           .025641             .025641            1.55                 216           99
1.58          216                1                  128       1         0         2         23000            8192        0           1           .001914      NA          .009646           .023859             .023859            1.58                 216           100
1.56          218                1                  128       1         0         2         23000            65536       0           1           .019525      NA          .079830           .169831             .169831            1.56                 218           100
1.76          217                1                  128       1         0         2         22000            4096        0           1           .000908      NA          .004923           .021124             .021124            1.76                 217           100
