comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.58          218                1                  128       1         0         1         1              4096        0           0           0.004566     NA          0.034193          0.062334            0.062332           0.08                 35            65
1.48          218                1                  128       1         0         1         1              4096        0           1           .000533      NA          .004716           .011255             .011254            1.48                 218           99
1.75          218                1                  128       1         0         1         1              8192        0           0           0.006853     NA          0.055876          0.099089            0.099088           0.15                 67            60
1.60          218                1                  128       1         0         1         1              8192        0           1           .001103      NA          .010054           .017422             .017421            1.60                 218           99
1.71          217                1                  128       1         0         1         1              40960       0           0           0.027961     NA          0.250499          0.336518            0.336517           0.53                 321           71
1.47          218                1                  128       1         0         1         1              40960       0           1           .007465      NA          .048484           .063390             .063390            1.47                 218           99
1.60          218                1                  128       1         0         1         5              4096        0           0           0.003470     NA          0.036012          0.146575            0.146574           0.19                 35            29
1.47          222                1                  128       1         0         1         5              4096        0           1           .000599      NA          .005408           .023288             .023288            1.47                 222           100
1.56          218                1                  128       1         0         1         5              8192        0           0           0.006871     NA          0.061893          0.164681            0.164680           0.23                 67            43
1.60          218                1                  128       1         0         1         5              8192        0           1           .001148      NA          .009278           .028806             .028805            1.60                 218           99
1.77          217                1                  128       1         0         1         5              40960       0           0           0.049091     NA          0.298942          0.461493            0.461492           0.68                 321           71
1.83          218                1                  128       1         0         1         5              40960       0           1           .007057      NA          .048727           .091878             .091878            1.83                 218           100
1.84          217                1                  128       1         0         1         10             4096        0           0           0.004402     NA          0.031402          0.268319            0.268319           0.32                 35            16
1.86          218                1                  128       1         0         1         10             4096        0           1           .000537      NA          .005949           .045503             .045503            1.86                 218           99
1.77          219                1                  128       1         0         1         10             8192        0           0           0.006778     NA          0.056918          0.306432            0.306431           0.38                 67            24
1.60          218                1                  128       1         0         1         10             8192        0           1           .001096      NA          .010144           .053070             .053070            1.60                 218           99
1.87          219                1                  128       1         0         1         10             40960       0           0           0.049181     NA          0.297650          0.693995            0.693994           0.92                 321           53
1.57          218                1                  128       1         0         1         10             40960       0           1           .006961      NA          .052053           .139087             .139087            1.57                 218           99
1.71          217                1                  128       1         0         1         20             4096        0           0           0.004574     NA          0.039861          0.537965            0.537964           0.61                 35            10
1.76          217                1                  128       1         0         1         20             4096        0           1           .000542      NA          .006418           .089019             .089019            1.76                 217           99
1.73          218                1                  128       1         0         1         20             8192        0           0           0.006983     NA          0.062729          0.627763            0.627762           0.73                 67            13
1.69          217                1                  128       1         0         1         20             8192        0           1           .001208      NA          .010677           .100678             .100678            1.69                 217           99
1.83          217                1                  128       1         0         1         20             40960       0           0           0.032573     NA          0.244014          1.155236            1.155235           1.41                 321           28
1.78          217                1                  128       1         0         1         20             40960       0           1           .007029      NA          .054904           .245676             .245676            1.78                 217           99
1.75          218                1                  128       1         0         1         40             4096        0           0           0.004520     NA          0.037517          1.055216            1.055215           1.19                 35            5
1.47          217                1                  128       1         0         1         40             4096        0           1           .000516      NA          .006809           .175616             .175616            1.47                 217           99
1.54          218                1                  128       1         0         1         40             8192        0           0           0.006593     NA          0.061244          1.191906            1.191905           1.35                 67            7
1.47          218                1                  128       1         0         1         40             8192        0           1           .001045      NA          .012055           .193281             .193281            1.47                 218           99
1.56          217                1                  128       1         0         1         40             40960       0           0           0.048688     NA          0.301706          2.198977            2.198975           2.49                 321           19
1.74          218                1                  128       1         0         1         40             40960       0           1           .006630      NA          .052895           .364404             .364404            1.74                 218           99
1.57          218                1                  128       1         0         1         60             4096        0           0           0.003394     NA          0.036575          1.514375            1.514374           1.71                 35            3
1.76          219                1                  128       1         0         1         60             4096        0           1           .000520      NA          .007400           .260419             .260419            1.76                 219           99
1.72          217                1                  128       1         0         1         60             8192        0           0           0.006738     NA          0.066951          1.771730            1.771729           1.99                 67            5
1.76          217                1                  128       1         0         1         60             8192        0           1           .001045      NA          .012937           .295306             .295306            1.76                 217           99
1.79          218                1                  128       1         0         1         60             40960       0           0           0.034833     NA          0.270411          3.194701            3.194700           3.57                 321           12
1.91          218                1                  128       1         0         1         60             40960       0           1           .006778      NA          .050923           .525901             .525901            1.91                 218           99
1.85          217                1                  128       1         0         1         80             4096        0           0           0.004465     NA          0.038453          2.179087            2.179086           2.44                 35            2
1.56          218                1                  128       1         0         1         80             4096        0           1           .000509      NA          .006716           .346445             .346444            1.56                 218           99
1.86          217                1                  128       1         0         1         80             8192        0           0           0.009006     NA          0.064899          2.262619            2.262618           2.54                 67            4
1.84          217                1                  128       1         0         1         80             8192        0           1           .001042      NA          .012856           .380557             .380556            1.84                 217           99
1.58          217                1                  128       1         0         1         80             40960       0           0           0.049949     NA          0.335260          4.194632            4.194631           4.57                 321           11
1.93          218                1                  128       1         0         1         80             40960       0           1           .007806      NA          .054926           .695667             .695667            1.93                 218           99
