comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;latencies(ms);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.87;218;1;128;1;0;1;1;4096;0;0;0.004868;NA;0.032978;0.048803;0.048802;0.07;35;74
1.78;218;1;128;1;0;1;1;4096;0;1;.000554;NA;.004510;.010618;.010617;1.78;218;99
1.75;218;1;128;1;0;1;1;8192;0;0;0.009723;NA;0.051705;0.091489;0.091488;0.14;67;68
1.69;218;1;128;1;0;1;1;8192;0;1;.001083;NA;.008194;.015547;.015546;1.69;218;99
1.88;218;1;128;1;0;1;1;40960;0;0;0.044829;NA;0.312353;0.348593;0.348592;0.56;321;88
1.81;219;1;128;1;0;1;1;40960;0;1;.006516;NA;.048386;.055209;.055209;1.81;219;99
1.95;218;1;128;1;0;1;5;4096;0;0;0.003537;NA;0.035181;0.142893;0.142892;0.18;35;30
1.76;218;1;128;1;0;1;5;4096;0;1;.000547;NA;.005128;.024111;.024111;1.76;218;99
1.62;219;1;128;1;0;1;5;8192;0;0;0.008885;NA;0.065517;0.176450;0.176449;0.23;67;45
1.46;218;1;128;1;0;1;5;8192;0;1;.001230;NA;.010785;.029111;.029111;1.46;218;99
1.58;220;1;128;1;0;1;5;40960;0;0;0.029206;NA;0.226899;0.425884;0.425883;0.62;321;56
1.74;217;1;128;1;0;1;5;40960;0;1;.007324;NA;.048614;.074552;.074552;1.74;217;99
1.91;218;1;128;1;0;1;10;4096;0;0;0.003544;NA;0.030218;0.272119;0.272118;0.32;35;14
1.93;219;1;128;1;0;1;10;4096;0;1;.000635;NA;.007145;.047138;.047137;1.93;219;99
1.56;218;1;128;1;0;1;10;8192;0;0;0.009211;NA;0.059317;0.326753;0.326752;0.40;67;25
1.72;217;1;128;1;0;1;10;8192;0;1;.001007;NA;.009263;.052367;.052367;1.72;217;100
1.55;218;1;128;1;0;1;10;40960;0;0;0.049651;NA;0.286251;0.723974;0.723972;0.96;321;50
1.74;218;1;128;1;0;1;10;40960;0;1;.006733;NA;.049567;.118964;.118963;1.74;218;100
1.57;217;1;128;1;0;1;20;4096;0;0;0.003449;NA;0.039425;0.532116;0.532115;0.61;35;9
1.56;217;1;128;1;0;1;20;4096;0;1;.000584;NA;.006180;.097042;.097042;1.56;217;99
1.79;217;1;128;1;0;1;20;8192;0;0;0.009137;NA;0.060099;0.588174;0.588173;0.70;67;14
1.78;217;1;128;1;0;1;20;8192;0;1;.001072;NA;.010101;.100716;.100716;1.78;217;99
1.57;218;1;128;1;0;1;20;40960;0;0;0.049936;NA;0.315182;1.252907;1.252906;1.50;321;33
1.75;218;1;128;1;0;1;20;40960;0;1;.007401;NA;.048308;.207843;.207843;1.75;218;100
1.57;217;1;128;1;0;1;40;4096;0;0;0.004640;NA;0.037160;0.976529;0.976528;1.11;35;5
1.76;218;1;128;1;0;1;40;4096;0;1;.000565;NA;.006947;.182587;.182587;1.76;218;99
1.59;218;1;128;1;0;1;40;8192;0;0;0.006438;NA;0.060556;1.184588;1.184587;1.33;67;6
1.57;217;1;128;1;0;1;40;8192;0;1;.001145;NA;.011973;.199912;.199912;1.57;217;100
1.85;218;1;128;1;0;1;40;40960;0;0;0.049271;NA;0.262619;2.226761;2.226760;2.55;321;17
1.59;217;1;128;1;0;1;40;40960;0;1;.006719;NA;.046135;.374340;.374340;1.59;217;99
