comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.71;217;1;256;1;0;1;25000;40960;0;0;0.067433;NA;0.451998;0.297114;0.297113;0.66;638;123
1.53;216;1;256;1;0;1;25000;40960;0;1;.009747;NA;.070857;.056343;.056343;1.53;216;100
1.72;215;1;256;1;0;1;24500;40960;0;0;0.044710;NA;0.357357;0.283077;0.283076;0.64;638;104
1.53;216;1;256;1;0;1;24500;40960;0;1;.009631;NA;.075835;.059835;.059834;1.53;216;100
1.51;216;1;256;1;0;1;24000;40960;0;0;0.048483;NA;0.355267;0.234420;0.234420;0.59;638;116
1.56;215;1;256;1;0;1;24000;40960;0;1;.009758;NA;.072503;.054543;.054542;1.56;215;100
1.52;216;1;256;1;0;1;23500;40960;0;0;0.067684;NA;0.456318;0.307977;0.307976;0.67;638;122
1.55;217;1;256;1;0;1;23500;40960;0;1;.009741;NA;.072162;.053722;.053722;1.55;217;99
1.55;217;1;256;1;0;1;23000;40960;0;0;0.039729;NA;0.354852;0.266638;0.266637;0.60;640;99
1.72;217;1;256;1;0;1;23000;40960;0;1;.008565;NA;.073400;.054223;.054223;1.72;217;99
1.56;217;1;256;1;0;1;22500;40960;0;0;0.042327;NA;0.345644;0.227826;0.227825;0.56;638;111
1.44;217;1;256;1;0;1;22500;40960;0;1;.008975;NA;.075907;.059632;.059632;1.44;217;99
1.57;216;1;256;1;0;1;22000;40960;0;0;0.067570;NA;0.430270;0.288331;0.288330;0.65;638;121
1.56;217;1;256;1;0;1;22000;40960;0;1;.009549;NA;.075659;.052261;.052261;1.56;217;99
1.55;215;1;256;1;0;1;21500;40960;0;0;0.066971;NA;0.474809;0.302647;0.302646;0.67;638;122
1.58;216;1;256;1;0;1;21500;40960;0;1;.009813;NA;.071434;.053956;.053956;1.58;216;99
1.55;216;1;256;1;0;1;21000;40960;0;0;0.066252;NA;0.377195;0.289058;0.289057;0.64;640;113
1.55;216;1;256;1;0;1;21000;40960;0;1;.008983;NA;.074073;.059598;.059597;1.55;216;100
1.57;217;1;256;1;0;1;20500;40960;0;0;0.067867;NA;0.474668;0.300470;0.300469;0.66;638;126
1.52;217;1;256;1;0;1;20500;40960;0;1;.008806;NA;.074529;.056059;.056059;1.52;217;99
1.43;217;1;256;1;0;1;20000;40960;0;0;0.040803;NA;0.350312;0.228765;0.228765;0.50;639;120
1.52;215;1;256;1;0;1;20000;40960;0;1;.009667;NA;.072401;.054251;.054251;1.52;215;99
1.70;217;1;256;1;0;1;19500;40960;0;0;0.046886;NA;0.355569;0.291846;0.291845;0.62;639;109
