comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.46          213                1                  1         1         0         1         4096        0           0           0.001808     NA          0.009508          0.009442            0.009441           0.01                 5             89
1.50          212                1                  1         1         0         2         4096        0           0           0.003038     NA          0.012178          0.015164            0.015163           0.02                 5             82
1.50          211                1                  1         1         0         3         4096        0           0           0.002411     NA          0.007171          0.009917            0.009916           0.02                 5             71
1.59          209                1                  1         1         0         4         4096        0           0           0.001374     NA          0.005626          0.010379            0.010378           0.02                 5             70
1.49          212                1                  1         1         0         5         4096        0           0           0.002377     NA          0.009116          0.013565            0.013564           0.02                 5             72
1.46          210                1                  1         1         0         6         4096        0           0           0.001321     NA          0.002445          0.002646            0.002645           0.00                 4             100
1.49          214                1                  8         1         0         1         4096        0           0           0.001820     NA          0.011772          0.010311            0.010310           0.01                 5             105
1.65          213                1                  8         1         0         2         4096        0           0           0.003078     NA          0.009741          0.009596            0.009595           0.01                 6             105
1.46          213                1                  8         1         0         3         4096        0           0           0.002235     NA          0.005099          0.008034            0.008033           0.01                 5             73
1.65          212                1                  8         1         0         4         4096        0           0           0.001261     NA          0.005169          0.009875            0.009874           0.02                 5             57
1.36          213                1                  8         1         0         5         4096        0           0           0.002353     NA          0.006371          0.009542            0.009541           0.01                 5             76
1.61          213                1                  8         1         0         6         4096        0           0           0.001184     NA          0.003346          0.003703            0.003701           0.01                 5             100
