comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.53;215;1;8;1;0;1;4096;0;0;0.001823;NA;0.011319;0.008170;0.008169;0.01;5;112
1.72;214;1;8;1;0;2;4096;0;0;0.003065;NA;0.008096;0.009268;0.009267;0.01;6;78
1.61;212;1;8;1;0;3;4096;0;0;0.002054;NA;0.005362;0.009326;0.009325;0.02;5;55
1.60;212;1;8;1;0;4;4096;0;0;0.001364;NA;0.005552;0.008661;0.008660;0.02;5;60
1.47;212;1;8;1;0;5;4096;0;0;0.002005;NA;0.006464;0.009890;0.009890;0.02;5;55
1.45;212;1;8;1;0;6;4096;0;0;0.001308;NA;0.001921;0.002476;0.002475;0.01;5;60
1.70;215;1;64;1;0;1;4096;0;0;0.002590;NA;0.012314;0.015221;0.015220;0.03;19;73
1.57;215;1;64;1;0;2;4096;0;0;0.005381;NA;0.015835;0.020739;0.020738;0.04;21;81
1.52;214;1;64;1;0;3;4096;0;0;0.005479;NA;0.012898;0.019288;0.019287;0.03;15;78
1.67;212;1;64;1;0;4;4096;0;0;0.003589;NA;0.008615;0.018488;0.018487;0.04;15;62
1.53;214;1;64;1;0;5;4096;0;0;0.004475;NA;0.010288;0.022688;0.022687;0.05;17;60
1.52;213;1;64;1;0;6;4096;0;0;0.002393;NA;0.006548;0.008216;0.008215;0.02;13;95
