comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.48          233                1                  3           256       1         0         1         25000            40960       0           0           0.026237     NA          0.178232          0.138946            0.138945           0.34                 638           111
1.41          231                1                  3           256       1         0         1         25000            40960       0           1           .004797      NA          .032626           .064548             .064548            1.41                 231           99
1.43          233                1                  3           256       1         0         1         24500            40960       0           0           0.026249     NA          0.172969          0.147720            0.147719           0.34                 638           107
1.41          232                1                  3           256       1         0         1         24500            40960       0           1           .004774      NA          .033456           .061375             .061375            1.41                 232           99
1.42          233                1                  3           256       1         0         1         24000            40960       0           0           0.025814     NA          0.175169          0.144241            0.144240           0.35                 639           107
1.41          233                1                  3           256       1         0         1         24000            40960       0           1           .004917      NA          .033426           .064550             .064550            1.41                 233           99
1.42          232                1                  3           256       1         0         1         23500            40960       0           0           0.026203     NA          0.180336          0.140729            0.140728           0.34                 638           111
1.43          233                1                  3           256       1         0         1         23500            40960       0           1           .004716      NA          .033678           .064995             .064995            1.43                 233           99
1.43          232                1                  3           256       1         0         1         23000            40960       0           0           0.026172     NA          0.176071          0.141362            0.141362           0.34                 638           109
1.43          232                1                  3           256       1         0         1         23000            40960       0           1           .004806      NA          .032718           .068594             .068594            1.43                 232           99
1.42          232                1                  3           256       1         0         1         22500            40960       0           0           0.025993     NA          0.177288          0.139070            0.139069           0.34                 638           110
1.41          233                1                  3           256       1         0         1         22500            40960       0           1           .004762      NA          .035571           .068967             .068967            1.41                 233           99
1.43          233                1                  3           256       1         0         1         22000            40960       0           0           0.025951     NA          0.168474          0.151538            0.151537           0.35                 638           104
1.43          233                1                  3           256       1         0         1         22000            40960       0           1           .004787      NA          .033122           .075722             .075722            1.43                 233           99
1.43          233                1                  3           256       1         0         1         21500            40960       0           0           0.026012     NA          0.171407          0.145048            0.145047           0.35                 639           106
1.43          233                1                  3           256       1         0         1         21500            40960       0           1           .004812      NA          .032584           .071593             .071592            1.43                 233           100
1.43          233                1                  3           256       1         0         1         21000            40960       0           0           0.026034     NA          0.176658          0.150030            0.150030           0.36                 638           105
1.42          232                1                  3           256       1         0         1         21000            40960       0           1           .005009      NA          .032905           .070002             .070002            1.42                 232           99
1.43          233                1                  3           256       1         0         1         20500            40960       0           0           0.025653     NA          0.175933          0.148388            0.148387           0.35                 638           107
1.43          232                1                  3           256       1         0         1         20500            40960       0           1           .004894      NA          .032517           .071990             .071990            1.43                 232           99
