comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.46;232;1;3;256;1;0;1;25000;40960;0;0;0.026253;NA;0.179722;0.138003;0.138002;0.34;638;111
1.42;232;1;3;256;1;0;1;25000;40960;0;1;.004889;NA;.033499;.066458;.066458;1.42;232;100
1.43;231;1;3;256;1;0;1;24000;40960;0;0;0.025727;NA;0.178095;0.138044;0.138043;0.34;639;110
1.41;232;1;3;256;1;0;1;24000;40960;0;1;.004989;NA;.032903;.070492;.070492;1.41;232;99
1.42;233;1;3;256;1;0;1;23000;40960;0;0;0.026148;NA;0.175523;0.144562;0.144562;0.35;638;107
1.41;233;1;3;256;1;0;1;23000;40960;0;1;.004867;NA;.033031;.067560;.067560;1.41;233;100
1.42;232;1;3;256;1;0;1;22000;40960;0;0;0.026057;NA;0.170342;0.148073;0.148073;0.34;638;106
1.42;232;1;3;256;1;0;1;22000;40960;0;1;.004793;NA;.033432;.072514;.072514;1.42;232;99
1.42;232;1;3;256;1;0;1;21000;40960;0;0;0.025865;NA;0.174333;0.146418;0.146417;0.35;639;106
1.41;233;1;3;256;1;0;1;21000;40960;0;1;.004805;NA;.032068;.071458;.071458;1.41;233;99
1.42;233;1;3;256;1;0;1;20000;40960;0;0;0.026301;NA;0.174985;0.145939;0.145938;0.35;640;108
1.43;233;1;3;256;1;0;1;20000;40960;0;1;.004797;NA;.032976;.074992;.074992;1.43;233;99
1.41;233;1;3;256;1;0;1;19000;40960;0;0;0.025816;NA;0.175487;0.153790;0.153789;0.36;639;104
1.41;232;1;3;256;1;0;1;19000;40960;0;1;.004762;NA;.033310;.077477;.077477;1.41;232;99
1.41;233;1;3;256;1;0;1;18000;40960;0;0;0.025044;NA;0.172946;0.167019;0.167018;0.38;638;98
1.41;233;1;3;256;1;0;1;18000;40960;0;1;.004858;NA;.032795;.081030;.081029;1.41;233;99
1.43;233;1;3;256;1;0;1;17000;40960;0;0;0.026561;NA;0.175837;0.165452;0.165451;0.37;638;102
1.43;232;1;3;256;1;0;1;17000;40960;0;1;.004783;NA;.032569;.087357;.087357;1.43;232;100
1.42;232;1;3;256;1;0;1;16000;40960;0;0;0.026103;NA;0.181710;0.164128;0.164128;0.37;638;103
1.42;232;1;3;256;1;0;1;16000;40960;0;1;.004750;NA;.031821;.089833;.089833;1.42;232;99
1.41;233;1;3;256;1;0;1;15000;40960;0;0;0.026072;NA;0.177013;0.174483;0.174482;0.37;638;100
1.41;232;1;3;256;1;0;1;15000;40960;0;1;.004800;NA;.032113;.091250;.091250;1.41;232;99
1.43;233;1;3;256;1;0;1;14000;40960;0;0;0.026018;NA;0.174819;0.186719;0.186718;0.39;638;95
1.43;232;1;3;256;1;0;1;14000;40960;0;1;.004818;NA;.032632;.103427;.103427;1.43;232;99
1.41;233;1;3;256;1;0;1;13000;40960;0;0;0.025683;NA;0.169673;0.200673;0.200672;0.40;638;91
1.43;233;1;3;256;1;0;1;13000;40960;0;1;.004861;NA;.031372;.107748;.107748;1.43;233;99
1.41;234;1;3;256;1;0;1;12000;40960;0;0;0.025236;NA;0.176596;0.193447;0.193446;0.39;639;95
1.43;236;1;3;256;1;0;1;12000;40960;0;1;.004882;NA;.031411;.114478;.114478;1.43;236;99
1.43;232;1;3;256;1;0;1;11000;40960;0;0;0.025748;NA;0.167878;0.203555;0.203555;0.41;639;90
1.42;233;1;3;256;1;0;1;11000;40960;0;1;.004854;NA;.031781;.123952;.123951;1.42;233;99
1.42;233;1;3;256;1;0;1;10000;40960;0;0;0.025979;NA;0.173692;0.223267;0.223266;0.42;639;88
1.41;232;1;3;256;1;0;1;10000;40960;0;1;.004822;NA;.031859;.140003;.140003;1.41;232;99
1.41;231;1;3;256;1;0;1;9000;40960;0;0;0.026030;NA;0.180663;0.231078;0.231077;0.43;638;87
1.41;233;1;3;256;1;0;1;9000;40960;0;1;.004786;NA;.030964;.151441;.151440;1.41;233;99
1.41;233;1;3;256;1;0;1;8000;40960;0;0;0.025805;NA;0.173050;0.265542;0.265541;0.47;638;80
1.41;233;1;3;256;1;0;1;8000;40960;0;1;.004795;NA;.031272;.173438;.173438;1.41;233;99
1.41;231;1;3;256;1;0;2;25000;40960;0;0;0.044305;NA;0.179017;0.184313;0.184312;0.40;723;98
1.39;231;1;3;256;1;0;2;25000;40960;0;1;.006321;NA;.032208;.060889;.060889;1.39;231;99
1.41;231;1;3;256;1;0;2;24000;40960;0;0;0.043889;NA;0.186941;0.192952;0.192952;0.41;721;98
1.39;232;1;3;256;1;0;2;24000;40960;0;1;.006228;NA;.032435;.062286;.062285;1.39;232;100
1.41;231;1;3;256;1;0;2;23000;40960;0;0;0.044352;NA;0.181323;0.190308;0.190307;0.41;721;97
1.41;231;1;3;256;1;0;2;23000;40960;0;1;.006305;NA;.032128;.066290;.066290;1.41;231;99
1.39;233;1;3;256;1;0;2;22000;40960;0;0;0.044761;NA;0.178360;0.188101;0.188100;0.40;721;97
1.41;231;1;3;256;1;0;2;22000;40960;0;1;.006507;NA;.031783;.065588;.065588;1.41;231;99
1.40;231;1;3;256;1;0;2;21000;40960;0;0;0.044241;NA;0.175820;0.194482;0.194481;0.41;722;95
