comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.56          215                1                  512       1         0         1         1              25000            40960       0           0           0.054865     NA          0.729581          0.440456            0.440454           1.13                 1273          111
1.55          216                1                  512       1         0         1         1              25000            40960       0           1           .012441      NA          .142567           .101777             .101777            1.55                 216           99
1.50          216                1                  512       1         0         1         1              24000            40960       0           0           0.055489     NA          0.718752          0.432155            0.432154           1.11                 1274          108
1.82          215                1                  512       1         0         1         1              24000            40960       0           1           .011999      NA          .142912           .098627             .098627            1.82                 215           99
1.52          215                1                  512       1         0         1         1              23000            40960       0           0           0.091932     NA          0.756303          0.466254            0.466253           1.16                 1273          124
1.80          217                1                  512       1         0         1         1              23000            40960       0           1           .012176      NA          .147536           .105006             .105006            1.80                 217           99
1.74          215                1                  512       1         0         1         1              22000            40960       0           0           0.058433     NA          0.720645          0.431322            0.431321           1.10                 1273          115
1.53          217                1                  512       1         0         1         1              22000            40960       0           1           .010929      NA          .146954           .104659             .104659            1.53                 217           99
1.69          216                1                  512       1         0         1         1              21000            40960       0           0           0.084965     NA          0.704134          0.429279            0.429278           1.11                 1273          124
1.88          216                1                  512       1         0         1         1              21000            40960       0           1           .011602      NA          .144444           .106992             .106992            1.88                 216           99
1.57          215                1                  512       1         0         1         1              20000            40960       0           0           0.058239     NA          0.722253          0.427849            0.427848           1.13                 1275          115
1.81          215                1                  512       1         0         1         1              20000            40960       0           1           .012942      NA          .147003           .109628             .109628            1.81                 215           99
1.61          215                1                  512       1         0         1         1              19000            40960       0           0           0.055381     NA          0.732621          0.472051            0.472050           1.17                 1273          109
1.54          216                1                  512       1         0         1         1              19000            40960       0           1           .012759      NA          .142693           .121940             .121939            1.54                 216           100
1.41          216                1                  512       1         0         1         1              18000            40960       0           0           0.087486     NA          0.731338          0.452292            0.452291           1.15                 1274          124
1.56          216                1                  512       1         0         1         1              18000            40960       0           1           .011220      NA          .145040           .120242             .120242            1.56                 216           100
