comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.49;233;1;256;1;0;1;1;25000;40960;0;0;0.025875;NA;0.238833;0.167849;0.167848;0.39;638;117
1.45;232;1;256;1;0;1;1;25000;40960;0;1;.004741;NA;.047642;.079184;.079184;1.45;232;99
1.49;231;1;256;1;0;1;1;24000;40960;0;0;0.025651;NA;0.225315;0.174437;0.174437;0.41;638;103
1.49;232;1;256;1;0;1;1;24000;40960;0;1;.004827;NA;.045201;.084413;.084413;1.49;232;99
1.49;232;1;256;1;0;1;1;23000;40960;0;0;0.025735;NA;0.277134;0.183456;0.183455;0.42;638;121
1.46;233;1;256;1;0;1;1;23000;40960;0;1;.004786;NA;.048960;.082093;.082093;1.46;233;99
1.48;232;1;256;1;0;1;1;22000;40960;0;0;0.026144;NA;0.261248;0.177962;0.177962;0.41;638;119
1.50;231;1;256;1;0;1;1;22000;40960;0;1;.004904;NA;.043624;.084087;.084087;1.50;231;99
1.50;233;1;256;1;0;1;1;21000;40960;0;0;0.025718;NA;0.261979;0.181388;0.181387;0.40;638;116
1.50;232;1;256;1;0;1;1;21000;40960;0;1;.004847;NA;.044510;.089112;.089112;1.50;232;99
1.48;233;1;256;1;0;1;1;20000;40960;0;0;0.025759;NA;0.274673;0.181436;0.181436;0.41;638;122
1.50;232;1;256;1;0;1;1;20000;40960;0;1;.004810;NA;.049184;.084489;.084489;1.50;232;99
1.46;233;1;256;1;0;1;1;19000;40960;0;0;0.025348;NA;0.279900;0.188593;0.188592;0.42;640;121
1.49;232;1;256;1;0;1;1;19000;40960;0;1;.004574;NA;.045497;.085993;.085993;1.49;232;100
1.49;233;1;256;1;0;1;1;18000;40960;0;0;0.025642;NA;0.275055;0.192535;0.192534;0.43;638;113
1.49;233;1;256;1;0;1;1;18000;40960;0;1;.004695;NA;.045891;.097074;.097074;1.49;233;99
1.46;233;1;256;1;0;1;1;17000;40960;0;0;0.026118;NA;0.269609;0.203200;0.203199;0.43;638;115
1.46;232;1;256;1;0;1;1;17000;40960;0;1;.004784;NA;.045085;.098192;.098192;1.46;232;99
1.50;233;1;256;1;0;1;1;16000;40960;0;0;0.025866;NA;0.271015;0.200813;0.200812;0.44;638;110
1.47;232;1;256;1;0;1;1;16000;40960;0;1;.004812;NA;.045738;.110335;.110335;1.47;232;99
1.46;232;1;256;1;0;1;1;15000;40960;0;0;0.025132;NA;0.250494;0.221139;0.221138;0.45;639;106
1.46;233;1;256;1;0;1;1;15000;40960;0;1;.004885;NA;.046684;.112831;.112831;1.46;233;99
1.49;232;1;256;1;0;1;1;14000;40960;0;0;0.025978;NA;0.254517;0.221394;0.221394;0.45;638;107
1.48;233;1;256;1;0;1;1;14000;40960;0;1;.004767;NA;.045331;.125211;.125211;1.48;233;99
