comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.82          216                1                  3           512       1         0         1         1              40960       0           0           0.056676     NA          0.448183          0.508327            0.508326           0.98                 1273          92
1.37          216                1                  3           512       1         0         1         1              40960       0           1           .011967      NA          .093813           .118698             .118698            1.37                 216           99
1.37          216                1                  3           512       1         0         1         2              40960       0           0           0.056950     NA          0.437803          0.550728            0.550727           1.02                 1275          88
1.37          217                1                  3           512       1         0         1         2              40960       0           1           .011861      NA          .095294           .117035             .117034            1.37                 217           99
1.38          215                1                  3           512       1         0         1         4              40960       0           0           0.056697     NA          0.442434          0.802244            0.802243           1.27                 1274          70
1.38          216                1                  3           512       1         0         1         4              40960       0           1           .011769      NA          .091147           .147302             .147302            1.38                 216           100
1.37          215                1                  3           512       1         0         1         6              40960       0           0           0.055586     NA          0.425561          1.050700            1.050699           1.53                 1273          57
1.38          216                1                  3           512       1         0         1         6              40960       0           1           .011773      NA          .088123           .189186             .189186            1.38                 216           99
1.37          215                1                  3           512       1         0         1         8              40960       0           0           0.056548     NA          0.429405          1.329538            1.329537           1.81                 1273          49
1.38          215                1                  3           512       1         0         1         8              40960       0           1           .011724      NA          .086719           .232079             .232079            1.38                 215           99
1.37          216                1                  3           512       1         0         1         10             40960       0           0           0.056165     NA          0.429524          1.599286            1.599285           2.09                 1273          42
1.37          216                1                  3           512       1         0         1         10             40960       0           1           .011798      NA          .085021           .273499             .273499            1.37                 216           99
1.37          216                1                  3           512       1         0         1         12             40960       0           0           0.056220     NA          0.437926          1.877352            1.877351           2.37                 1274          37
1.37          216                1                  3           512       1         0         1         12             40960       0           1           .011907      NA          .084835           .316168             .316168            1.37                 216           99
1.39          215                1                  3           512       1         0         1         14             40960       0           0           0.056798     NA          0.439111          2.109442            2.109441           2.61                 1275          34
1.39          217                1                  3           512       1         0         1         14             40960       0           1           .011892      NA          .085174           .361323             .361323            1.39                 217           99
1.38          216                1                  3           512       1         0         1         16             40960       0           0           0.056608     NA          0.433177          2.387601            2.387600           2.89                 1274          30
1.37          215                1                  3           512       1         0         1         16             40960       0           1           .011766      NA          .083524           .400923             .400923            1.37                 215           99
1.38          215                1                  3           512       1         0         1         18             40960       0           0           0.056379     NA          0.441558          2.627480            2.627480           3.14                 1274          28
1.38          216                1                  3           512       1         0         1         18             40960       0           1           .011815      NA          .082762           .445582             .445582            1.38                 216           99
1.37          216                1                  3           512       1         0         1         20             40960       0           0           0.056180     NA          0.436522          2.920963            2.920962           3.44                 1273          26
1.38          215                1                  3           512       1         0         1         20             40960       0           1           .011727      NA          .082638           .490018             .490018            1.38                 215           100
1.35          214                1                  3           512       1         0         2         1              40960       0           0           0.101077     NA          0.434031          0.808480            0.808479           1.32                 1438          71
1.36          214                1                  3           512       1         0         2         1              40960       0           1           .017023      NA          .085592           .147067             .147067            1.36                 214           99
1.36          215                1                  3           512       1         0         2         2              40960       0           0           0.100375     NA          0.433390          0.886279            0.886277           1.40                 1438          67
1.36          215                1                  3           512       1         0         2         2              40960       0           1           .017117      NA          .084381           .159596             .159596            1.36                 215           99
1.36          215                1                  3           512       1         0         2         4              40960       0           0           0.101064     NA          0.438179          1.365342            1.365342           1.89                 1439          50
1.35          214                1                  3           512       1         0         2         4              40960       0           1           .016985      NA          .081322           .238570             .238570            1.35                 214           99
1.35          215                1                  3           512       1         0         2         6              40960       0           0           0.101329     NA          0.434447          1.854739            1.854738           2.38                 1438          39
1.35          215                1                  3           512       1         0         2         6              40960       0           1           .017076      NA          .080475           .319748             .319748            1.35                 215           99
1.35          214                1                  3           512       1         0         2         8              40960       0           0           0.101101     NA          0.433084          2.360219            2.360218           2.90                 1438          32
1.36          214                1                  3           512       1         0         2         8              40960       0           1           .016967      NA          .079306           .401574             .401573            1.36                 214           99
1.36          214                1                  3           512       1         0         2         10             40960       0           0           0.100174     NA          0.428208          2.855337            2.855337           3.39                 1439          27
1.36          215                1                  3           512       1         0         2         10             40960       0           1           .016991      NA          .078844           .481581             .481581            1.36                 215           100
1.35          215                1                  3           512       1         0         2         12             40960       0           0           0.100572     NA          0.446227          3.380738            3.380737           3.92                 1439          24
1.36          214                1                  3           512       1         0         2         12             40960       0           1           .016980      NA          .078698           .570145             .570144            1.36                 214           99
1.36          215                1                  3           512       1         0         2         14             40960       0           0           0.099303     NA          0.430041          3.857588            3.857587           4.41                 1438          21
1.35          214                1                  3           512       1         0         2         14             40960       0           1           .016967      NA          .078906           .650299             .650298            1.35                 214           99
1.35          218                1                  3           512       1         0         2         16             40960       0           0           0.099851     NA          0.429032          4.359302            4.359302           4.92                 1438          18
