comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.47;232;1;256;1;0;1;50000;40960;0;0;0.025980;NA;0.231120;0.146795;0.146794;0.38;638;122
1.50;233;1;256;1;0;1;50000;40960;0;1;.004676;NA;.042076;.042933;.042933;1.50;233;99
1.47;233;1;256;1;0;1;48000;40960;0;0;0.025309;NA;0.222342;0.152151;0.152151;0.38;638;118
1.47;233;1;256;1;0;1;48000;40960;0;1;.004577;NA;.042359;.049980;.049980;1.47;233;99
1.49;233;1;256;1;0;1;46000;40960;0;0;0.025428;NA;0.207355;0.156403;0.156403;0.38;638;108
1.46;233;1;256;1;0;1;46000;40960;0;1;.004663;NA;.044303;.047391;.047391;1.46;233;99
1.50;233;1;256;1;0;1;44000;40960;0;0;0.025816;NA;0.206467;0.150724;0.150723;0.38;638;107
1.48;232;1;256;1;0;1;44000;40960;0;1;.004662;NA;.041128;.046367;.046367;1.48;232;99
1.50;232;1;256;1;0;1;42000;40960;0;0;0.025674;NA;0.217642;0.152088;0.152087;0.38;638;115
1.47;232;1;256;1;0;1;42000;40960;0;1;.004676;NA;.043719;.051337;.051337;1.47;232;100
1.46;232;1;256;1;0;1;40000;40960;0;0;0.025554;NA;0.219618;0.158565;0.158565;0.40;638;111
1.49;233;1;256;1;0;1;40000;40960;0;1;.004736;NA;.044198;.045766;.045766;1.49;233;99
1.47;233;1;256;1;0;1;38000;40960;0;0;0.026270;NA;0.221281;0.156308;0.156307;0.39;639;115
1.47;233;1;256;1;0;1;38000;40960;0;1;.004660;NA;.042617;.048831;.048831;1.47;233;99
1.50;233;1;256;1;0;1;36000;40960;0;0;0.025469;NA;0.227228;0.154221;0.154220;0.39;638;116
1.47;233;1;256;1;0;1;36000;40960;0;1;.004585;NA;.042587;.048255;.048255;1.47;233;99
1.48;233;1;256;1;0;1;34000;40960;0;0;0.025796;NA;0.226842;0.155901;0.155900;0.38;638;118
