comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.78          223                1                  0    128       1         0         1         4096        0           0           0.004552     NA          0.060575          0.058687            0.058686           0.07                 35            98
2.79          223                1                  0    128       1         0         1         4096        0           1           .000945      NA          .012703           .012682             .012682            0.11                 35            204
2.78          227                1                  0    128       1         0         1         8192        0           0           0.012649     NA          0.134906          0.112790            0.112789           0.15                 67            115
2.79          229                1                  0    128       1         0         1         8192        0           1           .003206      NA          .026869           .026561             .026561            0.21                 67            305
2.77          230                1                  0    128       1         0         1         40960       0           0           0.049844     NA          0.560996          0.493764            0.493763           0.62                 321           110
2.79          228                1                  0    128       1         0         1         40960       0           1           .015410      NA          .127958           .127601             .127601            1.02                 321           284
2.74          223                1                  0    128       1         0         2         4096        0           0           0.009017     NA          0.060284          0.063981            0.063980           0.09                 39            92
2.74          223                1                  0    128       1         0         2         4096        0           1           .001710      NA          .011653           .013412             .013412            0.13                 39            394
2.74          222                1                  0    128       1         0         2         8192        0           0           0.020313     NA          0.104115          0.112177            0.112176           0.16                 75            93
2.74          223                1                  0    128       1         0         2         8192        0           1           .004474      NA          .023259           .026900             .026899            0.23                 75            513
2.75          222                1                  0    128       1         0         2         40960       0           0           0.095927     NA          0.496158          0.523826            0.523825           0.69                 362           96
2.74          223                1                  0    128       1         0         2         40960       0           1           0.156719     NA          0.787440          0.833010            0.833009           1.10                 362           353
2.73          221                1                  0    128       1         0         3         4096        0           0           0.008564     NA          0.046248          0.076419            0.076418           0.10                 27            69
2.70          221                1                  0    128       1         0         3         4096        0           1           .002338      NA          .008804           .012163             .012163            0.11                 39            465
2.72          222                1                  0    128       1         0         3         8192        0           0           0.019619     NA          0.082851          0.131026            0.131025           0.17                 51            72
2.72          223                1                  0    128       1         0         3         8192        0           1           .001832      NA          .017532           .025687             .025687            0.21                 75            79
2.72          222                1                  0    128       1         0         3         40960       0           0           0.086870     NA          0.414753          0.594893            0.594892           0.77                 243           75
2.72          222                1                  0    128       1         0         3         40960       0           1           .022725      NA          .091126           .118944             .118944            1.02                 365           329
2.71          221                1                  0    128       1         0         4         4096        0           0           0.007218     NA          0.048586          0.066267            0.066266           0.09                 27            76
2.69          222                1                  0    128       1         0         4         4096        0           1           .002220      NA          .007680           .010605             .010605            0.10                 35            463
2.69          221                1                  0    128       1         0         4         8192        0           0           0.016416     NA          0.092528          0.126346            0.126345           0.17                 51            77
2.71          221                1                  0    128       1         0         4         8192        0           1           .003583      NA          .016791           .021816             .021816            0.20                 67            313
2.69          220                1                  0    128       1         0         4         40960       0           0           0.079871     NA          0.436198          0.566305            0.566304           0.73                 242           81
2.71          221                1                  0    128       1         0         4         40960       0           1           0.156688     NA          .085215           .110713             .110713            0.96                 321           252
2.72          222                1                  0    128       1         0         5         4096        0           0           0.007407     NA          0.048326          0.067340            0.067339           0.08                 31            76
2.71          221                1                  0    128       1         0         5         4096        0           1           .002138      NA          .008951           .011765             .011765            0.11                 35            315
2.74          222                1                  0    128       1         0         5         8192        0           0           0.018452     NA          0.094886          0.127357            0.127356           0.17                 59            78
2.71          223                1                  0    128       1         0         5         8192        0           1           .004803      NA          .017064           .023526             .023526            0.22                 67            308
2.73          222                1                  0    128       1         0         5         40960       0           0           0.085909     NA          0.449348          0.583341            0.583340           0.75                 283           80
2.72          222                1                  0    128       1         0         5         40960       0           1           0.152642     NA          0.621722          0.738617            0.738617           0.99                 321           411
2.67          221                1                  0    128       1         0         6         4096        0           0           0.004379     NA          0.015798          0.017457            0.017456           0.04                 23            83
2.68          222                1                  0    128       1         0         6         4096        0           1           .000811      NA          .002396           .003114             .003114            0.06                 23            236
2.68          221                1                  0    128       1         0         6         8192        0           0           0.009519     NA          0.031633          0.032027            0.032026           0.06                 43            98
2.68          222                1                  0    128       1         0         6         8192        0           1           0.008577     NA          .006050           .007771             .007771            0.10                 43            262
2.67          221                1                  0    128       1         0         6         40960       0           0           0.041247     NA          0.146860          0.164933            0.164932           0.29                 203           91
2.68          221                1                  0    128       1         0         6         40960       0           1           .008629      NA          .033143           .042034             .042034            0.47                 203           161
2.94          238                1                  1    128       1         0         1         4096        0           0           0.005771     NA          0.103217          0.066305            0.066304           0.10                 39            143
2.95          242                1                  1    128       1         0         1         4096        0           1           .001460      NA          .016792           .014866             .014866            0.14                 39            322
2.94          237                1                  1    128       1         0         1         8192        0           0           0.010266     NA          0.198509          0.125377            0.125376           0.17                 70            143
2.95          236                1                  1    128       1         0         1         8192        0           1           .002839      NA          .034598           .030584             .030584            0.26                 70            629
2.96          238                1                  1    128       1         0         1         40960       0           0           0.050114     NA          0.962992          0.586883            0.586882           0.72                 325           150
2.95          237                1                  1    128       1         0         1         40960       0           1           0.107203     NA          1.026916          .122442             .147661            1.15                 324           325
2.92          236                1                  1    128       1         0         2         4096        0           0           0.007830     NA          0.089857          0.077776            0.077775           0.11                 43            116
2.90          235                1                  1    128       1         0         2         4096        0           1           .001490      NA          .016349           .015335             .015335            0.14                 43            504
2.92          236                1                  1    128       1         0         2         8192        0           0           0.021787     NA          0.177289          0.154520            0.154519           0.21                 79            113
2.91          235                1                  1    128       1         0         2         8192        0           1           .003468      NA          .032610           .030563             .030563            0.26                 71            410
2.92          236                1                  1    128       1         0         2         40960       0           0           0.094967     NA          0.805430          0.701849            0.701848           0.88                 366           112
2.91          236                1                  1    128       1         0         2         40960       0           1           0.092058     NA          0.956276          0.937635            0.937634           1.16                 326           104
2.87          235                1                  1    128       1         0         3         4096        0           0           0.006691     NA          0.054265          0.088427            0.088426           0.12                 31            72
2.90          236                1                  1    128       1         0         3         4096        0           1           .002278      NA          .011421           .013397             .013397            0.13                 43            535
2.89          234                1                  1    128       1         0         3         8192        0           0           0.019988     NA          0.105300          0.166747            0.166746           0.22                 55            73
2.88          234                1                  1    128       1         0         3         8192        0           1           .004098      NA          .023706           .027232             .027232            0.25                 79            376
2.87          235                1                  1    128       1         0         3         40960       0           0           0.087112     NA          0.517033          0.696014            0.696014           0.88                 246           79
2.89          234                1                  1    128       1         0         3         40960       0           1           0.159428     NA          0.857526          0.826196            0.826195           1.09                 365           183
