comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.86          228                1                  1    256       1         0         1         512         0           0           0.000208     NA          0.010392          0.010320            0.010319           0.03                 15            83
0.01          3                  1                  1    256       1         0         1         512         0           1           .000033      NA          .001825           .001415             .001415            0.02                 15            633
1.71          228                1                  1    256       1         0         1         1024        0           0           0.000394     NA          0.020205          0.015217            0.015216           0.03                 23            100
0.01          3                  1                  1    256       1         0         1         1024        0           1           .000066      NA          .003797           .002892             .002891            0.04                 23            617
1.72          228                1                  1    256       1         0         1         5120        0           0           0.001228     NA          0.088846          0.064366            0.064365           0.09                 86            124
0.01          3                  1                  1    256       1         0         1         5120        0           1           .000308      NA          .017815           .011913             .011913            0.11                 86            767
1.61          228                1                  1    256       1         0         2         512         0           0           0.000340     NA          0.008385          0.008585            0.008584           0.02                 15            114
0.01          3                  1                  1    256       1         0         2         512         0           1           .000098      NA          .001564           .001633             .001633            0.02                 15            581
1.84          228                1                  1    256       1         0         2         1024        0           0           0.000628     NA          0.019052          0.018412            0.018411           0.03                 23            111
0.01          3                  1                  1    256       1         0         2         1024        0           1           .000207      NA          .002901           .002513             .002513            0.03                 23            631
1.57          228                1                  1    256       1         0         2         5120        0           0           0.003013     NA          0.087488          0.069460            0.069459           0.10                 87            119
0.01          3                  1                  1    256       1         0         2         5120        0           1           .000854      NA          .013699           .012819             .012818            0.12                 87            578
1.67          228                1                  1    256       1         0         3         512         0           0           0.000234     NA          0.006190          0.011456            0.011455           0.02                 12            84
0.01          3                  1                  1    256       1         0         3         512         0           1           .000039      NA          .001433           .001564             .001563            0.02                 15            600
1.73          227                1                  1    256       1         0         3         1024        0           0           0.000453     NA          0.008605          0.015621            0.015620           0.04                 17            76
0.01          3                  1                  1    256       1         0         3         1024        0           1           .000074      NA          .002210           .002683             .002683            0.03                 23            518
1.54          227                1                  1    256       1         0         3         5120        0           0           0.002119     NA          0.043462          0.076670            0.076669           0.10                 57            72
0.01          3                  1                  1    256       1         0         3         5120        0           1           .000318      NA          .010580           .012053             .012053            0.11                 86            522
1.55          227                1                  1    256       1         0         4         512         0           0           0.000218     NA          0.004714          0.010412            0.010411           0.03                 12            64
