comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;8;1;0;1;1024;0;2;.000027;NA;.000128;.000169;.000169;0.01;4;715
0.01;3;1;0;8;1;0;1;10240;0;2;.000205;NA;.001057;.000964;.000964;0.04;8;1347
0.01;3;1;0;8;1;0;1;102400;0;2;.001994;NA;.019512;.019234;.019234;0.43;53;1700
0.01;3;1;0;8;1;0;2;1024;0;2;.000037;NA;.000095;.000157;.000157;0.01;4;717
0.01;3;1;0;8;1;0;2;10240;0;2;.000331;NA;.000811;.001109;.001109;0.04;8;975
0.01;3;1;0;8;1;0;2;102400;0;2;.003077;NA;.017042;.019269;.019269;0.47;53;1454
0.01;3;1;0;8;1;0;3;1024;0;2;.000025;NA;.000144;.000162;.000162;0.01;4;758
0.01;3;1;0;8;1;0;3;10240;0;2;.000246;NA;.000498;.000832;.000832;0.03;8;897
0.01;3;1;0;8;1;0;3;102400;0;2;.002266;NA;.009984;.015013;.015013;0.36;53;1196
0.01;3;1;0;8;1;0;4;1024;0;2;.000026;NA;.000079;.000116;.000116;0.01;4;682
0.01;3;1;0;8;1;0;4;10240;0;2;.000250;NA;.000433;.000603;.000603;0.03;8;1009
0.01;3;1;0;8;1;0;4;102400;0;2;.002310;NA;.005474;.008511;.008511;0.26;47;1106
0.01;3;1;0;8;1;0;5;1024;0;2;.000030;NA;.000081;.000154;.000153;0.01;4;610
0.01;3;1;0;8;1;0;5;10240;0;2;.000246;NA;.000593;.000839;.000839;0.03;8;1008
0.01;3;1;0;8;1;0;5;102400;0;2;.002240;NA;.008697;.013352;.013352;0.34;47;1127
0.01;3;1;0;8;1;0;6;1024;0;2;.000010;NA;.000044;.000087;.000087;0.01;7;521
0.01;3;1;0;8;1;0;6;10240;0;2;.000075;NA;.000186;.000258;.000258;0.02;6;865
0.01;3;1;0;8;1;0;6;102400;0;2;.000675;NA;.002446;.003703;.003703;0.12;28;1091
0.01;3;1;0;64;1;0;1;1024;0;2;.000021;NA;.000304;.000285;.000285;0.02;7;761
0.01;3;1;0;64;1;0;1;10240;0;2;.000212;NA;.003865;.003886;.003886;0.10;43;1557
0.01;3;1;0;64;1;0;1;102400;0;2;.002047;NA;.042479;.042548;.042548;0.93;400;1693
0.01;3;1;0;64;1;0;2;1024;0;2;.000040;NA;.000259;.000379;.000379;0.02;7;800
0.01;3;1;0;64;1;0;2;10240;0;2;.000395;NA;.003158;.003586;.003586;0.10;43;1391
0.01;3;1;0;64;1;0;2;102400;0;2;.003595;NA;.039570;.041702;.041702;0.92;402;1652
0.01;3;1;0;64;1;0;3;1024;0;2;.000025;NA;.000214;.000332;.000332;0.02;7;754
0.01;3;1;0;64;1;0;3;10240;0;2;.000238;NA;.002066;.003043;.003043;0.09;43;1073
0.01;3;1;0;64;1;0;3;102400;0;2;.002262;NA;.028111;.038386;.038386;0.85;403;1314
0.01;3;1;0;64;1;0;4;1024;0;2;.000026;NA;.000202;.000343;.000343;0.03;7;541
0.01;3;1;0;64;1;0;4;10240;0;2;.000244;NA;.001592;.002360;.002360;0.07;38;1174
0.01;3;1;0;64;1;0;4;102400;0;2;.002254;NA;.024137;.033455;.033455;0.76;350;1289
0.01;3;1;0;64;1;0;5;1024;0;2;.000025;NA;.000211;.000284;.000284;0.02;7;781
0.01;3;1;0;64;1;0;5;10240;0;2;.000241;NA;.002061;.002978;.002978;0.09;38;1052
0.01;3;1;0;64;1;0;5;102400;0;2;.002270;NA;.027149;.036769;.036769;0.81;355;1336
0.01;3;1;0;64;1;0;6;1024;0;2;.000008;NA;.000098;.000131;.000131;0.01;5;741
0.01;3;1;0;64;1;0;6;10240;0;2;.000071;NA;.000696;.001014;.001014;0.05;23;944
0.01;3;1;0;64;1;0;6;102400;0;2;.000660;NA;.013116;.014504;.014504;0.38;203;1535
0.01;3;1;0;128;1;0;1;1024;0;2;.000022;NA;.000657;.000596;.000596;0.03;11;1196
0.01;3;1;0;128;1;0;1;10240;0;2;.000198;NA;.006363;.005979;.005979;0.15;83;1680
0.01;3;1;0;128;1;0;1;102400;0;2;.001982;NA;.062004;.060746;.060746;1.34;797;1740
0.01;3;1;0;128;1;0;2;1024;0;2;.000056;NA;.000573;.000633;.000633;0.03;11;1126
0.01;3;1;0;128;1;0;2;10240;0;2;.000428;NA;.005245;.005691;.005691;0.14;83;1492
0.01;3;1;0;128;1;0;2;102400;0;2;.004200;NA;.055146;.056121;.056121;1.33;800;1644
0.01;3;1;0;128;1;0;3;1024;0;2;.000025;NA;.000438;.000613;.000613;0.02;13;953
0.01;3;1;0;128;1;0;3;10240;0;2;.000220;NA;.004013;.005585;.005585;0.15;86;1166
0.01;3;1;0;128;1;0;3;102400;0;2;.002239;NA;.043153;.058643;.058643;1.31;799;1322
0.01;3;1;0;128;1;0;4;1024;0;2;.000026;NA;.000364;.000530;.000530;0.02;10;896
0.01;3;1;0;128;1;0;4;10240;0;2;.000227;NA;.003423;.004740;.004740;0.12;73;1200
0.01;3;1;0;128;1;0;4;102400;0;2;.002260;NA;.035579;.050061;.050061;1.15;697;1296
