comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.52          242                1                  1    128       1         0         1         25000            40960       0           0           0.007432     NA          0.330142          0.227482            0.227481           0.32                 324           124
0.01          3                  1                  1    128       1         0         1         25000            40960       0           1           .001272      NA          .058449           .040266             .040266            0.35                 325           745
1.51          242                1                  1    128       1         0         1         24500            40960       0           0           0.007691     NA          0.354588          0.233394            0.233393           0.33                 324           135
0.01          3                  1                  1    128       1         0         1         24500            40960       0           1           .001244      NA          .057267           .040048             .040048            0.34                 325           751
1.49          242                1                  1    128       1         0         1         24000            40960       0           0           0.007407     NA          0.326268          0.225006            0.225006           0.32                 325           130
0.01          3                  1                  1    128       1         0         1         24000            40960       0           1           .001254      NA          .057498           .039995             .039995            0.34                 325           752
1.50          242                1                  1    128       1         0         1         23500            40960       0           0           0.007363     NA          0.350302          0.228951            0.228950           0.32                 324           137
0.01          3                  1                  1    128       1         0         1         23500            40960       0           1           .001252      NA          .054176           .040558             .040558            0.34                 325           720
1.47          242                1                  1    128       1         0         1         23000            40960       0           0           0.010616     NA          0.359250          0.238899            0.238898           0.34                 324           128
0.01          3                  1                  1    128       1         0         1         23000            40960       0           1           .001257      NA          .058973           .040847             .040846            0.35                 325           756
1.52          242                1                  1    128       1         0         1         22500            40960       0           0           0.007362     NA          0.343258          0.237477            0.237476           0.33                 325           132
0.01          3                  1                  1    128       1         0         1         22500            40960       0           1           .001254      NA          .057217           .041767             .041767            0.36                 325           730
1.50          241                1                  1    128       1         0         1         22000            40960       0           0           0.007429     NA          0.347376          0.225856            0.225855           0.33                 324           133
0.01          3                  1                  1    128       1         0         1         22000            40960       0           1           .001254      NA          .055877           .039448             .039448            0.33                 325           754
1.48          241                1                  1    128       1         0         1         21500            40960       0           0           0.007707     NA          0.339143          0.223588            0.223587           0.32                 324           136
0.01          3                  1                  1    128       1         0         1         21500            40960       0           1           .001256      NA          .057169           .040931             .040931            0.36                 325           724
1.48          242                1                  1    128       1         0         1         21000            40960       0           0           0.007514     NA          0.361124          0.226823            0.226822           0.32                 325           141
0.01          3                  1                  1    128       1         0         1         21000            40960       0           1           .001258      NA          .057203           .040766             .040766            0.35                 325           746
1.51          241                1                  1    128       1         0         1         20500            40960       0           0           0.007364     NA          0.342932          0.227462            0.227461           0.32                 325           135
0.01          3                  1                  1    128       1         0         1         20500            40960       0           1           .001245      NA          .058166           .040868             .040868            0.35                 325           751
1.51          241                1                  1    128       1         0         1         20000            40960       0           0           0.007367     NA          0.350704          0.236334            0.236333           0.31                 324           135
0.01          3                  1                  1    128       1         0         1         20000            40960       0           1           .001240      NA          .057270           .041330             .041330            0.36                 325           728
1.50          242                1                  1    128       1         0         1         19500            40960       0           0           0.007387     NA          0.366951          0.230922            0.230921           0.33                 325           141
0.01          3                  1                  1    128       1         0         1         19500            40960       0           1           .001258      NA          .055364           .041276             .041276            0.36                 325           697
1.48          242                1                  1    128       1         0         1         19000            40960       0           0           0.007366     NA          0.355279          0.228946            0.228946           0.32                 324           138
0.01          3                  1                  1    128       1         0         1         19000            40960       0           1           .001242      NA          .055007           .040882             .040882            0.35                 325           726
1.46          241                1                  1    128       1         0         1         18500            40960       0           0           0.007364     NA          0.360237          0.232985            0.232984           0.32                 325           139
0.01          3                  1                  1    128       1         0         1         18500            40960       0           1           .001242      NA          .057084           .040682             .040682            0.36                 325           723
1.46          242                1                  1    128       1         0         1         18000            40960       0           0           0.007561     NA          0.360094          0.224997            0.224996           0.32                 325           133
0.01          3                  1                  1    128       1         0         1         18000            40960       0           1           .001277      NA          .053714           .040144             .040144            0.34                 325           718
1.50          240                1                  1    128       1         0         1         17500            40960       0           0           0.007393     NA          0.347499          0.223950            0.223949           0.32                 324           139
0.01          3                  1                  1    128       1         0         1         17500            40960       0           1           .001252      NA          .057108           .040666             .040666            0.35                 325           739
1.51          241                1                  1    128       1         0         1         17000            40960       0           0           0.007488     NA          0.368826          0.234722            0.234721           0.33                 325           140
0.01          3                  1                  1    128       1         0         1         17000            40960       0           1           .001264      NA          .059634           .040594             .040594            0.35                 325           748
1.52          242                1                  1    128       1         0         1         16500            40960       0           0           0.007368     NA          0.307780          0.224404            0.224403           0.32                 324           126
0.01          3                  1                  1    128       1         0         1         16500            40960       0           1           .001252      NA          .057923           .041922             .041922            0.36                 325           726
1.50          242                1                  1    128       1         0         1         16000            40960       0           0           0.007388     NA          0.341331          0.224473            0.224472           0.32                 325           137
0.01          3                  1                  1    128       1         0         1         16000            40960       0           1           .001258      NA          .061658           .042997             .042997            0.37                 325           749
1.51          241                1                  1    128       1         0         1         15500            40960       0           0           0.007416     NA          0.336605          0.225833            0.225832           0.32                 324           134
0.01          3                  1                  1    128       1         0         1         15500            40960       0           1           .001269      NA          .059436           .042011             .042011            0.37                 325           723
1.48          242                1                  1    128       1         0         1         15000            40960       0           0           0.007389     NA          0.344707          0.223870            0.223869           0.31                 325           138
0.01          3                  1                  1    128       1         0         1         15000            40960       0           1           .001268      NA          .057754           .040931             .040931            0.35                 325           741
1.50          241                1                  1    128       1         0         1         14500            40960       0           0           0.007432     NA          0.344377          0.226661            0.226659           0.32                 325           126
