comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.50;241;1;1;3;128;1;0;1;8192;0;0;0.001481;NA;0.058297;0.042671;0.042670;0.06;71;123
0.01;3;1;1;3;128;1;0;1;8192;0;1;.000253;NA;.010231;.007556;.007555;0.08;71;651
1.41;240;1;1;3;128;1;0;1;40960;0;0;0.007516;NA;0.241851;0.195106;0.195105;0.26;324;114
0.00;3;1;1;3;128;1;0;1;40960;0;1;.001244;NA;.047822;.038136;.038136;0.30;325;706
1.42;241;1;1;3;128;1;0;2;8192;0;0;0.001519;NA;0.051410;0.042896;0.042895;0.06;71;108
0.01;3;1;1;3;128;1;0;2;8192;0;1;.000285;NA;.006791;.006957;.006957;0.06;71;548
1.42;242;1;1;3;128;1;0;2;40960;0;0;0.007164;NA;0.226939;0.189662;0.189661;0.25;326;114
0.00;3;1;1;3;128;1;0;2;40960;0;1;.001350;NA;.035421;.035332;.035332;0.29;326;567
1.39;241;1;1;3;128;1;0;3;8192;0;0;0.000471;NA;0.035254;0.045163;0.045162;0.06;47;82
0.00;3;1;1;3;128;1;0;3;8192;0;1;.000088;NA;.006077;.007340;.007340;0.07;71;502
1.38;240;1;1;3;128;1;0;3;40960;0;0;0.002375;NA;0.160114;0.205820;0.205819;0.26;206;82
0.01;3;1;1;3;128;1;0;3;40960;0;1;.000439;NA;.030183;.035575;.035575;0.28;325;516
1.40;240;1;1;3;128;1;0;4;8192;0;0;0.000341;NA;0.034372;0.043828;0.043827;0.07;47;74
0.00;3;1;1;3;128;1;0;4;8192;0;1;.000085;NA;.005997;.007016;.007016;0.07;63;464
1.40;240;1;1;3;128;1;0;4;40960;0;0;0.001644;NA;0.147343;0.186010;0.186009;0.24;206;83
0.00;3;1;1;3;128;1;0;4;40960;0;1;.000419;NA;.027662;.033248;.033248;0.28;284;483
1.39;240;1;1;3;128;1;0;5;8192;0;0;0.000470;NA;0.036806;0.046840;0.046839;0.07;55;82
0.00;3;1;1;3;128;1;0;5;8192;0;1;.000089;NA;.006214;.007235;.007234;0.06;63;516
1.41;240;1;1;3;128;1;0;5;40960;0;0;0.002310;NA;0.162454;0.201837;0.201837;0.26;246;82
0.01;3;1;1;3;128;1;0;5;40960;0;1;.000439;NA;.029886;.034530;.034530;0.28;285;513
1.39;239;1;1;3;128;1;0;6;8192;0;0;0.000192;NA;0.019463;0.014997;0.014996;0.03;39;110
