comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;latencies(ms);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.52;241;1;1;128;1;0;1;1;8192;0;0;0.003825;NA;0.107703;0.129067;0.129066;0.17;71;84
0.01;3;1;1;128;1;0;1;1;8192;0;1;.000513;NA;.016681;.020070;.020070;0.18;71;446
1.49;241;1;1;128;1;0;1;1;40960;0;0;0.007399;NA;0.345263;0.302636;0.302635;0.40;325;110
0.01;3;1;1;128;1;0;1;1;40960;0;1;.001253;NA;.057537;.050775;.050774;0.43;325;609
1.47;242;1;1;128;1;0;1;5;8192;0;0;0.001498;NA;0.097965;0.245358;0.245357;0.31;71;39
0.01;3;1;1;128;1;0;1;5;8192;0;1;.000552;NA;.017546;.041685;.041685;0.41;71;213
1.50;242;1;1;128;1;0;1;5;40960;0;0;0.007562;NA;0.354971;0.451618;0.451617;0.58;325;78
0.01;3;1;1;128;1;0;1;5;40960;0;1;.001250;NA;.061049;.076603;.076603;0.60;324;457
1.49;241;1;1;128;1;0;1;10;8192;0;0;0.003898;NA;0.108626;0.807822;0.807821;0.90;70;17
0.01;3;1;1;128;1;0;1;10;8192;0;1;.000508;NA;.018615;.124457;.124456;1.78;71;51
1.51;242;1;1;128;1;0;1;10;40960;0;0;0.007580;NA;0.371459;0.753079;0.753078;0.89;325;52
0.01;3;1;1;128;1;0;1;10;40960;0;1;.001248;NA;.066040;.120224;.120224;0.88;325;334
1.50;242;1;1;128;1;0;1;20;8192;0;0;0.003944;NA;0.109971;2.541236;2.541235;2.68;71;5
0.01;3;1;1;128;1;0;1;20;8192;0;1;.000563;NA;.019562;.282973;.282973;1.95;71;49
1.47;241;1;1;128;1;0;1;20;40960;0;0;0.007362;NA;0.372141;3.126900;3.126899;3.32;324;14
0.01;3;1;1;128;1;0;1;20;40960;0;1;.001256;NA;.065563;.291646;.291646;2.53;325;115
1.51;242;1;1;128;1;0;1;40;8192;0;0;0.003782;NA;0.107208;1.602148;1.602147;1.85;71;8
0.01;3;1;1;128;1;0;1;40;8192;0;1;.000499;NA;.019749;.457569;.457569;4.47;71;21
1.51;241;1;1;128;1;0;1;40;40960;0;0;0.007364;NA;0.360239;2.399246;2.399245;2.70;325;17
0.01;3;1;1;128;1;0;1;40;40960;0;1;.001263;NA;.068096;.647938;.647938;5.78;325;51
1.48;242;1;1;128;1;0;1;60;8192;0;0;0.003780;NA;0.107482;3.907905;3.907903;4.24;71;3
0.01;3;1;1;128;1;0;1;60;8192;0;1;.000513;NA;.019445;.810516;.810516;8.60;71;11
1.49;242;1;1;128;1;0;1;60;40960;0;0;0.007563;NA;0.342114;3.592552;3.592550;3.97;325;11
0.01;3;1;1;128;1;0;1;60;40960;0;1;.001242;NA;.065727;.812757;.812757;11.75;325;25
1.49;240;1;1;128;1;0;1;80;8192;0;0;0.003805;NA;0.107046;8.970758;8.970757;9.41;70;1
0.01;3;1;1;128;1;0;1;80;8192;0;1;.000562;NA;.018901;.577017;.577017;6.50;71;14
1.51;242;1;1;128;1;0;1;80;40960;0;0;0.007368;NA;0.378262;5.860461;5.860459;6.34;325;7
0.01;3;1;1;128;1;0;1;80;40960;0;1;.001247;NA;.068124;.939487;.939487;7.51;325;40
1.52;245;1;1;128;1;0;1;100;8192;0;0;0.003913;NA;0.108393;22.952259;22.952258;23.48;70;0
0.01;3;1;1;128;1;0;1;100;8192;0;1;.000564;NA;.019638;2.410031;2.410031;42.47;71;2
1.52;242;1;1;128;1;0;1;100;40960;0;0;0.007566;NA;0.368736;6.645302;6.645301;7.24;324;6
0.01;3;1;1;128;1;0;1;100;40960;0;1;.001254;NA;.065526;1.064470;1.064469;9.16;325;32
1.49;241;1;1;128;1;0;1;200;8192;0;0;0.003826;NA;0.105363;18.686648;18.686647;19.71;70;0
0.01;3;1;1;128;1;0;1;200;8192;0;1;.000514;NA;.018951;3.473343;3.473342;51.34;71;1
1.50;242;1;1;128;1;0;1;200;40960;0;0;0.007411;NA;0.372031;34.071327;34.071325;35.17;325;1
0.01;3;1;1;128;1;0;1;200;40960;0;1;.001257;NA;.066448;2.866971;2.866971;31.11;325;9
1.49;242;1;1;128;1;0;1;300;8192;0;0;0.003815;NA;0.107883;36.112538;36.112537;37.65;71;0
0.01;3;1;1;128;1;0;1;300;8192;0;1;.000578;NA;.019545;3.129553;3.129553;42.45;71;2
1.50;241;1;1;128;1;0;1;300;40960;0;0;0.007388;NA;0.376176;23.097577;23.097576;24.69;325;1
0.01;3;1;1;128;1;0;1;300;40960;0;1;.001248;NA;.065936;4.357043;4.357043;41.79;325;7
1.51;242;1;1;128;1;0;1;400;8192;0;0;0.003762;NA;0.107733;18.051181;18.051180;20.09;71;0
0.01;3;1;1;128;1;0;1;400;8192;0;1;.000499;NA;.019356;6.787564;6.787563;106.69;71;0
1.51;241;1;1;128;1;0;1;400;40960;0;0;0.007392;NA;0.392806;81.941389;81.941388;84.03;324;0
0.01;3;1;1;128;1;0;1;400;40960;0;1;.001249;NA;.066876;5.331317;5.331317;53.90;325;5
1.52;240;1;1;128;1;0;1;500;8192;0;0;0.003961;NA;0.093810;18.590629;18.590628;21.13;70;0
0.01;3;1;1;128;1;0;1;500;8192;0;1;.000527;NA;.019702;8.900107;8.900107;194.53;73;0
1.51;242;1;1;128;1;0;1;500;40960;0;0;0.007451;NA;0.374542;56.532558;56.532557;59.12;325;0
0.01;3;1;1;128;1;0;1;500;40960;0;1;.001240;NA;.065674;13.508372;13.508372;162.89;325;1
1.50;245;1;1;128;1;0;1;600;8192;0;0;0.003910;NA;0.105917;21.688565;21.688564;24.72;71;0
0.01;3;1;1;128;1;0;1;600;8192;0;1;.000564;NA;.019532;6.099669;6.099668;80.53;72;1
1.46;241;1;1;128;1;0;1;600;40960;0;0;0.007448;NA;0.406510;88.532550;88.532549;91.62;325;0
0.01;3;1;1;128;1;0;1;600;40960;0;1;.001253;NA;.066282;7.976893;7.976893;69.40;325;4
1.49;242;1;1;128;1;0;1;700;8192;0;0;0.010123;NA;0.108175;82.022994;82.022992;85.55;73;0
0.01;3;1;1;128;1;0;1;700;8192;0;1;.000529;NA;.019126;6.570289;6.570289;70.82;74;1
1.50;242;1;1;128;1;0;1;700;40960;0;0;0.007490;NA;0.403945;124.329199;124.329198;127.92;324;0
0.01;3;1;1;128;1;0;1;700;40960;0;1;.001254;NA;.066174;9.546126;9.546125;75.40;325;3
1.48;242;1;1;128;1;0;1;800;8192;0;0;0.003842;NA;0.108294;104.911159;104.911158;108.94;72;0
0.01;3;1;1;128;1;0;1;800;8192;0;1;.000511;NA;.019585;11.786831;11.786831;139.85;73;0
1.49;241;1;1;128;1;0;1;800;40960;0;0;0.007581;NA;0.411948;57.099900;57.099899;61.18;328;0
0.01;3;1;1;128;1;0;1;800;40960;0;1;.001248;NA;.068825;15.913817;15.913817;237.80;329;1
1.50;241;1;1;128;1;0;1;900;8192;0;0;0.004030;NA;0.106362;68.525116;68.525115;73.06;70;0
0.01;3;1;1;128;1;0;1;900;8192;0;1;.000581;NA;.020015;22.293419;22.293419;217.05;74;0
1.50;241;1;1;128;1;0;1;900;40960;0;0;0.007365;NA;0.378928;54.266417;54.266416;58.85;324;0
0.01;3;1;1;128;1;0;1;900;40960;0;1;.001254;NA;.066471;14.326581;14.326581;178.56;325;1
1.49;242;1;1;128;1;0;1;1000;8192;0;0;0.003796;NA;0.106795;36.088897;36.088895;41.12;71;0
0.01;3;1;1;128;1;0;1;1000;8192;0;1;.000503;NA;.019353;12.251036;12.251036;125.12;73;0
1.51;241;1;1;128;1;0;1;1000;40960;0;0;0.007564;NA;0.368971;73.400645;73.400644;78.46;324;0
0.01;3;1;1;128;1;0;1;1000;40960;0;1;.001265;NA;.066539;13.444456;13.444456;132.38;325;2
1.49;240;1;1;128;1;0;2;1;8192;0;0;0.003691;NA;0.092145;0.169654;0.169653;0.22;71;62
0.01;3;1;1;128;1;0;2;1;8192;0;1;.000613;NA;.011520;.024349;.024349;0.22;71;292
1.49;240;1;1;128;1;0;2;1;40960;0;0;0.007142;NA;0.277844;0.411889;0.411888;0.50;326;69
0.01;3;1;1;128;1;0;2;1;40960;0;1;.001308;NA;.047092;.063381;.063381;0.52;326;434
1.51;241;1;1;128;1;0;2;5;8192;0;0;0.001436;NA;0.073224;0.312575;0.312574;0.38;71;26
0.01;3;1;1;128;1;0;2;5;8192;0;1;.000592;NA;.012735;.055604;.055604;0.77;71;92
1.50;240;1;1;128;1;0;2;5;40960;0;0;0.007130;NA;0.328071;0.622233;0.622232;0.75;326;57
0.01;3;1;1;128;1;0;2;5;40960;0;1;.001314;NA;.047376;.093361;.093361;0.78;326;289
