comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.48          240                1                  1    1        128       1         0         1         4096        0           0           0.000752     NA          0.043353          0.045274            0.045272           0.08                 39            79
1.50          242                1                  1    1        128       1         0         1         40960       0           0           0.007362     NA          0.360938          0.229466            0.229465           0.33                 325           138
1.48          242                1                  1    1        128       1         0         2         4096        0           0           0.001899     NA          0.053376          0.044247            0.044246           0.07                 39            116
1.45          242                1                  1    1        128       1         0         2         40960       0           0           0.007119     NA          0.343145          0.253113            0.253112           0.34                 326           126
1.47          240                1                  1    1        128       1         0         3         4096        0           0           0.000594     NA          0.044804          0.051433            0.051431           0.07                 27            92
1.46          241                1                  1    1        128       1         0         3         40960       0           0           0.002313     NA          0.204956          0.259171            0.259170           0.35                 206           82
1.45          239                1                  1    1        128       1         0         4         4096        0           0           0.000176     NA          0.018477          0.043475            0.043474           0.07                 27            46
1.46          239                1                  1    1        128       1         0         4         40960       0           0           0.001649     NA          0.191757          0.247113            0.247112           0.33                 206           76
1.46          241                1                  1    1        128       1         0         5         4096        0           0           0.000668     NA          0.041865          0.048247            0.048246           0.08                 31            82
1.45          240                1                  1    1        128       1         0         5         40960       0           0           0.002310     NA          0.210698          0.270137            0.270136           0.36                 246           84
1.42          240                1                  1    1        128       1         0         6         4096        0           0           0.000251     NA          0.020229          0.015673            0.015672           0.04                 23            111
1.44          240                1                  1    1        128       1         0         6         40960       0           0           0.000923     NA          0.119547          0.092803            0.092802           0.18                 167           114
1.48          241                1                  1    2        128       1         0         1         4096        0           0           0.001967     NA          0.055729          0.049474            0.049474           0.08                 37            181
1.44          241                1                  1    2        128       1         0         1         40960       0           0           0.007705     NA          0.359731          0.235783            0.235782           0.33                 323           280
1.48          241                1                  1    2        128       1         0         2         4096        0           0           0.001858     NA          0.057104          0.049706            0.049705           0.08                 37            196
1.44          242                1                  1    2        128       1         0         2         40960       0           0           0.007377     NA          0.342941          0.265858            0.265858           0.37                 324           237
1.47          241                1                  1    2        128       1         0         3         4096        0           0           0.000484     NA          0.044963          0.054340            0.054339           0.08                 26            174
1.46          240                1                  1    2        128       1         0         3         40960       0           0           0.001805     NA          0.176374          0.272814            0.272813           0.36                 205           152
1.45          239                1                  1    2        128       1         0         4         4096        0           0           0.000512     NA          0.043210          0.047650            0.047649           0.07                 26            183
1.43          240                1                  1    2        128       1         0         4         40960       0           0           0.001907     NA          0.197839          0.252167            0.252167           0.34                 204           167
1.47          240                1                  1    2        128       1         0         5         4096        0           0           0.000485     NA          0.042505          0.050927            0.050925           0.08                 29            154
1.48          242                1                  1    2        128       1         0         5         40960       0           0           0.001805     NA          0.210775          0.273386            0.273385           0.37                 245           156
1.43          239                1                  1    2        128       1         0         6         4096        0           0           0.000266     NA          0.017008          0.015957            0.015956           0.04                 22            202
1.45          238                1                  1    2        128       1         0         6         40960       0           0           0.000930     NA          0.130793          0.105702            0.105701           0.20                 165           207
1.49          242                1                  1    4        128       1         0         1         4096        0           0           0.002024     NA          0.056093          0.051185            0.051185           0.08                 37            429
1.48          241                1                  1    4        128       1         0         1         40960       0           0           0.007642     NA          0.324951          0.241477            0.241476           0.34                 323           476
1.46          241                1                  1    4        128       1         0         2         4096        0           0           0.001813     NA          0.050119          0.047910            0.047909           0.07                 38            417
1.48          240                1                  1    4        128       1         0         2         40960       0           0           0.007193     NA          0.343157          0.284489            0.284487           0.37                 324           450
1.44          241                1                  1    4        128       1         0         3         4096        0           0           0.000533     NA          0.040290          0.049197            0.049196           0.07                 26            264
1.46          241                1                  1    4        128       1         0         3         40960       0           0           0.001846     NA          0.207368          0.282468            0.282467           0.38                 205           302
1.45          240                1                  1    4        128       1         0         4         4096        0           0           0.000542     NA          0.039808          0.047291            0.047290           0.07                 25            332
1.44          240                1                  1    4        128       1         0         4         40960       0           0           0.001963     NA          0.198465          0.277522            0.277522           0.37                 204           282
1.44          240                1                  1    4        128       1         0         5         4096        0           0           0.000569     NA          0.046366          0.051098            0.051097           0.08                 30            306
1.44          241                1                  1    4        128       1         0         5         40960       0           0           0.001810     NA          0.212787          0.283378            0.283376           0.37                 245           309
1.46          239                1                  1    4        128       1         0         6         4096        0           0           0.000298     NA          0.018955          0.014469            0.014468           0.04                 22            381
1.45          239                1                  1    4        128       1         0         6         40960       0           0           0.000930     NA          0.121370          0.095199            0.095198           0.18                 165           384
1.49          242                1                  1    8        128       1         0         1         4096        0           0           0.001953     NA          0.044496          0.044624            0.044624           0.07                 37            725
1.47          242                1                  1    8        128       1         0         1         40960       0           0           0.007678     NA          0.314475          0.260647            0.260647           0.37                 323           846
1.47          242                1                  1    8        128       1         0         2         4096        0           0           0.001858     NA          0.061869          0.052009            0.052008           0.08                 38            696
1.48          240                1                  1    8        128       1         0         2         40960       0           0           0.007354     NA          0.317260          0.347424            0.347424           0.45                 325           682
1.41          241                1                  1    8        128       1         0         3         4096        0           0           0.000663     NA          0.043880          0.053305            0.053304           0.08                 26            580
1.46          241                1                  1    8        128       1         0         3         40960       0           0           0.002343     NA          0.167387          0.395299            0.395298           0.48                 205           432
1.47          240                1                  1    8        128       1         0         4         4096        0           0           0.000478     NA          0.038916          0.048693            0.048692           0.08                 26            513
1.45          239                1                  1    8        128       1         0         4         40960       0           0           0.001698     NA          0.195438          0.367937            0.367936           0.45                 204           461
1.45          240                1                  1    8        128       1         0         5         4096        0           0           0.000622     NA          0.040591          0.051290            0.051289           0.08                 30            541
1.46          241                1                  1    8        128       1         0         5         40960       0           0           0.002369     NA          0.229379          0.378916            0.378915           0.47                 245           482
1.43          241                1                  1    8        128       1         0         6         4096        0           0           0.000259     NA          0.014166          0.016477            0.016476           0.04                 22            728
1.45          240                1                  1    8        128       1         0         6         40960       0           0           0.000964     NA          0.066127          0.129629            0.129628           0.22                 165           573
