comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.00;245;1;1;1;8;1;0;1;4096;0;0;0.002393;NA;0.013146;0.017723;0.017722;0.03;9;94
0.02;3;1;1;1;8;1;0;1;4096;0;1;.000531;NA;.002063;.005977;.005977;0.07;9;290
0.01;3;1;1;1;8;1;0;1;4096;0;2;.000158;NA;.000815;.005262;.005262;0.16;9;420
2.99;244;1;1;1;8;1;0;1;40960;0;0;0.016139;NA;0.110694;0.131912;0.131911;0.16;27;89
0.02;3;1;1;1;8;1;0;1;40960;0;1;.004424;NA;.040578;.067018;.067017;0.49;27;360
0.02;3;1;1;1;8;1;0;1;40960;0;2;.001656;NA;.018027;.059094;.059094;1.35;27;521
3.00;244;1;1;1;8;1;0;1;409600;0;0;0.160780;NA;1.340716;1.580094;1.580093;1.81;205;86
0.02;3;1;1;1;8;1;0;1;409600;0;1;.037478;NA;.352891;.665134;.665134;4.75;205;306
0.01;3;1;1;1;8;1;0;1;409600;0;2;.017010;NA;.172026;.673266;.673266;13.53;205;465
2.97;243;1;1;1;8;1;0;2;4096;0;0;0.002176;NA;0.011415;0.018626;0.018625;0.04;9;67
0.01;3;1;1;1;8;1;0;2;4096;0;1;.000508;NA;.001741;.005715;.005715;0.06;9;337
0.01;3;1;1;1;8;1;0;2;4096;0;2;.000150;NA;.000675;.004921;.004921;0.16;9;395
2.97;244;1;1;1;8;1;0;2;40960;0;0;0.021620;NA;0.125430;0.172952;0.172951;0.21;27;78
0.02;3;1;1;1;8;1;0;2;40960;0;1;.004731;NA;.034192;.064179;.064178;0.46;27;343
0.02;3;1;1;1;8;1;0;2;40960;0;2;.001557;NA;.016889;.055162;.055162;1.26;27;514
2.97;244;1;1;1;8;1;0;2;409600;0;0;0.215269;NA;1.411900;1.953507;1.953506;2.23;206;75
0.01;3;1;1;1;8;1;0;2;409600;0;1;.043312;NA;.315983;.627427;.627427;4.37;206;307
0.02;3;1;1;1;8;1;0;2;409600;0;2;.016096;NA;.137963;.521873;.521873;11.65;206;442
2.95;243;1;1;1;8;1;0;3;4096;0;0;0.001437;NA;0.006246;0.015997;0.015996;0.03;8;71
0.01;3;1;1;1;8;1;0;3;4096;0;1;.000360;NA;.001326;.004286;.004286;0.05;9;318
