comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.94          235                1                  0    1        128       0         1         0         1         4096        0           0           0.002143     NA          0.065661          0.062805            0.062804           0.09                 35            91
0.02          3                  1                  0    1        128       0         1         0         1         4096        0           1           .000472      NA          .012924           .013501             .013501            0.12                 35            471
2.94          239                1                  0    1        128       0         1         0         1         8192        0           0           0.003915     NA          0.118305          0.113805            0.113804           0.15                 67            96
0.02          3                  1                  0    1        128       0         1         0         1         8192        0           1           .000911      NA          .026353           .027335             .027335            0.21                 67            547
2.93          234                1                  0    1        128       0         1         0         1         12288       0           0           0.005479     NA          0.171473          0.161884            0.161883           0.21                 99            101
0.02          3                  1                  0    1        128       0         1         0         1         12288       0           1           .001310      NA          .038818           .039277             .039277            0.31                 99            550
2.92          234                1                  0    1        128       0         1         0         1         16384       0           0           0.006485     NA          0.215348          0.210498            0.210497           0.26                 130           100
0.02          3                  1                  0    1        128       0         1         0         1         16384       0           1           .001612      NA          .051289           .052771             .052770            0.41                 134           547
2.94          234                1                  0    1        128       0         1         0         1         20480       0           0           0.008138     NA          0.266525          0.259436            0.259435           0.32                 162           99
0.02          3                  1                  0    1        128       0         1         0         1         20480       0           1           .002181      NA          .065920           .065896             .065896            0.51                 162           562
2.95          233                1                  0    1        128       0         1         0         1         24576       0           0           0.009712     NA          0.314786          0.305664            0.305662           0.38                 194           101
0.02          3                  1                  0    1        128       0         1         0         1         24576       0           1           .002601      NA          .078987           .078840             .078840            0.60                 194           571
2.97          234                1                  0    1        128       0         1         0         1         28672       0           0           0.011302     NA          0.381650          0.358620            0.358620           0.45                 226           100
0.02          3                  1                  0    1        128       0         1         0         1         28672       0           1           .002681      NA          .090656           .092869             .092868            0.70                 226           558
2.96          235                1                  0    1        128       0         1         0         1         32768       0           0           0.012887     NA          0.437510          0.413991            0.413990           0.51                 257           102
0.02          3                  1                  0    1        128       0         1         0         1         32768       0           1           .003455      NA          .102534           .104218             .104217            0.80                 257           554
2.94          234                1                  0    1        128       0         1         0         1         36864       0           0           0.014518     NA          0.493331          0.450091            0.450089           0.54                 289           107
0.02          3                  1                  0    1        128       0         1         0         1         36864       0           1           .003173      NA          .115296           .118827             .118827            0.89                 289           555
2.94          233                1                  0    1        128       0         1         0         1         40960       0           0           0.016098     NA          0.536402          0.508355            0.508354           0.62                 321           102
0.02          3                  1                  0    1        128       0         1         0         1         40960       0           1           .003486      NA          .128053           .135122             .135121            1.02                 321           537
2.91          233                1                  0    1        128       0         1         0         2         4096        0           0           0.003114     NA          0.059734          0.063876            0.063875           0.08                 35            92
0.02          3                  1                  0    1        128       0         1         0         2         4096        0           1           .000705      NA          .011705           .012887             .012887            0.11                 35            487
2.94          234                1                  0    1        128       0         1         0         2         8192        0           0           0.004529     NA          0.102397          0.111188            0.111187           0.14                 67            89
0.02          3                  1                  0    1        128       0         1         0         2         8192        0           1           .001249      NA          .021386           .025631             .025631            0.22                 67            453
2.92          233                1                  0    1        128       0         1         0         2         12288       0           0           0.012524     NA          0.148305          0.156823            0.156821           0.21                 99            94
0.02          3                  1                  0    1        128       0         1         0         2         12288       0           1           .001793      NA          .034225           .037876             .037876            0.30                 99            522
2.92          235                1                  0    1        128       0         1         0         2         16384       0           0           0.009390     NA          0.199505          0.205904            0.205903           0.26                 131           95
0.02          3                  1                  0    1        128       0         1         0         2         16384       0           1           .002576      NA          .044946           .050857             .050856            0.40                 131           508
2.91          234                1                  0    1        128       0         1         0         2         20480       0           0           0.011294     NA          0.245984          0.255925            0.255923           0.32                 163           95
0.02          3                  1                  0    1        128       0         1         0         2         20480       0           1           .002884      NA          .053365           .063249             .063249            0.50                 163           480
2.92          239                1                  0    1        128       0         1         0         2         24576       0           0           0.013544     NA          0.284271          0.297249            0.297248           0.37                 195           93
0.02          3                  1                  0    1        128       0         1         0         2         24576       0           1           .003441      NA          .065701           .076018             .076018            0.60                 195           493
2.92          234                1                  0    1        128       0         1         0         2         28672       0           0           0.015763     NA          0.336322          0.342594            0.342593           0.44                 226           94
0.02          3                  1                  0    1        128       0         1         0         2         28672       0           1           .004198      NA          .082925           .088689             .088689            0.69                 227           536
2.92          234                1                  0    1        128       0         1         0         2         32768       0           0           0.018041     NA          0.385022          0.407070            0.407069           0.51                 258           92
0.02          3                  1                  0    1        128       0         1         0         2         32768       0           1           .004560      NA          .091266           .100617             .100617            0.78                 258           516
2.92          234                1                  0    1        128       0         1         0         2         36864       0           0           0.020264     NA          0.447696          0.468275            0.468274           0.58                 290           93
0.02          3                  1                  0    1        128       0         1         0         2         36864       0           1           .005530      NA          .105580           .115331             .115331            0.87                 290           534
2.91          234                1                  0    1        128       0         1         0         2         40960       0           0           0.022417     NA          0.486236          0.491086            0.491085           0.61                 322           98
0.02          3                  1                  0    1        128       0         1         0         2         40960       0           1           .005579      NA          .119958           .127331             .127331            0.98                 322           537
2.95          234                1                  0    1        128       0         1         0         3         4096        0           0           0.002017     NA          0.045521          0.078446            0.078445           0.10                 23            63
0.02          3                  1                  0    1        128       0         1         0         3         4096        0           1           .000330      NA          .008021           .011595             .011595            0.11                 35            367
2.89          233                1                  0    1        128       0         1         0         3         8192        0           0           0.003529     NA          0.083880          0.135859            0.135858           0.17                 43            65
0.02          3                  1                  0    1        128       0         1         0         3         8192        0           1           .000658      NA          .015923           .022528             .022528            0.19                 67            414
2.92          233                1                  0    1        128       0         1         0         3         12288       0           0           0.004829     NA          0.112372          0.184067            0.184066           0.23                 63            66
0.02          3                  1                  0    1        128       0         1         0         3         12288       0           1           .000920      NA          .024971           .032904             .032904            0.27                 99            445
2.94          233                1                  0    1        128       0         1         0         3         16384       0           0           0.006071     NA          0.146104          0.236694            0.236693           0.29                 83            67
0.02          3                  1                  0    1        128       0         1         0         3         16384       0           1           .001216      NA          .033349           .044354             .044353            0.35                 131           444
2.91          234                1                  0    1        128       0         1         0         3         20480       0           0           0.007199     NA          0.180216          0.302999            0.302998           0.36                 103           66
0.02          3                  1                  0    1        128       0         1         0         3         20480       0           1           .001532      NA          .042933           .056250             .056250            0.44                 162           450
2.92          232                1                  0    1        128       0         1         0         3         24576       0           0           0.008590     NA          0.214118          0.357667            0.357666           0.44                 123           64
0.02          3                  1                  0    1        128       0         1         0         3         24576       0           1           .001824      NA          .048459           .066939             .066939            0.53                 194           426
2.92          233                1                  0    1        128       0         1         0         3         28672       0           0           0.009982     NA          0.248851          0.409190            0.409189           0.49                 143           66
0.02          3                  1                  0    1        128       0         1         0         3         28672       0           1           .002051      NA          .057870           .078921             .078921            0.61                 226           442
2.92          233                1                  0    1        128       0         1         0         3         32768       0           0           0.011423     NA          0.284308          0.476846            0.476845           0.57                 163           65
0.02          3                  1                  0    1        128       0         1         0         3         32768       0           1           .002456      NA          .066378           .091256             .091255            0.70                 258           442
2.91          233                1                  0    1        128       0         1         0         3         36864       0           0           0.012846     NA          0.318608          0.532564            0.532563           0.62                 183           64
0.02          3                  1                  0    1        128       0         1         0         3         36864       0           1           .002718      NA          .074732           .101809             .101809            0.77                 290           448
2.90          233                1                  0    1        128       0         1         0         3         40960       0           0           0.014262     NA          0.353750          0.580908            0.580907           0.68                 203           66
0.02          3                  1                  0    1        128       0         1         0         3         40960       0           1           .003043      NA          .088266           .115019             .115019            0.89                 322           451
2.90          233                1                  0    1        128       0         1         0         4         4096        0           0           0.001998     NA          0.045052          0.068878            0.068877           0.09                 23            70
0.02          3                  1                  0    1        128       0         1         0         4         4096        0           1           .000337      NA          .006935           .009992             .009991            0.09                 31            398
2.91          233                1                  0    1        128       0         1         0         4         8192        0           0           0.002862     NA          0.073032          0.115698            0.115697           0.14                 43            67
0.02          3                  1                  0    1        128       0         1         0         4         8192        0           1           .000626      NA          .014605           .021051             .021051            0.19                 59            382
2.90          233                1                  0    1        128       0         1         0         4         12288       0           0           0.004863     NA          0.110573          0.173407            0.173406           0.22                 63            70
0.02          3                  1                  0    1        128       0         1         0         4         12288       0           1           .000907      NA          .020236           .030684             .030684            0.26                 87            394
2.88          232                1                  0    1        128       0         1         0         4         16384       0           0           0.006001     NA          0.141975          0.215092            0.215091           0.27                 83            71
0.02          3                  1                  0    1        128       0         1         0         4         16384       0           1           .001233      NA          .027412           .040318             .040318            0.33                 114           417
2.90          232                1                  0    1        128       0         1         0         4         20480       0           0           0.007183     NA          0.177521          0.272880            0.272879           0.33                 103           70
0.02          3                  1                  0    1        128       0         1         0         4         20480       0           1           .001482      NA          .035000           .050223             .050223            0.40                 142           427
2.89          233                1                  0    1        128       0         1         0         4         24576       0           0           0.008497     NA          0.213377          0.331302            0.331301           0.41                 123           66
0.02          3                  1                  0    1        128       0         1         0         4         24576       0           1           .001853      NA          .042687           .060556             .060556            0.49                 170           426
2.89          232                1                  0    1        128       0         1         0         4         28672       0           0           0.009925     NA          0.246653          0.376012            0.376011           0.46                 142           70
0.02          3                  1                  0    1        128       0         1         0         4         28672       0           1           .002127      NA          .050790           .071261             .071261            0.58                 198           421
2.90          233                1                  0    1        128       0         1         0         4         32768       0           0           0.011322     NA          0.280289          0.430105            0.430104           0.53                 162           69
0.02          3                  1                  0    1        128       0         1         0         4         32768       0           1           .002478      NA          .058082           .081742             .081742            0.65                 225           426
