comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.89;230;1;0;1;64;0;1;0;1;40960;0;0;0.020581;NA;0.324117;0.702882;0.702881;0.77;142;50
0.02;3;1;0;1;64;0;1;0;1;40960;0;1;.004488;NA;.086654;.436640;.436640;2.95;142;121
2.88;231;1;0;1;64;0;1;0;2;40960;0;0;0.022498;NA;0.317467;0.751763;0.751761;0.82;143;46
0.02;3;1;0;1;64;0;1;0;2;40960;0;1;.005267;NA;.061525;.353410;.353410;2.47;143;119
2.83;229;1;0;1;64;0;1;0;3;40960;0;0;0.015268;NA;0.225637;0.724896;0.724894;0.78;83;35
0.02;3;1;0;1;64;0;1;0;3;40960;0;1;.003356;NA;.048558;.269330;.269330;1.84;142;125
2.85;230;1;0;1;64;0;1;0;4;40960;0;0;0.014796;NA;0.129328;0.631663;0.631662;0.69;83;26
0.02;3;1;0;1;64;0;1;0;4;40960;0;1;.003111;NA;.045083;.292172;.292172;1.97;122;109
2.83;229;1;0;1;64;0;1;0;5;40960;0;0;0.015223;NA;0.156247;0.698834;0.698833;0.75;103;27
0.02;3;1;0;1;64;0;1;0;5;40960;0;1;.003434;NA;.048073;.274131;.274131;1.84;123;122
2.80;228;1;0;1;64;0;1;0;6;40960;0;0;0.007185;NA;0.088129;0.252596;0.252595;0.30;63;42
0.02;3;1;0;1;64;0;1;0;6;40960;0;1;.000958;NA;.021538;.075970;.075969;0.56;63;194
2.90;234;1;0;1;128;0;1;0;1;40960;0;0;0.016104;NA;0.589903;1.152087;1.152086;1.26;321;55
0.02;3;1;0;1;128;0;1;0;1;40960;0;1;.002910;NA;.160637;.832775;.832775;5.72;321;117
2.87;234;1;0;1;128;0;1;0;2;40960;0;0;0.038309;NA;0.461881;1.425673;1.425671;1.56;322;38
0.02;3;1;0;1;128;0;1;0;2;40960;0;1;.005926;NA;.113712;.690291;.690291;4.91;322;117
2.86;236;1;0;1;128;0;1;0;3;40960;0;0;0.014236;NA;0.349785;1.432644;1.432643;1.55;203;28
0.02;3;1;0;1;128;0;1;0;3;40960;0;1;.002823;NA;.085977;.550738;.550738;3.72;321;105
2.85;233;1;0;1;128;0;1;0;4;40960;0;0;0.014126;NA;0.349636;1.270993;1.270992;1.39;202;32
