comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.45          228                1                  0    1        128       0         1         0         1         0         0         40960       0           0           0.007794     NA          0.210148          0.190838            0.190837           0.28                 321           104
0.02          3                  1                  0    1        128       0         1         0         1         0         0         40960       0           1           .001236      NA          .037467           .036216             .036216            .053333              321           578
0.02          3                  1                  0    1        128       0         1         0         1         0         0         40960       0           2           .000428      NA          .017013           .018711             .018710            .025000              321           1580
1.42          228                1                  0    1        128       0         1         0         2         0         0         40960       0           0           0.007706     NA          0.177347          0.180854            0.180853           0.28                 322           95
0.02          3                  1                  0    1        128       0         1         0         2         0         0         40960       0           1           .001443      NA          .029310           .033272             .033272            .050000              322           518
0.01          3                  1                  0    1        128       0         1         0         2         0         0         40960       0           2           .000528      NA          .014847           .017131             .017131            .023333              322           1515
1.42          229                1                  0    1        128       0         1         0         3         0         0         40960       0           0           0.001803     NA          0.131508          0.215507            0.215506           0.30                 203           61
0.01          3                  1                  0    1        128       0         1         0         3         0         0         40960       0           1           .000414      NA          .025355           .036237             .036237            .056666              322           401
0.02          3                  1                  0    1        128       0         1         0         3         0         0         40960       0           2           .000139      NA          .011311           .014980             .014980            .021111              322           1360
1.39          229                1                  0    1        128       0         1         0         4         0         0         40960       0           0           0.001917     NA          0.128999          0.176307            0.176306           0.26                 202           79
0.02          3                  1                  0    1        128       0         1         0         4         0         0         40960       0           1           .000386      NA          .022526           .030947             .030947            .046666              281           448
0.02          3                  1                  0    1        128       0         1         0         4         0         0         40960       0           2           .000128      NA          .008260           .012523             .012523            .018888              281           1197
1.38          229                1                  0    1        128       0         1         0         5         0         0         40960       0           0           0.001803     NA          0.139317          0.194352            0.194351           0.28                 243           78
0.02          3                  1                  0    1        128       0         1         0         5         0         0         40960       0           1           .000411      NA          .024110           .033496             .033496            .048333              282           451
0.02          3                  1                  0    1        128       0         1         0         5         0         0         40960       0           2           .000139      NA          .010621           .014383             .014383            .020000              282           1349
1.40          228                1                  0    1        128       0         1         0         6         0         0         40960       0           0           0.000923     NA          0.063843          0.051098            0.051097           0.13                 163           105
0.02          3                  1                  0    1        128       0         1         0         6         0         0         40960       0           1           .000135      NA          .006867           .008126             .008126            .023333              163           492
0.02          3                  1                  0    1        128       0         1         0         6         0         0         40960       0           2           .000044      NA          .003273           .003964             .003964            .009444              163           1446
1.46          232                1                  0    1        256       0         1         0         1         0         0         40960       0           0           0.007382     NA          0.313985          0.276044            0.276044           0.39                 638           102
0.02          3                  1                  0    1        256       0         1         0         1         0         0         40960       0           1           .001251      NA          .057452           .058924             .058924            .080000              638           572
0.02          3                  1                  0    1        256       0         1         0         1         0         0         40960       0           2           .000426      NA          .028652           .032650             .032650            .041111              639           1548
